name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Nandishwara Enterprises,<,4.8,4 Ratings,"Gate Yeshvanthapura, Kolar",,08460431572,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
ITek Solutions,<,4.4,29 Ratings,"Janatha Bazzar Complex Mb Road, Kolar",,,Company Authorised Dealer; Videography,true,false,false,true,true,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Isha Technologies,<,3.6,9 Ratings,"Khadripura Main Road Kolar Ho, Kolar",,,CCTV Installation Services; Refrigerator Repair & Services,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Cnr Security Solution,<,4.8,14 Ratings,"Handiganala, Kolar",,,Security System Dealers,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Reliance Digital Xpress Mini,<,3.5,19 Ratings,"Mg Road Kolar, Kolar",,,4g Internet; Wifi Internet; Company Authorised Dealer,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Suraksha solution,<,3.8,6 Ratings,"Near Maharaja Circle Malur, Kolar",,,CCTV Dealers; CCTV Installation Services,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Reliance Digital Xpress Mini,<,2.9,4 Ratings,"Kolar Gold Fields Robertsonpet, Kolar",,,4g Internet; Wifi Internet; Company Authorised Dealer,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Intellivision Networks Private Limited,<,5.0,2 Ratings,"Mallur Road Malur, Kolar",,,Company Authorised Dealer,true,false,false,false,true,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.757Z
Rakshi Technical Tools Syestem,<,3.5,1 Ratings,"Malur Main Road Hoskote Hoskote, Bangalore",,,IP,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.758Z
Manini Enterprises,<,4.6,24 Ratings,"KR EXTENSIONS Chintamani Market, Chintamani",,,Security System Dealers,true,false,false,false,false,Security System,Popular Security System Dealers,Kolar,2025-06-03T18:01:14.758Z
