name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Reliance Digital Xpress Mini,<,3.5,19 Ratings,Kolar,,,4g Internet; Wifi Internet; Company Authorised Dealer,true,false,false,false,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.288Z
Reliance Digital Xpress Mini,<,2.9,4 Ratings,Kolar,,,4g Internet; Wifi Internet; Company Authorised Dealer,true,false,false,false,false,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.289Z
Sai Electronics And Services,<,4.2,66 Ratings,Bangalore,,07041558233,Uhf Walkie Talkie Dealers; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.289Z
Eethos Enterprises,<,5.0,9 Ratings,Bangalore,,07490053482,Walkie Talkie Dealers; Walkie Talkie Dealers-Talk Pro,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.290Z
Hti - Hogar Technologies and Innovations Llp,<,4.9,260 Ratings,Kozhikode,,08197336582,Solar Energy System Dealers; Solar Panel Installation Services,true,false,false,false,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.291Z
Indian Standard Walkie Talkie,<,4.5,116 Ratings,Chennai,,,Uhf Walkie Talkie Dealers; Electronic Component Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.291Z
Purvi Tele Communication,<,5.0,1 Ratings,Goa,,07411584393,Walkie Talkie Dealers; Walkie Talkie Dealers-Motorola,true,false,false,false,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.291Z
Capricorn Technologies,<,5.0,65 Ratings,Secunderabad,,07041807819,Walkie Talkie On Rent; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.291Z
Leo Telecom And Cctv System,<,3.6,28 Ratings,Mumbai,,08487062486,Currency Counting Machine Dealers; CCTV Dealers,true,false,false,true,false,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.291Z
Elekart Impex Pvt. Ltd.,<,3.9,389 Ratings,Indore,,08460256152,Walkie Talkie Dealers; Walkie Talkie Distributors,true,false,false,false,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.292Z
Occasion Event Hospitality Private Limited,+,4.8,152 Ratings,Indore,,08511491968,Vhf Walkie Talkie Manufacturers; Battery Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.292Z
K T Automation INDIA,+,4.2,455 Ratings,Vadodara,,,Company Authorised Dealer,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.292Z
Pyroson Electronics,+,4.1,42 Ratings,Udaipur-Rajasthan,,09980797989,Uhf Walkie Talkie Dealers; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Micromap Electronic Systems Pvt Ltd,+,4.2,95 Ratings,Lucknow,,08401019250,Uhf Walkie Talkie Dealers; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Mobile Communications,+,4.2,33 Ratings,Jaipur,,,Company Authorised Dealer,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Genesis Network,+,4.0,85 Ratings,Kolkata,,,CCTV Dealers-Hikvision; CCTV Installation Services,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Krishna Sales Corporation,+,4.0,176 Ratings,Delhi,,08734980287,SPY Camera Dealers; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Antriksh Technosys Pvt. Ltd,A,3.9,69 Ratings,Delhi,,09054910113,Walkie Talkie Dealers; Electronic Goods Wholesalers,true,false,false,true,false,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Pcom Solutions Pvt Ltd,P,4.0,67 Ratings,Delhi,,08123380146,Uhf Walkie Talkie Dealers; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.293Z
Electrosonic Technologies Pvt Ltd.,+,4.7,84 Ratings,Delhi,,08147543349,Walkie Talkie Dealers-Kenwood; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.294Z
Global Electronics & Telecom Systems,+,4.2,32 Ratings,Delhi,,08401612185,Baggage Scanner Dealers; Electronic Goods Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.294Z
Digital Techno Care,+,3.7,30 Ratings,Delhi,,07383842144,License Free Walkie Talkie Distributors; Electronic Goods Dealers,true,false,false,false,false,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.294Z
Asiar Solutions Pvt Ltd,+,4.6,69 Ratings,Delhi,,08105025943,Walkie Talkie Dealers-Kenwood; Walkie Talkie Dealers,true,false,false,true,true,Security System,Popular Walkie Talkie Dealers,Kolar,2025-06-03T18:00:13.294Z
