name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jaipur Golden Transport,<,3.8,24 Ratings,Bangalore,,09845217514,Pay Ahead,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Sri Vigneshwara Logistics,<,4.2,52 Ratings,Bangalore,,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Harshavardhani Shipping Forwarding India Pvt. Ltd.,<,4.2,32 Ratings,Chennai,,09035530320,Cargo Service,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Rapiditors Logistics,<,4.6,30 Ratings,Chennai,,07041643819,Domestic Courier; All India; Cargo Service,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Kaveri Cargo Movers,<,4.4,97 Ratings,Coimbatore,,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Vgo Truck Booking,<,2.5,2 Ratings,Trichy,,08904585500,Cargo Service; Transporters For Cargo,true,false,false,false,false,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Jayasri Road Lines,<,4.5,29 Ratings,Tirupur,,09606403497,24 Hours Tempos; Tempos On Rent For Intracity; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.937Z
Geetham Transport Service,<,4.6,90 Ratings,Tirupur,,08147951873,Trucks On Rent; Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Sri Periyasamy Lorry Transport And Booking Office,<,4.1,29 Ratings,Namakkal,,08401269964,Transporters For Andhra Pradesh; Transporters,true,false,false,true,false,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Sri Ganapathy Transport and Traveling Agency,<,4.5,19 Ratings,Coimbatore,,08123376960,Courier Services; Transporters,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Arja Energys Private Limited,+,4.5,10 Ratings,Tirupur,,08460445740,Transporters; Transport Agents,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Promax Logistics,+,4.0,30 Ratings,Coimbatore,,08460645239,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Sky Land Xpress Cargo,+,3.7,40 Ratings,Tirupur,,,,true,false,false,false,false,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Xpress INDIA,+,4.2,400 Ratings,Trichy,,07383608407,Cargo Service; Trucks On Rent; Bulk Courier,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Vmtc Logistics,+,4.4,37 Ratings,Mangalore,,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
KGN Transport & Logistics,+,4.2,32 Ratings,Mahabubnagar,,09054784995,International Courier; Trucks On Rent; Domestic Courier,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Lata Packers and Movers,L,4.4,20 Ratings,Hospet,,07487906639,All India; Within City,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Ma Kalka Roadlines,+,3.7,3 Ratings,Goa,,08460386456,Transport Agents; Trailer Transporters,true,false,false,false,false,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
C.H.D CHARY PACKERS AND MOVERS,C,5.0,5 Ratings,Hyderabad,,08867755734,Trucks On Rent,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Aastik Maharaj Trader,+,5.0,1 Ratings,Hyderabad,,07411644350,Cargo Service; Tempos On Hire; Domestic Courier,true,false,false,false,false,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Pranjal Transport Services,P,5.0,3 Ratings,Satara,,09035047486,Transporters; Transporters For Pune,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Bajrang Logistics,B,4.0,7 Ratings,Thane,,08197576514,Animal Transportation; All India; Transportation,true,false,false,false,false,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
MAHAKAL TRANSPORT,M,5.0,1 Ratings,Mumbai,,08401152926,Container Transport; Full Truck Load; Trailer Transport,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
Maharashtra Gujarat Roadline,+,4.2,186 Ratings,Mumbai,,07405534931,Transporters For Pune; Transporters For Ahmedabad,true,false,false,false,true,Transporters,Popular Transporters For Container,Kolar,2025-06-03T17:39:26.938Z
