name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Smart Computer Training Center,<,4.0,1 Ratings,"Bangarapet, Kolar",,08460460884,Language Classes For English Conversation; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.961Z
Veta Spoken English,<,4.7,20 Ratings,"Road Antarganga Road Kolar, Kolar",,09035208412,Language Classes For English Conversation; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.962Z
Petaflake,<,5.0,5 Ratings,"Nagar Kamakshipalya, Bangalore",,09980788974,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.962Z
Anabel,<,4.7,106 Ratings,"Aralikatte Road Rangoli Halla, Hassan",,07022619216,Correspondence Education; B Ed Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.962Z
Chennai Ace Era Jewellery Design Cad Cam Gold Smith Training Institute,<,4.7,48 Ratings,"Thirumudivakkam Kundrathur, Chennai",,08123076198,Jewellery Designing Institutes; Institutes For Distance Education,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.962Z
Cad Desk Mysuru ( IT DESK),<,5.0,"1,949 Ratings","5th Cross Saraswathipuram, Mysore",,08511840031,AUTOCAD Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.963Z
Allpro Trainings,<,4.7,406 Ratings,"Aralvaimozhi Aralvaymoli, Kanyakumari",,09035282407,Computer Training Institutes; SAP Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.964Z
NCFT Heights Institute,<,4.5,121 Ratings,"Trivandaram Road Palayamkottai, Tirunelveli",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.964Z
Kuvio Innovations & Services,<,4.7,3 Ratings,"Magarpatta Road Hadapsar, Pune",,07383101642,Digital Marketing Services; Online Websites,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.964Z
Aks University (Satna M.p),<,4.0,"1,851 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Kolar,2025-06-03T18:05:46.964Z
