name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
S V Engineering,<,4.5,4 Ratings,"No. 3123 Mandya Subashnagar, Mandya",,09724811341,AC Dealers; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.748Z
Raju Service Center,<,4.8,3 Ratings,"1st Cross Ashok Nagar Mandya, Mandya",,,Car AC Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.749Z
Royal Refrigeration,<,4.7,9 Ratings,"Market Yard Jain Street, Mandya",,,Refrigerator Repair & Services-National; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.749Z
Coolers Caring Centre,<,5.0,1 Ratings,"Guthal Road Guttalu Mandya, Mandya",,,Refrigerator Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.749Z
N S Electronic,<,4.5,12 Ratings,"Mandya Road Nagamangala, Mandya",,,Second Hand Electronic Goods Dealers; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.750Z
Rb AIR Conditioner,<,4.8,169 Ratings,"Mysore Road Malavalli, Mandya",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.750Z
Dhiraj Electronics,<,4.6,27 Ratings,"Maddur-Malavahalli Road Km Doddi, Mandya",,,Electronic Goods Showrooms; Mobile Phone Dealers,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.750Z
Trust Electro Service Center,<,3.6,23 Ratings,"Road Besagarahalli Mandya, Mandya",,,AC Dealers-Carrier; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.750Z
A1 Service,<,4.0,19 Ratings,"Nagar Subash Nagar Mandya, Mandya",,,Refrigerator Repair & Services-Siemens; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Aayudhi Nextgeneration Pvt Ltd,<,4.7,12 Ratings,"Maddur Honnalagere Mandya, Mandya",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Sukhi's Mobiles and Belaku Electronice Showroom,+,4.3,12 Ratings,"Krs Road Pandavapura, Mandya",,,Wifi Internet; Company Authorised Dealer; Free installation,true,true,false,true,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Shri Lakshmi Electricals And Electronics Service Centre,S,4.2,11 Ratings,"Vidya Nagar Vidya Nagar Mandya, Mandya",,,TV Repair & Services-Philips; AC Repair & Services,false,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
A R Electronics,+,4.5,10 Ratings,"1st Cross Old Mc Road Mandya, Mandya",,,Refrigerator Repair & Services-Videocon; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Hk Service,+,4.3,7 Ratings,"Colony Mandya Nehru Nagar Mandya, Mandya",,,Refrigerator Repair & Services-Siemens; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Sharada Enterprises,S,5.0,6 Ratings,"3RD CROSS Mandya, Mandya",,,LED TV Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Balaji Service Centre,B,4.7,6 Ratings,Mandya,,,Electronic Goods Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
Lakshmi Power Tech,+,5.0,4 Ratings,"Road Ashok Nagar Mandya, Mandya",,,AC Repair & Services; AC Repair & Services-Blue Star,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.751Z
S R Electronics,S,4.0,3 Ratings,"Mandya City, Mandya",,,Electronic Goods Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
KK Electronics,+,3.7,3 Ratings,"Pete Beedi Mandya City, Mandya",,,Refrigerator Repair & Services-National; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
Sm Refrigerator,+,5.0,2 Ratings,"3rd Cross Guttalu, Mandya",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
M G ELECTRONICS SALES & SERVICE,+,5.0,2 Ratings,"Maddur Mandya, Mandya",,,Electronic Goods Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
Pooja Electronics,P,5.0,2 Ratings,"Railway Station Road Jain Street, Mandya",,,Electronic Goods Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
JAI Hanumans Enterprises,J,5.0,2 Ratings,"Anekeri Street M C Road Mandya, Mandya",,,AC Repair & Services; AC Installation Services,true,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
Fs Refrigeration,F,4.0,2 Ratings,"Jamia Masjid Malavalli, Mandya",,,AC Repair & Services,false,true,false,false,false,AC Repair & Services,,Mandya,2025-06-02T07:42:26.752Z
