name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Krishna Sharma Purohith,<,4.7,36 Ratings,"Station Road Srirangapatna, Srirangapatna",,09054060968,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.964Z
Surya Prakash Telugu and Kannada Purohit,<,5.0,8 Ratings,"Road Srirangapatna Fort Mandya, Srirangapatna",,08485936428,,true,false,false,true,true,Astrologers,,Mandya,2025-06-02T07:43:54.965Z
SARVA MANGALA KRUPA,<,5.0,14 Ratings,"Srirangapatna Fort Mandya, Srirangapatna",,09725177485,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.965Z
Raghuram Purohit Srirangapatna,<,4.6,27 Ratings,"Sangama River Srirangapatna, Srirangapatna",,08460461299,,true,false,false,true,true,Astrologers,,Mandya,2025-06-02T07:43:54.966Z
Rajusheshadri Pandit,<,4.9,14 Ratings,"Railway Road Srirangapatna, Srirangapatna",,09054827763,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.966Z
Shree Maha Kali Temple,<,4.6,177 Ratings,"M.Shettihalli Srirangapatna, Srirangapatna",,09035266219,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.967Z
Sri Vivekananda Sharma Purohith Srirangapatana,<,5.0,27 Ratings,"Temple.. Srirangapatna, Srirangapatna",,08904621297,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.967Z
Paschimavahini Annapurneshwari Shradha Mandira (Main),<,4.4,27 Ratings,"Mysore Road Srirangapatna, Srirangapatna",,09980209265,,true,false,false,true,true,Astrologers,,Mandya,2025-06-02T07:43:54.968Z
Kerala No1 Vashikaran Specialist Shri Bhagavati Jyothishyaru,<,4.9,319 Ratings,"Salagame Road Aralepet, Hassan",,08487048815,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.968Z
Astro Award Winner Vashikarana Specialist Kerala Shree Prasidda Astrologer,<,4.9,35 Ratings,"11th Cross Road Vidyaranyapuram, Mysore",,08511749124,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.968Z
Haya Greevar Astro,+,3.5,2 Ratings,"Mg Road Kamaraj Colony, Hosur",,08105244402,,true,false,false,false,false,Astrologers,,Mandya,2025-06-02T07:43:54.969Z
No 1 Vashikaran Specialist India,+,4.9,137 Ratings,"Bus Bus Stand Road Hassan, Hassan",,07048604341,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.969Z
Kerala Mahamanthrika Astrology,+,5.0,48 Ratings,"Bus Bus Stand Road Hassan, Hassan",,09035242176,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.969Z
Kavini Astrology,+,4.7,112 Ratings,"to Atthani Road Sathyamangalam, Erode",,,,true,false,false,true,true,Astrologers,,Mandya,2025-06-02T07:43:54.969Z
Kollegala Jyothishalya and Parihara Kendra,K,5.0,2 Ratings,"Basthipura Kollegala, Chamarajanagar",,07041695609,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.969Z
KERALA MANTHRIHA ASTROLOGER,+,5.0,2 Ratings,"Salem Bye Pass Toppur, Dharmapuri",,09054386088,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.970Z
Kollegala Pandith Modi Yallappa Guruji,+,5.0,17 Ratings,"Kollegal, Chamarajanagar",,06366960242,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.970Z
Om Sri Kollegala Famous Astrologer,+,4.5,93 Ratings,"Road Double Road Chamarajanagar, Chamarajanagar",,08401407674,,true,false,false,true,true,Astrologers,,Mandya,2025-06-02T07:43:54.970Z
Kollegala Mantrikaru.,+,4.8,43 Ratings,"Devangapete Beedi Kollegala, Chamarajanagar",,08460304154,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.970Z
Shree Durgadevi Jyothishyalaya Karnataka Famous Astrologer,S,4.8,9 Ratings,"Hanumanthappa Circle, Chikmagalur",,08511449396,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.970Z
Vedic Welness Trust,V,4.0,3 Ratings,"Basaveshwara Nagar, Bangalore",,,,true,false,false,false,false,Astrologers,,Mandya,2025-06-02T07:43:54.970Z
SRI Lakshminarashimha ASTRO Centre,+,4.3,9 Ratings,"2nd Cross Rt Nagar, Bangalore",,,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.971Z
Sri Kalikamba Jyothishyalaya Kerala Manthrika Jyothisaru,+,2.6,11 Ratings,"Madhugar Beedi Arsikere, Hassan",,,,true,false,false,false,false,Astrologers,,Mandya,2025-06-02T07:43:54.971Z
Brahmagnanam Dharumasalai,B,4.8,6 Ratings,"Nager Bus Rajiv Gandhi Nagar, Srirangam",,08511003612,,true,true,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.971Z
Kerala Sri Prasidda Jyothishyaru,+,4.8,44 Ratings,"2nd Floor Kasaragod City, Kasaragod",,09035885420,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.971Z
Aeakkott Mana Jyothishalayam,+,4.8,471 Ratings,"Kairali Junction Guruvayur, Thrissur",,09725161834,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.971Z
Soman Panicker Astrologer,S,3.7,3 Ratings,"Kozhikode Road Angadipuram, Malappuram",,08460407048,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.971Z
Kaalabairavar Jothida Alayam,+,4.8,21 Ratings,"Nagar Rasipuram East, Rasipuram",,09724667570,,true,false,false,false,true,Astrologers,,Mandya,2025-06-02T07:43:54.972Z
