name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Lotus Beauty Salon Academy,<,4.3,44 Ratings,"100 Feet Road Mandya Subashnagar, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.008Z
V 1 Unisex Salon,<,5.0,11 Ratings,"Feet Road Gandhi Nagar Mandya, Mandya",,07383857247,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.013Z
Cloud11 Saloon & Spa,<,4.1,41 Ratings,"Bm Road Gandhi Nagar Mandya, Mandya",,08460218986,Salons; Beauty Spas,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.014Z
Glam World Make Up Studio,<,4.9,20 Ratings,"Road Srirangapatna Fort Mandya, Srirangapatna",,08460383228,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.015Z
Glitz & Glam Unisex Salon,<,4.6,33 Ratings,"1st Floor Vv Road, Mandya",,08460221238,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.016Z
Yashodeepa Beauty Parlour,<,4.9,35 Ratings,"Kr Pete Thaluk Anegola, Mandya",,08197659761,Facial,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.017Z
Make-over by Sindhura,<,4.8,18 Ratings,"Nagamangala, Mandya",,08511445714,Beauty Parlours; Makeup Artists,true,true,false,false,false,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.017Z
V N C Beauty Lounge,<,5.0,11 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,08460240253,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.017Z
V Care Ladies Saloon and S Pa,<,5.0,16 Ratings,"Hosahalli Road Hosahalli Extn, Mandya",,09724029344,Waxing; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.018Z
Diva Men's Beauty Saloon,<,3.6,181 Ratings,"Cross Road Ashok Nagar Mandya, Mandya",,,Facial,true,true,false,false,true,Beauty Spa,Popular Beauty Parlours,Mandya,2025-06-02T07:33:05.018Z
