name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sowna Herbal Beauty Parluor Fancy Store and Chamundeshwari Garments,<,5.0,15 Ratings,"Nagara Krishnarajapete, Mandya",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.867Z
Miracle Touch Beauty Salon,<,4.8,"1,100 Ratings","Road Chamundeshwari Nagar Mandya, Mandya",,,Jewellery On Rent; Beauty Spas,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.867Z
Lakme Salon,<,4.5,338 Ratings,"Vivekananda Road B M Road Mandya, Mandya",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.867Z
Yashashvi Beauty Clinic (Ni),<,4.8,161 Ratings,"Feet Road Gandhi Nagar Mandya, Mandya",,,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.868Z
Sparsha Skin Care Clinic,<,3.7,69 Ratings,"VV Road Ashok Nagar Mandya, Mandya",,,,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.868Z
Natural Beauty Parlour,<,4.2,11 Ratings,"5 Cross Gandhi Nagar Mandya, Mandya",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.868Z
Kanniika Beauty Parlour,<,4.1,9 Ratings,"Cheeranahally Road Mandya Ho, Mandya",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.868Z
Apsara Herbal Beauty Parlour,<,4.2,3 Ratings,"Door No.3, Srirangapatna",,,Beauty Parlours For Hair Extension; Beauty Parlours,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.868Z
Payal Beauty Parlour,<,5.0,2 Ratings,"Bazar Road, Mandya",,,Home Services Offered,false,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.869Z
The BEST Saloon and Spa,<,5.0,1 Ratings,"Feet Road Subash Nagar Mandya, Mandya",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.869Z
Kohana Professional Beauty Salon,+,4.0,10 Ratings,"Ringroad Sathagalli Layout, Mysore",,,Bridal Makeup Artists; Body Massage Centres,false,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.869Z
Matrix Beauty World,+,4.7,83 Ratings,"Main Road Narasimharaja Mohalla, Mysore",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.869Z
Roopa Herbal Beauty Care,+,5.0,1 Ratings,"Naidunagar, Mysore",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.870Z
Dhanvi Ayurveda Centre,D,4.5,1 Ratings,"Revenue Layout Naidunagar, Mysore",,,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.870Z
N S Beauty Parlour,+,5.0,4 Ratings,"Masjid Road Kalyana Girinagar, Mysore",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.870Z
Ameena Beauty Care,+,3.0,2 Ratings,"Quba Masjid Main Road Udayagiri, Mysore",,,Beauty Parlours At Home; Beauty Spas,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.871Z
FOREVER Wellness And Aesthetics,+,4.8,38 Ratings,"2nd Cross Rajendranagar, Mysore",,,,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.871Z
Ayeshu Makeup and Beauty Salon,+,4.7,14 Ratings,"3rd Stage Siddique Nagar, Mysore",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.871Z
Ani Beauty Parlour,A,5.0,1 Ratings,"Mysore Bannur Road Yaraganahalli, Mysore",,,Home Services Offered,true,false,false,false,false,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.871Z
Stylen Shave Hair and Skin Care,+,4.8,215 Ratings,"Siddhartha Layout, Mysore",,,Home Services Offered,true,false,false,false,true,Beauty Spa,Popular Beauty Clinics,Mandya,2025-06-02T15:12:34.871Z
