name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Lotus Beauty Salon Academy,<,4.3,44 Ratings,"100 Feet Road Mandya Subashnagar, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.421Z
Glitz & Glam Unisex Salon,<,4.6,33 Ratings,"1st Floor Vv Road, Mandya",,08460221238,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.422Z
Glam World Make Up Studio,<,4.9,20 Ratings,"Road Srirangapatna Fort Mandya, Srirangapatna",,08460383228,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.423Z
V N C Beauty Lounge,<,5.0,11 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,08460240253,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.423Z
Yashodeepa Beauty Parlour,<,4.9,35 Ratings,"Kr Pete Thaluk Anegola, Mandya",,08197659761,Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.423Z
Make-over by Sindhura,<,4.8,18 Ratings,"Nagamangala, Mandya",,08511445714,Beauty Parlours; Makeup Artists,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.424Z
Sunag Makeup Studio,<,4.9,32 Ratings,"Ashok Nagar Guttalu Mandya, Mandya",,07041441372,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.424Z
V 1 Unisex Salon,<,5.0,11 Ratings,"Feet Road Gandhi Nagar Mandya, Mandya",,07383857247,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.424Z
V Care Ladies Saloon and S Pa,<,5.0,16 Ratings,"Hosahalli Road Hosahalli Extn, Mandya",,09724029344,Waxing; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.425Z
Creative Designs & Event Rocker,<,4.6,5 Ratings,"Vent Ashok Nagar Mandya, Mandya",,,Banquet Hall Decoration; Videography,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.425Z
Sowna Herbal Beauty Parluor Fancy Store and Chamundeshwari Garments,+,5.0,15 Ratings,"Nagara Krishnarajapete, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.425Z
Lakshmi S Beauty Zone,+,4.5,4 Ratings,"Krishnarajapete, Mandya",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.425Z
Apsara Beauty Parlour,+,3.9,12 Ratings,"V V Road Ashok Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
The White Lotus (No1 Bridal Makeup Artist),+,4.4,22 Ratings,"Circle Ashok Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Padma Makeover,P,5.0,5 Ratings,"Hosahalli Extn, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Blushberry Beauty Parlor,B,4.6,7 Ratings,"Vv Road Ashok Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Shree Thriva Hair And Makeup And Academy With Salon,+,4.0,3 Ratings,"Nagamangala, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Miracle Touch Beauty Salon,+,4.8,"1,100 Ratings","Road Chamundeshwari Nagar Mandya, Mandya",,,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Lakme Salon,+,4.5,338 Ratings,"Vivekananda Road B M Road Mandya, Mandya",,,Home Services Offered; Nail Art; Waxing,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Yashashvi Beauty Clinic (Ni),+,4.8,161 Ratings,"Feet Road Gandhi Nagar Mandya, Mandya",,,,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.426Z
Shaanvi Beauty Spot and Bridal Studio,+,4.9,90 Ratings,"Vv Road Ashok Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.427Z
Sri Gowri Beauty Zone,+,4.7,74 Ratings,"Nagamangala, Mandya",,,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.427Z
Alankar Hair Style,+,4.9,44 Ratings,"Chamarajanagar Road Nagamangala, Mandya",,,Facial,false,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.427Z
Sinver makeup studio and salon,+,4.7,39 Ratings,"Old Mc Road Maddur Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.427Z
Spoorthi Shetty,+,4.8,23 Ratings,"Halagur, Mandya",,,Bridal Makeup,false,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.427Z
Seharish Beauty Parlour,+,4.7,21 Ratings,"Guthal Road Guttalu Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.427Z
Beu Belle Beauty Parlour,+,4.1,23 Ratings,"Nh275 Madduru Maddur Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Shanthala High Tech Beauty Parlour,+,4.5,17 Ratings,"Mahalakshmi Theater Malavalli, Mandya",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
A 1 Herbal Beauty Parlour,+,4.4,15 Ratings,"2nd Cross Maddur Mandya, Mandya",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Mayuri Beauty Parlour,M,4.1,16 Ratings,"3rd Cross Ashok Nagar Mandya, Mandya",,,Beauty Parlours; Women Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Beautyblends By Madhu,+,5.0,13 Ratings,"Subash Nagar Krishnarajapete, Mandya",,,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Shrungar Beauty Parlour,+,4.5,11 Ratings,"Guthal Road Guttalu Mandya, Mandya",,,Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Natural Beauty Parlour,N,4.2,11 Ratings,"5 Cross Gandhi Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Elegant Touch By Supriya,+,4.9,9 Ratings,"2nd Cross, Mandya",,,Makeup Artists; Bridal Makeup Artists,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Diva Beautiful Parlour,+,3.3,12 Ratings,"Cross Ashok Ashok Nagar Mandya, Mandya",,,Home Services Offered; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.428Z
Kanniika Beauty Parlour,+,4.1,9 Ratings,"Cheeranahally Road Mandya Ho, Mandya",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Anu Herbal Beauty Parlour,+,3.6,9 Ratings,"Railway Old MC Road Mandya, Mandya",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Roopa Herbal Beauty Parlour,R,5.0,6 Ratings,"K R S Road Pandavapura, Mandya",,,Waxing,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Sehrish Beauty Parlour,+,4.3,6 Ratings,"Guthal Road Gautaham Badavane, Mandya",,,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Nandini Herbal Beauty Parlour,+,4.3,6 Ratings,"Gere Road Nehru Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Akruthi beauty zone,A,5.0,5 Ratings,"Jain Street Jain Street, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Vaishnavi Herbal Beauty Parlor,+,5.0,5 Ratings,"Guttalu Road, Mandya",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Stylish and glam beauty salon,+,5.0,5 Ratings,"Bannur Road Mandya Mandya City, Mandya",,,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Sachin Gents Parlour,+,4.7,5 Ratings,"Mc Road M C Road Mandya, Mandya",,,Beauty Parlours; Makeup Artists,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Ananya Beauty Parlour,+,3.6,5 Ratings,"3rd Cross Shankarnagar, Mandya",,,Home Services Offered; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.429Z
Sunshine Beauty Parlour,S,3.4,5 Ratings,"V V Road Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.430Z
Limpana Siri Beauty Parlour and Boutique,+,3.8,4 Ratings,"100feet Road Gandhi Nagar Mandya, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.430Z
Shine Heral Beauty Parlour,+,5.0,3 Ratings,"Via Mysore  Road Nagamangala, Mandya",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.430Z
Umra Beauty Parlour,U,4.3,3 Ratings,"Nehru Nagar Kolakaranadoddi, Mandya",,,Waxing; Facial; Bridal Makeup,false,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mandya,2025-06-02T07:48:59.430Z
