name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shree Nandi Tours & Travels,<,4.4,30 Ratings,"Circle Shivapura Maddur Mandya, Mandya",,07487926149,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.645Z
Sony Tours And Travels,<,4.2,14 Ratings,"Guttal Road Guttalu Mandya, Mandya",,07383637296,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.646Z
Unique Travels,<,4.8,60 Ratings,"Layout 3rd Cross Guttalu Mandya, Mandya",,08490899707,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.646Z
Sri Hallikeshwara Tours And Travels,<,4.9,27 Ratings,"2nd Cross Road Nehru Nagar, Mandya",,07383742896,Car Rental; Car Rental For Self Driven,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.646Z
Belaku Deepa Travels,<,5.0,2 Ratings,"Near Shanthi Collage Malavalli, Mandya",,07041668942,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.647Z
Ashwini Tours And Travels,<,3.6,16 Ratings,"Melukote Road Ashok Nagar Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.647Z
Joy Greenline Holidays,<,4.4,33 Ratings,"Bannur Road Ashok Nagar Mandya, Mandya",,08401523137,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.647Z
Sri Maruthi Travels,<,4.7,12 Ratings,"Malavalli Road Guttalu Mandya, Mandya",,08105385038,Car Rental For Self Driven; Car Rental,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.647Z
Maruthi Tours and Travels,<,4.7,3 Ratings,"Malavalli Highway Km Doddi, Mandya",,08128202945,Vintage Car; Airport Taxi; Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.648Z
Shree Durga Towing Service & Tours and Travels,<,5.0,3 Ratings,"Mysore Main Road Malavalli, Mandya",,08105346822,Towing Services,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.648Z
Globe Ground Travels,G,4.0,13 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,08485981169,Visa Assistance; Travel Agents,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.649Z
Sri Kalabairava Tours and Travels,+,4.5,4 Ratings,"Krishnarajapete, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.649Z
Appu Tours and Travels,+,5.0,2 Ratings,"Bannur Road Mandya City, Mandya",,,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.649Z
Kadganchi Tour And Travels,K,4.1,211 Ratings,"Mandya HO, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
H B Tourist,+,4.8,66 Ratings,"Hospital Opp Roud Km Doddi, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Neha Tours and Travels,+,4.1,50 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Drivecarzz,+,4.6,39 Ratings,"No. 69 Mandya City, Mandya",,,Car Rental; Car Rental For Outstation,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Unity Holidays,U,5.0,35 Ratings,"Vv Road Vv Road, Mandya",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Royal tours and travels,+,4.7,32 Ratings,"Chamudeshwari Nagar Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
V K Enterprises,V,3.6,31 Ratings,"Vinobha Road Subash Nagar Mandya, Mandya",,,Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Greenline Holidays,G,4.5,21 Ratings,"Gandhinagar Road Shankarnagar, Mandya",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Sri Kadri Tours and Travels,+,4.6,17 Ratings,"Old Post Office Road Nagamangala, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.650Z
Suman Travels,+,4.5,12 Ratings,"Chamundeshwari Nagar Mandya HO, Mandya",,,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Sri Lakshmi Tours & Travels,+,5.0,10 Ratings,"3rd Cross Ashok Nagar Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Greenline Travels,G,3.4,14 Ratings,"Bannur Road Gandhi Nagar Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Skyway International Travels,S,3.8,9 Ratings,"Lalbagh Road, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Sanvi Tours And Travels,+,4.5,7 Ratings,"Industrial Road Maddur Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
S V Travels,+,4.7,6 Ratings,"Hemavathi Circle Krishnarajapete, Mandya",,,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
S N Enterprises,+,4.6,6 Ratings,"Bannur Road Mandya Ho, Mandya",,,Car Rental; Taxi Services,false,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
R S Tours And Travels,+,4.8,5 Ratings,"Halahalli Road Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Saptagiri Tourist,S,4.6,5 Ratings,"Mellahalli, Mandya",,,Car Rental,false,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Byraveshwara Tours & Travels,B,3.7,6 Ratings,"BG Nagar Post Nagamangala, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.651Z
Sbs Tours And Travels,+,3.6,6 Ratings,"Old Mc Road Maddur Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
G K Tours And Travels,+,5.0,4 Ratings,"Nagamangala Tq Bellur, Mandya",,,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
Punith Tours and Travel,+,5.0,4 Ratings,"Layout Pes Kyathengere Layout, Mandya",,,Car Rental; Tempo Travellers On Rent,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
Sk Tours and Travels,S,5.0,4 Ratings,"VV Road Vv Road, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
S K B T Tours and Travels,+,5.0,4 Ratings,"BM ROAD M C Road Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
SLN Cabs,+,4.9,4 Ratings,"Feet Road Gandhi Nagar Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
Kabbalamma Tours & Travels,+,4.8,4 Ratings,"No.1 Srirangapatna Fort Mandya, Srirangapatna",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
Hb Tours And Travels,+,4.5,4 Ratings,"College Gate Complex Mandya City, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
Dhanu C M,D,4.5,4 Ratings,"Gulooru, Mandya",,,Car Rental,false,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.652Z
Annapoonashwari Tourist,+,4.3,4 Ratings,"Kamdoddi Mm Road Bharathinagar, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
Rohan Travels,R,4.1,4 Ratings,"Hosahalli Road Mandya City, Mandya",,,Self Driven,false,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
Sathya Travels,+,2.6,6 Ratings,"100ft Road Mandya City, Mandya",,,,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
Evergreen Tours And Travels,+,5.0,3 Ratings,"Bangalore Road Km Doddi, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
S R Tours And Travels,+,3.4,4 Ratings,"Ramanagar Mandya Ho, Mandya",,,Self Driven,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
Shri Maruthi Tours and Travels,S,4.5,3 Ratings,"100ft Road Gandhi Nagar Mandya, Mandya",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
SNG Tours & Travels,S,3.5,3 Ratings,"Pandavapura Pandavapura, Mandya",,,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
Sun Drivers,+,3.5,3 Ratings,"Keragodu, Mandya",,,Self Driven,false,true,false,false,false,Affordable Prices : Car Rental Services,,Mandya,2025-06-02T07:50:17.653Z
