name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.484Z
Shehnai Event Palnners,<,5.0,1 Ratings,"Masjid Road Rajivnagar, Mysore",,,Banquet Hall Decoration; Car Decoration; Videography,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.484Z
Chaitanya Caterers,<,4.9,27 Ratings,"Cross Road Vani Vilas Mohalla, Mysore",,08460305168,,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.485Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.485Z
Annapoorneshwari Catering,<,4.7,24 Ratings,"Layout Ramakrishnanagar, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.485Z
J K Caterers,<,4.7,15 Ratings,"Yadayur Lake Yediyur, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.485Z
Stall Desk Pvt Ltd,<,4.5,4 Ratings,"Mysore Road Kengeri, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.485Z
SKP Cooking Contractors,<,4.8,4 Ratings,"Main Road Kanakapura Road, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.486Z
Mr Gagan,<,4.8,19 Ratings,"Uttarahalli Main Road Mylasandra, Bangalore",,,Videography,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.486Z
Shri Sai Caters,<,4.6,47 Ratings,"Forest Layout HBCS R V Road, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.486Z
Vaishith Catering,+,4.9,397 Ratings,"Mariyappanapalya Gnanabharathi, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.486Z
Koundinya Catering,+,4.9,51 Ratings,"Road Rajarajeshwari Nagar, Bangalore",,,24 Hours; Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.486Z
Theraal Kitchens,+,5.0,9 Ratings,"Turahalli Uttarahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.487Z
RC Caterers Groups,+,5.0,1 Ratings,"NGEF Layout Mallathahalli, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.487Z
Bhuvan Caterers And Wedding Planners,B,4.5,5 Ratings,"Arehalli Subramanyapura, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.487Z
K R Caters,+,4.3,13 Ratings,"Doddakallasandra Kanakapura Road, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.488Z
Pallavi Caterers,P,5.0,1 Ratings,"Byadrahalli Sunkadakatte, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.488Z
Shriram Events Caterer,+,4.7,46 Ratings,"3rd Bolck Narayana Nagar, Bangalore",,,,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.488Z
Srivasasiri Events & Caterers,+,4.6,53 Ratings,"Balaji Layout Uttarahalli, Bangalore",,07405708597,Event Decoration,true,false,false,true,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Royal Catering,+,5.0,6 Ratings,"ITI Layout Nagarbhavi 2nd Stage, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Sri Sai Caterers,+,3.5,2 Ratings,"Madeshwara Nagar-Sunkadakatte, Bangalore",,08904264191,Home Delivery,true,false,false,false,false,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Nirmala Caterers,N,3.2,7 Ratings,"6th Phase Jp Nagar, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Ms Caterers,+,5.0,6 Ratings,"4th Cross 8th Main Banashankari, Bangalore",,09606423648,Caterers; Veg Caterers,true,false,false,true,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Nammane Caterers,+,4.0,1 Ratings,"Feet Road Nagarbhavi 2nd Stage, Bangalore",,,Caterers For Chaat; Caterers,true,false,false,false,false,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Indraprastha Caterers,I,5.0,3 Ratings,"New Bank Colony Konanakunte, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Bhagavathy Caterers,+,5.0,1 Ratings,"Bda Lyt Nagarbhavi, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.489Z
Nisarga Catering Services,+,3.0,2 Ratings,"Ring Banashankari 3rd Stage, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.490Z
Arogya Vindu,+,4.4,131 Ratings,"Complex Nagarabavi Nagarbhavi, Bangalore",,,,false,false,false,false,true,Caterers,Popular Andhra Caterers,Mandya,2025-06-02T15:24:44.490Z
