name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sgr Catering Service,<,4.8,15 Ratings,"Mandya M C Road Mandya, Mandya",,08904260795,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.353Z
Ajay Tiffanis and Catering,<,4.7,13 Ratings,"8th Cross Gandhi Nagar Mandya, Mandya",,08460506335,Caterers; Event Organisers,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.354Z
Ruchi Mane Hotel,<,3.7,"8,192 Ratings","BM Road Srirangapatna, Srirangapatna",,07383637348,,false,false,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.354Z
Devu Biriyani Mane And Family Restaurant,<,4.4,17 Ratings,"BM Road 1st Cross Road, Mandya",,,,false,false,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.354Z
Green Valley Groups,<,3.8,31 Ratings,"Mysore Main Road Malavalli, Mandya",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.354Z
Shivanasiri Hoolige,<,5.0,4 Ratings,"Chikkamandya, Mandya",,09035094279,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.354Z
Chinmay Mahesh Marriage Contractor Marriage Function and Catering Service,<,4.0,1 Ratings,"Convent Road 7th Cross Malavalli, Mandya",,,Videography,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Hotel vaibhava,<,4.3,6 Ratings,"Collage Street Mandya City, Mandya",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Surya Caterers,<,4.5,2 Ratings,"1st  Cross Nehru Nagar, Mandya",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Meenakshi Caterers,<,5.0,5 Ratings,"Bazar Street Mandya Ho, Mandya",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Vadiraj Caterers,V,4.8,2 Ratings,"Janathnagar Mandya HO, Mandya",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Shekar Caterers,S,5.0,1 Ratings,"T. K. Lay-Out Mandya Ho, Mandya",,,Caterers; Caterers For Parties,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Swaad Food Express,+,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Guru Catering,+,4.8,2 Ratings,"Market Rod Pandavapura, Mandya",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.355Z
Gopi Caterers and Cooking Contractor,G,5.0,2 Ratings,"1st Cross Halahalli, Mandya",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.356Z
Lakshmi Catering Service,L,4.5,1 Ratings,"Nagar Guthal Colony Mandya, Mandya",,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.356Z
Dhanush Catering,D,4.8,2 Ratings,"Housing Board Mandya HO, Mandya",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.356Z
D Cooking Group,+,5.0,1 Ratings,"K Shettihalli Ca Kere, Mandya",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.356Z
Siddhu Catering Services,+,5.0,1 Ratings,"Bazaar Street Maddur Mandya, Mandya",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.356Z
Ayva Events,+,5.0,90 Ratings,"1st Floor Rajivnagar, Mysore",,,Event Decoration; Corporate; Name Printed Balloon,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
Jujus Kitchen,+,4.3,40 Ratings,"13th Cross Road Rajivnagar, Mysore",,,,true,false,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
Sk Cooking & Catering,S,4.5,1 Ratings,"BD COLONY Azeez Sait Nagar, Mysore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
Sri Maleegera Dharshini Hotel,+,5.0,6 Ratings,"Mysore Road Siddalingapura, Mysore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
S K Cooking And Caterers,+,4.3,3 Ratings,"Azeez Sait Nagar, Mysore",,,24 Hours; Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
Neha Caterers,N,4.0,3 Ratings,"Kalyanagiri, Mysore",,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
MD caterers,M,5.0,1 Ratings,"2555 2nd Stage Rajivnagar, Mysore",,,Caterers; Veg Caterers,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.357Z
Sufiya Caterers,S,4.0,2 Ratings,"2nd Cross Road Ghousia Nagar, Mysore",,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Ibrahim Caterers,I,4.7,9 Ratings,"Rahman Road Christian Colony, Mysore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Shehnai Event Palnners,S,5.0,1 Ratings,"Masjid Road Rajivnagar, Mysore",,,Banquet Hall Decoration; Car Decoration; Videography,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Samaa Caterer And Function Organisers,+,4.6,31 Ratings,"1st Main Shanthinagar, Mysore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Star Caterers,+,4.7,9 Ratings,"2nd Cross Udayagiri, Mysore",,,Non Veg Caterers Upto 100 Persons; Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Royal Mess,R,4.1,347 Ratings,"4th Cross Siddique Nagar, Mysore",,,,false,false,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Nagaraj & Brothers,N,4.7,8 Ratings,"Main Road Rajendranagar, Mysore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Faraz Caterers,+,4.0,2 Ratings,"Udayagiri, Mysore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
C R Shravya Tent House,+,4.3,10 Ratings,"Rajkumar Road Yaraganahalli, Mysore",,08511210163,Home Delivery,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
Shariff Caterer,+,4.7,119 Ratings,"Cerle Rajiv Nagar 2nd Stage, Mysore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mandya,2025-06-02T15:25:50.358Z
