name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.086Z
Sri Matha Catering Services,<,4.8,25 Ratings,"Ringroad Lokanayakanagara, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.087Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.087Z
Balaji Caterers,<,2.8,2 Ratings,"Sonnenahalli, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.088Z
The Up Cycle Cafe,<,4.0,7 Ratings,"IV Stage Rajarajeshwari Nagar, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.088Z
Nirmala Caterers,<,3.2,7 Ratings,"6th Phase Jp Nagar, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.088Z
Bhagavathy Caterers,<,5.0,1 Ratings,"Bda Lyt Nagarbhavi, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.088Z
Chavish Events,<,4.2,12 Ratings,"No. 21 Laggere, Bangalore",,,Event Organisers; Caterers,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.089Z
Sri Annapoorneshwari Catering Services,<,5.0,4 Ratings,"Srinagar Srinagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.089Z
Gurukrupa Foods,<,4.2,5 Ratings,"B.B.M.P South Bannerghatta, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.089Z
Srinidhi Catering,+,4.0,1 Ratings,"5th Cross Banashankari 3rd Stage, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.089Z
Sri Vishnu Caterers,S,5.0,3 Ratings,"Banashankari 1st Stage, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.090Z
HKC Caterers,+,3.7,13 Ratings,"3rd Phase Bannerghatta Road, Bangalore",,,Caterers For Function; Caterers,true,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.090Z
Shree Annapoorneshwari Caterers,+,4.5,30 Ratings,"KHB Calony Basaveshwara Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.091Z
Sai Kutera,+,4.7,3 Ratings,"Srinagara Main Road Chamarajpet, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.091Z
N Chandrashekar And Sons,+,3.9,67 Ratings,"6th Block Banashankari, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.092Z
Simply Caterers,+,4.7,231 Ratings,"3rd Stage Basaveshwara Nagar, Bangalore",,08460472079,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.092Z
Venkatesh Caterer,V,4.3,3 Ratings,"2nd Main Gayathri Nagar, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.092Z
Bombay Caterers,+,4.2,83 Ratings,"Dispensary Road Kalasipalyam, Bangalore",,,,true,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.093Z
Gani Caterers,G,3.8,49 Ratings,"Road Krishna Rajendra Market, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.093Z
Fumes Lounge,+,4.5,74 Ratings,"CL Layout Hosur Main Road, Bangalore",,,,true,false,false,true,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.093Z
The Food Caterers,T,5.0,1 Ratings,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.094Z
Sri Lakshmi Mess,+,4.0,1 Ratings,"20 Main Madiwala, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.094Z
Mealswala Food Services,M,4.8,2 Ratings,"1st Main HSR Layout, Bangalore",,,Caterers; Event Organisers,false,false,false,false,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.094Z
Chefs World,+,4.3,56 Ratings,"18th Main Road HSR Layout, Bangalore",,09980865072,Home Delivery,false,false,false,true,true,Caterers,Popular Continental Caterers,Mandya,2025-06-02T15:28:48.094Z
