name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shankregouda And Associates,<,4.9,4 Ratings,"V V Road, Mandya",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.180Z
M Gopikrishna and Company,<,3.7,3 Ratings,"K R Road Vidya Nagar Mandya, Mandya",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.180Z
Kndc and Associates LLP,<,4.7,37 Ratings,"GHS Road Hampankatta, Mangalore",,,Licence; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.180Z
Mohit Mahajan & Co.,<,3.9,38 Ratings,"Koppikar Road Koppikar Road, Hubli",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Yatesh Renuke & Company,<,4.6,22 Ratings,"Erandwane Kothrud, Pune",,08460426416,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Yogita S And Company,<,4.7,34 Ratings,"Thane Bhiwandi Road Kasheli, Bhiwandi",,07795682280,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Mithlesh Pardhi & Co,<,4.3,361 Ratings,"Jaitala Road Jaitala Road, Nagpur",,08511513986,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
B R A H M & Associates,<,4.2,46 Ratings,"Jamnagar HO, Jamnagar",,,Accounting; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
TKSA SERVICES PVT LTD,<,3.5,2 Ratings,"Government Place East Esplanade, Kolkata",,08904955304,Licence; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Arpit Gupta & Co,<,4.1,156 Ratings,"Westend Marg Saket, Delhi",,,,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
K K K D & CO,+,4.8,53 Ratings,"101 BP BLOCK Pitampura, Delhi",,09731820288,Accounting; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
V V S V & CO,+,4.2,14 Ratings,"Pandav Nagar Block A, Delhi",,09035176479,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Equiltax Private Limited,E,,,"Thapar Nagar, Meerut",,08105037165,Business Advisory Services; Name Change; IPO,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Dwarka & Co,D,4.1,97 Ratings,"Barabazar Garikhana, Shillong",,09054867046,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Kothari S S,K,3.0,2 Ratings,"Rd Subhash Subash Nagar Mandya, Mandya",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Shankaregowda Associates,S,2.8,2 Ratings,"V Rd Vishweshwaraiah Road Mandya, Mandya",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Tax Consultants A R Kumar,T,5.0,1 Ratings,"Nd Main Ashok Nagar Mandya, Mandya",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Hariharan And Company Ca,H,4.0,1 Ratings,"Narasimharaja Mohalla, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Mahesh R & Co,M,5.0,8 Ratings,"Street Narasimharaja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Hariharan & Co,+,4.6,53 Ratings,"NR Mohalla Narasimharaja Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
K A K And Associates,+,5.0,7 Ratings,"Akbar Road Mandi Mohalla, Mysore",,,ITR Filing; Income Tax Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.181Z
Arogya Raj Loyed,A,2.5,1 Ratings,"Lashkar Mohalla, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Aradhya & Associates,A,4.6,13 Ratings,"Chandragupta Road, Mysore",,,CA; Auditors,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Gowtham,G,5.0,1 Ratings,"Devaraja Mohalla, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Wayfin Tax Solutions,W,4.9,16 Ratings,"Kabir Temple Road Iningere, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Jain Ranka Associates,J,4.7,5 Ratings,"Soji Street Gandhi Square, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Manoj R and Associates,M,4.3,3 Ratings,"Shivarampet Road Shivarampet, Mysore",,,Accounting; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Pasha & Co,P,4.0,1 Ratings,"Old Bank Rd Gandhi Square, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
M Ashok Kumar,M,4.0,2 Ratings,"Mysore Mysore City, Mysore",,,CA; Associations Of CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Shanmukhiah And Pandurang,S,4.7,7 Ratings,"Kr Circle Mysore, Mysore",,,CA; Tax Consultants,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Madhavan & Co,M,4.8,9 Ratings,"Kr Circle Mysore, Mysore",,,CA,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Shanmukhiah & Pandurang,S,4.7,7 Ratings,"Kr Circle, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Rajesha L And Associates,R,4.3,3 Ratings,"Lokanayaka Nagar Kumbara Koppal, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Aiyappa & Associates,A,5.0,2 Ratings,"Kr Circle Mysore, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
K Mohan Rao & Co,K,5.0,2 Ratings,"Urs Road Devaraja Mohalla, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
H S Prakash And Company,H,4.9,4 Ratings,"Vinob Road Shivarampet, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Varun Kumar Jain & Co,V,4.8,15 Ratings,"Road Narayan Shastri Road, Mysore",,,ITR Filing,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Surendra Hegde & Co,S,4.4,17 Ratings,"Gokulam, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
lakshmi nivas & co,l,5.0,2 Ratings,"Ramavilas Road, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
M B Jain & Co,M,3.0,7 Ratings,"162/1 1st Flour Ramavilas Road, Mysore",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Ananthavardhana G N,A,4.4,10 Ratings,"Fort Mohalla, Mysore",,,Wheel Chair Accessible Entrance And Exit,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Jayashri R And Associates,J,3.0,1 Ratings,"3rd A Main Gokulam 2nd Stage, Mysore",,,CA; Associations Of CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
NIRAJ NIKHIL JAIN & ASSOCIATES,+,5.0,23 Ratings,"Narayan Shastri Road Kr Mohalla, Mysore",,09980768995,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
Gothamachand S,G,5.0,1 Ratings,"MN Jois Road Kr Mohalla, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
CA Dodda Lingappa,C,4.5,1 Ratings,"Hebbal, Mysore",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mandya,2025-06-02T15:46:39.182Z
