name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Kautilya Kas and Psi Academy Mandya,<,4.7,45 Ratings,"2nd Cross Ashok Nagar Mandya, Mandya",,08460538881,Tutorials For PSI; Tutorials,true,true,false,true,true,Tutorials,,Mandya,2025-06-02T08:33:49.881Z
Maithri Tution & Coaching Centre Mandya,<,3.5,2 Ratings,"Main Road Hosahalli Extn, Mandya",,08734974496,Tutorials; CET Tutorials,true,true,false,false,false,Tutorials,,Mandya,2025-06-02T08:33:49.881Z
Sri Shambhu Lingeshwara Residential School & PU College,<,4.4,38 Ratings,"Jayanthinagara Pandavapura, Mandya",,08904593528,Hostel Facility; Mental Health Workshop; Complaint Box,true,true,false,true,true,Tutorials,,Mandya,2025-06-02T08:33:49.881Z
Imod Learning Centre,<,4.8,75 Ratings,"FEET ROAD Gandhi Nagar Mandya, Mandya",,,Tutorials; Competitive Exam Tutorials,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.881Z
Jnanayoga Foundation (Mandya Mysore Maddur Channapatna),<,4.9,59 Ratings,"Nagar 2nd Vidya Nagar Mandya, Mandya",,,,true,false,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Inspire Academy Mandya,<,4.8,185 Ratings,"M C Complex Mandya Ho, Mandya",,,Computer Training Institutes; Tutorials,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Vega Institute,<,4.8,127 Ratings,"Ashoknagar Ashok Nagar Mandya, Mandya",,,AC Classrooms,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Excl Corporate Training Solutions,<,4.7,32 Ratings,"Ashok Nagar Mandya, Mandya",,,Tutorials; CS Tutorials,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Edit Women's Computer Centre,<,5.0,29 Ratings,"Chamundeshwari Nagara Mandya HO, Mandya",,,3D Animation Training Institutes; Computer Training Institutes,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
G R Tution Center,<,4.4,29 Ratings,"Krishnaraja Sagar, Mandya",,,Tutorials; Commerce Tutorials,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Aakash Educational Institute,+,4.3,25 Ratings,"Mc Road Bandigowda Layout, Mandya",,,Tutorials; Neet Tutorials,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Educeptive Institution,+,5.0,16 Ratings,"1st Cross Road 1st Cross Road, Mandya",,,Tutorials For Class X; Schools,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Premavani Villa,+,4.8,16 Ratings,"Honnavara, Mandya",,,Tutorials,false,true,false,false,false,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Imran sir tuition,I,4.0,16 Ratings,"Gautaham Badavane, Mandya",,,Tutorials; Maths Tutorials,true,true,false,false,false,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Byju's Tuition Centre,B,4.5,11 Ratings,"100 Feet Road Ashok Nagar, Mandya",,,Tutorials; Byjus Tuition Centres,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
Akash Byjus,A,4.4,10 Ratings,"M C Road Mandya City, Mandya",,,Online Tutorials; Tutorials,true,true,false,false,true,Tutorials,,Mandya,2025-06-02T08:33:49.882Z
