name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Winpoint Computer Centre,<,4.8,31 Ratings,"Guthal Road Guttalu Mandya, Mandya",,07383307719,Accounting Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.224Z
Smart English and Computer World,<,4.7,119 Ratings,"1st Cross Ashok Nagar Mandya, Mandya",,06366436632,Accounting Training Institutes; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.225Z
Jnanadeepa Institute Of Computer Education,<,4.8,5 Ratings,"Malavalli Main Road Km Doddi, Mandya",,09972210580,Computer Training Institutes; Language Classes For English Conversation,true,true,false,true,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.225Z
Emergio Games,<,4.9,150 Ratings,"Airport Road Infopark Kochi, Ernakulam",,08460448972,Computer Training Institutes; Mobile Game Development Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.226Z
Indian Institute Of Computer Science,<,4.6,251 Ratings,"Vidyanagar Hubli, Hubli",,,Institutes For Distance Education MBA; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.226Z
Kj's Trinity Colleges,<,4.0,"1,375 Ratings","Kondhwa Saswad Road Yewalewadi, Pune",,,,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.226Z
Sir Padampat Singhania University,<,4.3,571 Ratings,"Udaipur Udaipur Surajpole, Udaipur-rajasthan",,,,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.226Z
Visvesvaraya Foundation,<,4.2,"1,002 Ratings","Main Road Udaipur Surajpole, Udaipur-Rajasthan",,,Computer Engineering Colleges; Schools,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Shri Krishna University,<,4.1,"1,308 Ratings","Sagar Road Chhatrasal Chowk, Chhatarpur",,,,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Aks University (Satna M.p),<,4.0,"1,853 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Maa Bhagwati Institute,M,4.0,909 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Pkr Institute and Recruitment Services,+,4.9,132 Ratings,"Urban Estate Karnal Sector 6, Karnal",,09980200858,Institutes; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Haridwar University,+,4.5,"2,884 Ratings","Bajuheri, Roorkee",,,,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Miit Mandya (Marvel Institute Of Information Technology),M,5.0,1 Ratings,"1st Cross Vv Road, Mandya",,,Computer Training Institutes; Educational Institutions,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.227Z
Raaya Infotech Solutions Pvt Ltd,+,5.0,9 Ratings,"Chamundeshwari Nagar Mandya, Mandya",,,Java Servlet Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.228Z
Educadd Mandya,+,4.9,25 Ratings,"1st Subash Nagar Mandya, Mandya",,,Computer Training Institutes For Architectural CAD; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.228Z
Webnet Solutions,+,4.8,410 Ratings,"Main Chamundeshwari Nagar Mandya, Mandya",,,Advanced Java Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.228Z
Vismaya Computer Education,+,4.8,287 Ratings,"RP Road Subash Nagar Mandya, Mandya",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.228Z
Inspire Academy Mandya,+,4.8,185 Ratings,"M C Complex Mandya Ho, Mandya",,,Computer Training Institutes; Tutorials,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.228Z
Vega Institute,+,4.8,127 Ratings,"Ashoknagar Ashok Nagar Mandya, Mandya",,,3D Animation Training Institutes; Institutes,true,true,false,false,true,Computer Training Institutes,,Mandya,2025-06-02T07:54:38.228Z
