name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
K V Shankaragowda Memorial Sahana Dental Clinic,<,5.0,731 Ratings,"Vishweshwaraiah Road Mandya, Mandya",,09724420012,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.205Z
Dantha Gudi Super Speciality Dental Clinic,<,4.3,22 Ratings,"K R S Road Pandavapura, Mandya",,08460447752,,true,false,false,true,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Apollo BGS Hospital,<,4.8,"37,688 Ratings","Mysore M C Road Mandya, Mandya",,08460544018,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Manipal Hospital,<,4.4,13 Ratings,"Mysore Modur, Mandya",,08460461312,,true,true,false,true,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Gowrishankara Multispeciality Dental Clinic,<,4.5,32 Ratings,"Sugar Old MC Road Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Padmashree Dental Clinic,<,4.7,10 Ratings,"V V Road Ashok Nagar Mandya, Mandya",,,,true,false,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Kumar Dental Clinic,<,4.4,44 Ratings,"2nd Cross Vidya Nagar Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Aster G Madegowda Hospital,<,4.7,956 Ratings,"Malvalli Road Bharathinagar, Mandya",,,,false,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Clove Dental,<,4.8,481 Ratings,"Uttarahalli Main Road Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Danthaloka,<,4.9,159 Ratings,"Main Road Mandya Subashnagar, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Abhi Dental Clinic,+,4.6,160 Ratings,"Road Gandhi Nagar Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
B L Family Oro Dental Care,+,4.9,48 Ratings,"Sbm Road Maddur Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Cauvery Dental Clinic & Implant Center,+,4.7,34 Ratings,"Sbm Road Maddur Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.206Z
Nagu Dental And Polyclinic,N,5.0,30 Ratings,"Kollegal Road Malavalli, Mandya",,,,false,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Pranav Dental Care,+,4.8,30 Ratings,"Mysore Main Road Malavalli, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Jaya Cosmetic Dental Clinic,+,5.0,21 Ratings,"Hospital Nehru Nagar Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
BMK MULTISPECIALITY DENTAL CLINIC,+,4.9,20 Ratings,"Gandhi Nagara Mandya Mandya City, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Dr. Jayakumar Gc (Kumar Dental Clinic),D,4.8,19 Ratings,"Gandhinagar, Mandya",,,,false,false,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Slv Dental Clinic,S,4.8,16 Ratings,"maddur road Malavalli, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Olive Dental Care,O,4.9,15 Ratings,"Mc Road Ashok Nagar, Mandya",,,,true,false,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Deetya Multuspeciality Dental Clinic,D,4.7,15 Ratings,"Sbm Road Maddur Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Mangala Dental Clinic,M,4.0,17 Ratings,"V V Road Vidya Nagar Mandya, Mandya",,,,true,true,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Santhosh Poly Clinic,+,4.5,15 Ratings,"NM Road Pandwapura Pandavapura, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.207Z
Danthaloka Super Speciality Dental Hospital,+,5.0,13 Ratings,"Main Road Mandya Rural, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.208Z
Sumukha Dental Care (Laser And Implant Centre),S,4.7,9 Ratings,"Subash Nagar, Mandya",,,,true,true,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.208Z
Dr. R G Anupama Vivekananda,D,5.0,8 Ratings,"Bandi M C Road Mandya, Mandya",,,,false,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.208Z
Smiles Hospitals,+,4.7,7 Ratings,"3rd Cross Ashok Nagar, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.209Z
Shri Lakshmi Narasimha Swamy Dental Clinic,+,4.7,7 Ratings,"Maddur Taluk Koppa Mandya, Mandya",,,,true,true,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.209Z
mandya Cosmetic Dental Clinic Specialist Centre,m,5.0,6 Ratings,"V V Road Ashok Nagar Mandya, Mandya",,,,true,true,false,false,true,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.209Z
Sri Krupa Dental Clinic,S,5.0,6 Ratings,"Hosahalli Circle Mandya Ho, Mandya",,,,true,true,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.211Z
Sri Krupa Dental Clinic,S,5.0,6 Ratings,"Vv Road Vidya Nagar, Mandya",,,,true,true,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.211Z
Kushal Dental Clinic,K,4.6,6 Ratings,"Guthal Road Guttalu Mandya, Mandya",,,,true,true,false,false,false,Best Dentists,,Mandya - Book Appointment Online,2025-06-02T07:59:52.211Z
