name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shri Mallikarjuna Electricals,<,4.0,6 Ratings,"Ashoka Complex Guttalu Mandya, Mandya",,08105650343,Electricians; Electricians For Residence,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.399Z
Arunkumar Km Electrician,<,5.0,1 Ratings,"Konanahalli Village Konanahalli, Mandya",,08792486139,Electricians; Electricians For Residence,true,true,false,true,true,Electricians,,Mandya,2025-06-02T08:00:30.400Z
Shree Lakshmi Enterprises,<,4.0,2 Ratings,"No 343 Nagamangala, Mandya",,,Electricians; Electrical Contractors,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.400Z
Revan Construction,<,5.0,5 Ratings,"Cheeranahalli Road Halahalli, Mandya",,,Industrial; Building,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.403Z
Electrical Solutions,<,2.5,2 Ratings,"Holalu Circle Holalu Road, Mandya",,,Electricians; Fan Repair & Services,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.404Z
Sree Maruthi Enterprises,<,5.0,5 Ratings,"Old Mysore Road Krishnarajapete, Mandya",,,Electricians; Plumbers,false,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.405Z
Sri Ramanjaneya Electricals,<,5.0,2 Ratings,"Kalahalli Kallahalli, Mandya",,,Electricians; Labour Contractors,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.405Z
Mudasir Electrician,<,4.4,72 Ratings,"9th Cross Halahalli, Mandya",,,Electricians; Electronic Goods Exporters,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.405Z
ENERGY TREE,<,4.9,28 Ratings,"3rd Cross Mandya, Mandya",,,Electricians; Electrical Contractors,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.406Z
Srinivasa Electrical Contractor,<,4.8,14 Ratings,"Adijambavara Street Ganjam, Mandya",,,24 Hours Open,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.406Z
Sukhi's Mobiles and Belaku Electronice Showroom,+,4.3,12 Ratings,"Krs Road Pandavapura, Mandya",,,Wifi Internet; Company Authorised Dealer; Free installation,true,true,false,true,true,Electricians,,Mandya,2025-06-02T08:00:30.406Z
Balaji Electrical Enterprises,+,5.0,10 Ratings,"1st Cross Maddur Mandya, Mandya",,,24 Hours Open; Motor; Motor Pump,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Cesc(Chamundeshwari Electric Supply Company),C,4.0,9 Ratings,"571 T B Section, Mandya",,,Electricians For Building; Electricians,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Bharath Electronics,+,4.5,8 Ratings,"Old Old MC Road Mandya, Mandya",,,Electricians; TV Repair & Services,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Shankar Electricals,S,4.4,5 Ratings,"Koppal Extension Kikkeri, Mandya",,,Industrial Electrical Contractors; Electricians,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Sri Kalabhyraweshwara Electricals,S,4.1,5 Ratings,"Nagar B M Road Mandya, Mandya",,,Electrical Contractors For Building; Electricians,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Srinivas Electrical Services,S,4.0,5 Ratings,"Budanur, Mandya",,,Electricians; Electrical Consultants,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Dhanalakshmi Electricals & Hardware,D,3.3,6 Ratings,"Pete Bidi Malavalli, Mandya",,,Electricians; Electrical Shops,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.407Z
Rekha Electricals,+,4.8,4 Ratings,"Mysore Road Gandhi Nagar Mandya, Mandya",,,Company Authorised Dealer,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.408Z
Sri Veerbadreshwara Electrical And Hardware,+,4.3,3 Ratings,"Gejjalagere Maddur Mandya, Mandya",,,Electricians; Plumbers,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.408Z
Shivashakthi Hardware And Electricals,S,4.0,3 Ratings,"Nagamangala, Mandya",,,Electricians; Hardware Shops,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.408Z
A M Constructions,A,3.5,3 Ratings,"Guttalu Mandya, Mandya",,,Building,true,true,false,false,false,Electricians,,Mandya,2025-06-02T08:00:30.408Z
Hi Tech Enterprises,+,5.0,2 Ratings,"Holalu Road Mandya, Mandya",,,Premium,true,true,false,false,true,Electricians,,Mandya,2025-06-02T08:00:30.408Z
