name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Bhavya Janma Bhoomi Spirito Organic Farms LLP,<,5.0,2 Ratings,Mandya,,,Trade Fair Organisers,false,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.783Z
Blue Sky Events & Exhibitions,<,4.3,3 Ratings,"90 Feet Road Nalasopara East, Palghar",,09036670588,,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.783Z
Darla Sales And Agencies,<,4.5,729 Ratings,"No.1516/A Shivarampet, Mysore",,,Same Day Delivery; On Site Services,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Align Ads And Events,<,3.9,9 Ratings,"Hebbal Main Road Metagalli, Mysore",,,Event Organisers For Dance Parties; Event Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Southern Furnishers,<,4.3,26 Ratings,"Madhwachar Circle Kr Mohalla, Mysore",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Flea Fever Events,<,2.5,2 Ratings,"Purva Highland Kanakapura Road, Bangalore",,,Birthday Party Organisers; Flower Decorators,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Alarfe,<,4.9,63 Ratings,"Anjanapura Jp Nagar 9th Phase, Bangalore",,,,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Aarka Events,<,4.8,2 Ratings,"Annaporneshwari Nagar Nagarbhavi, Bangalore",,,Event Management Companies For Sports; Corporate Companies,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Think Big Platforms,<,4.9,23 Ratings,"6th Cross Vijayanagar, Bangalore",,,Exhibition Organisers; Caterers,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
Royal Production House,<,4.4,5 Ratings,"4th Cross Chikkalsandra, Bangalore",,,Decorator,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Mandya,2025-06-02T15:57:51.784Z
