name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Saraswathi Steel Fabrication,<,3.0,8 Ratings,"Maddur Mandya, Mandya",,08904392617,Industrial,true,false,false,false,true,Fabricators,,Mandya,2025-06-02T16:04:57.979Z
Ecohouse,<,4.9,17 Ratings,"Circle Gandhi Nagar Mandya, Mandya",,08050196362,Upvc Door; Plywood Door Dealers,true,false,false,true,true,Fabricators,,Mandya,2025-06-02T16:04:57.979Z
Taj ENGINEERING WORK,<,4.5,4 Ratings,"4th Cross RR Ngaar Maddur Mandya, Mandya",,08460450441,Industrial,true,false,false,true,true,Fabricators,,Mandya,2025-06-02T16:04:57.979Z
Sri Paranjyothi Enterprises,<,5.0,2 Ratings,"Barathi Nagar Km Doddi, Mandya",,07383025934,Fabricators; Aluminium Fabricators,true,false,false,true,true,Fabricators,,Mandya,2025-06-02T16:04:57.979Z
D.H.K ENGINEER WORK,<,5.0,3 Ratings,"Old MC Road Maddur Mandya, Mandya",,08904080985,Wpc Door Dealers; Upvc Door,true,false,false,true,true,Fabricators,,Mandya,2025-06-02T16:04:57.980Z
Slv Enterprises,<,4.0,3 Ratings,"Main Road Doddakallasandra, Bangalore",,07041944282,Fabricators; MS Fabricators,true,false,false,false,false,Fabricators,,Mandya,2025-06-02T16:04:57.980Z
F K Tensile Structure and Fabrication,<,3.9,7 Ratings,"4th Cross Jp Nagar 6th Phase, Bangalore",,08401754984,Industrial,true,false,false,false,false,Fabricators,,Mandya,2025-06-02T16:04:57.980Z
Varaha Industries,<,4.3,3 Ratings,"Venkateswara Nagar Sunkadakatte, Bangalore",,08904589791,Powder Coating Services; Fabricators,true,false,false,false,false,Fabricators,,Mandya,2025-06-02T16:04:57.980Z
Trancivilia Constructions Private Limited,<,4.6,14 Ratings,"Feet Ring Banashankari 3rd Stage, Bangalore",,09980942009,Industrial,true,false,false,true,true,Fabricators,,Mandya,2025-06-02T16:04:57.980Z
H L Power Tech Laser Cutting,<,5.0,1 Ratings,"Village Hosur Industrial Complex, Hosur",,07383244439,Fabricators; Engineering Companies,true,false,false,false,true,Fabricators,,Mandya,2025-06-02T16:04:57.980Z
