name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Mahatma Furnitures,<,4.4,144 Ratings,"Ashok Nagar Ashok Nagar Mandya, Mandya",,,Delivery Available; Same Day Delivery,true,true,false,true,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.752Z
Sinchana Enterprises And Furniture,<,3.2,5 Ratings,"Mandya Melukote Road, Mandya",,,On Site Services,true,true,false,false,false,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.752Z
Cauvery Bedding,<,5.0,1 Ratings,"100 Feet Road Gandhinagar, Mandya",,,Outdoor Furniture Repair & Services; Furniture Dealers,true,true,false,false,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.752Z
At Chusion Work,<,5.0,1 Ratings,"Old Old MC Road Mandya, Mandya",,,Furniture Repair & Services; Sofa Set Manufacturers,true,true,false,false,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.752Z
Vani Shamiyana Centre,<,4.0,1 Ratings,"Shivapura Maddur Mandya, Mandya",,,Furniture Dealers; Furniture Repair & Services,true,true,false,false,false,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.752Z
A2z Enterprises,<,5.0,"1,083 Ratings","4th Cross Udayagiri, Mysore",,08511239544,Sofa Set Repair & Services; Sofa Repair & Services,true,true,false,true,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.753Z
S F Royal Steel Furnitures,<,5.0,1 Ratings,"H B Colony Kalyana Girinagar, Mysore",,,Furniture Repair & Services; Steel Furniture Repair & Services,false,true,false,false,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.753Z
Subhaniya Furnitures,<,4.9,3 Ratings,"Rajkumar Road Kalyana Girinagar, Mysore",,,Sofa Set Repair & Services; Sofa Repair & Services,true,true,false,false,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.753Z
Luxury Furniture,<,3.8,9 Ratings,"Sulthan Road Udayagiri, Mysore",,,Cane Furniture Dealers; Furniture Dealers,true,true,false,false,false,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.753Z
F S New Bed,<,5.0,2 Ratings,"Bannur Road Yaraganahalli, Mysore",,,Folding Bed Dealers; Sofa Repair & Services,true,true,false,false,true,Furniture Repair & Services,,Mandya,2025-06-02T16:07:55.753Z
