name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Manipal Hospital,<,4.4,13 Ratings,"Mysore Modur, Mandya",,08460461312,,true,true,false,true,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.643Z
Kangaroo Care Women and Children Hospital and Fertility Center,<,5.0,4 Ratings,"B CROSS Modur, Mandya",,08401988254,,true,true,false,false,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.644Z
Apollo BGS Hospital,<,4.8,"37,688 Ratings","Mysore M C Road Mandya, Mandya",,08460544018,,true,true,false,false,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.644Z
D R M Multispeciality Hospital,<,4.3,57 Ratings,"100 Feet Road Gandhinagar, Mandya",,07947068410,,true,true,false,true,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.644Z
Bethel Medical Mission Hospital & Hosmat Hospital Education Group,<,4.1,158 Ratings,"Preety Nagar Laggere, Bangalore",,07048209067,,true,true,false,false,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.644Z
Shri Tulasigirish Diabetes Hospital & Diabetes Research Foundation,<,4.2,34 Ratings,"Mahaveer Road Bagalkot, Bagalkot",,,,true,true,false,false,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.645Z
Global Health Tourism,<,4.6,38 Ratings,"Lane No 5 Vishwakarma Nagar, Nagpur",,09980635869,,true,true,false,false,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.645Z
Pragati Medcity and Stem Cell Centre,<,4.8,30 Ratings,"Ajay Singh Marg Rohit Nagar, Bhopal",,09035344697,,true,false,false,true,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.645Z
Nephron Kidney Kare Clinic,<,3.9,119 Ratings,"Bariatu Road Bariatu, Ranchi",,,,true,false,false,false,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.645Z
Nangal Cancer Hospital & Research Institute,<,4.7,633 Ratings,"College Road Bikaner Agra Road, Bikaner",,,,true,true,false,true,true,Best Hospitals,,Mandya,2025-06-02T08:06:08.645Z
