name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Kanasu Jalasuchi,<,4.3,26 Ratings,"Karasawadi Ashok Nagar Mandya, Mandya",,08487851447,Cleaning Services; Plumbers,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Shri Bannariyamma Enterprises,<,4.6,12 Ratings,"Ashok Nagar Mandya, Mandya",,08460421875,Toilet Deep Cleaning Services; Water Tank Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Sri Rangaswamy Enterprises,<,4.3,16 Ratings,"Mandya Subashnagar, Mandya",,08734996940,,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Home Deep Cleaning Solution Services,<,4.3,12 Ratings,"Feet Road Gandhi Nagar Mandya, Mandya",,08460208378,Housekeeping Services; Toilet Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Sri Maruthi Water Tank And Sump Cleaning,<,4.9,33 Ratings,"2nd Cross Guthal Colony Mandya, Mandya",,,Water Tank Cleaning Services; Septic Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Sri Ranga Swamy Enterprises,<,4.7,8 Ratings,"K M Doddi Bharathinagar, Mandya",,,Cleaning Services; Construction Contractors,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Helping Hand Services,<,4.7,3 Ratings,"Kote Bidhi Srirangapatna, Srirangapatna",,,Eco Friendly Housekeeping,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Sri Bannariyamma Hi-Tech Septic Cleaning Services,<,3.7,3 Ratings,"Mandya City, Mandya",,,Toilet Cleaning Services; Septic Tank Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
Swach Bharath Hi-Tech Pit Cleaning,<,4.0,2 Ratings,"Srirangapatna Fort Mandya, Srirangapatna",,,Water Tank Cleaning Services; Toilet Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.302Z
A A Enterprises,<,4.0,8 Ratings,"Udayagiri Udayagiri, Mysore",,,Car Upholstery Cleaning Services; Sofa Cleaning Services,false,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
P S P SERVICES,+,4.4,13 Ratings,"TEACHER COLONY Jyothinagar, Mysore",,,Water Tank Cleaning Services; Residential Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Chandana Drainage Services,+,5.0,2 Ratings,"Bharath Nagara Sathagalli Layout, Mysore",,,Toilet Cleaning Services; Bathroom Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Adc Services,A,4.5,4 Ratings,"Shakthinagar, Mysore",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
M D S Drainage Cleaning Service,M,5.0,1 Ratings,"Kuri Mandi Circle Naidunagar, Mysore",,,Water Tank Cleaning Services; Residential Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Sri Manjunatha Tank,+,4.0,5 Ratings,"Naidunagar, Mysore",,,Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Manju Cleaning Service,M,4.2,13 Ratings,"Main Road Udayagiri, Mysore",,,Cleaning Services,false,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Sgs Enterprises,S,4.7,19 Ratings,"Cnm School Road Mahadevapura, Mysore",,,Bodyguard; Bouncer Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
A M Tank Purifier,+,4.8,26 Ratings,"Alanahalli, Mysore",,,Water Tank Cleaning Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Ts Deep Clean Service,T,4.4,5 Ratings,"4th Cross Road Naidunagar, Mysore",,,Cleaning Services,false,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
The Fivestar Carpet and Sofa Cleaners,+,4.5,2 Ratings,"Al Badar Circle Rajivnagar, Mysore",,,Foam Cleaning,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
Innovativepro Sales And Service,I,4.3,3 Ratings,"School Road Devegowda Circle, Mysore",,,Water Tank Cleaning Services; Cleaning Services,false,true,false,false,true,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
R R Cleaning Services,+,4.0,5 Ratings,"Jyothi Nagar Udayagiri, Mysore",,09035178951,Residential Cleaning Services; Toilet Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
I Shine,I,4.0,1 Ratings,"4th Cross Udayagiri, Mysore",,,Sofa Cleaning Services; Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Mandya,2025-06-02T16:14:23.303Z
