name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Sai Classic Suit,<,4.8,8 Ratings,"Vinobha Road Subash Nagar, Mandya",,,Ironing,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.460Z
Anitha Rajinikanth House,<,4.7,7 Ratings,"Kodihalli Hosur, Mandya",,,Laundry Services,false,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.460Z
Shre Lakshmi Venkateshwara Dry Cleaners,<,4.4,7 Ratings,"Guthal Road Mandya, Mandya",,,Laundry Services; Dry Cleaners,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.461Z
Sanjaya Electrical Dry Cleaners,<,5.0,3 Ratings,"R.P Road Gandhi Nagar Mandya, Mandya",,,Laundry Services; Dry Cleaners,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.461Z
Sls Steam Iron Laundru,<,4.0,2 Ratings,"Pura Main Road, Mandya",,,Laundry Services,false,false,false,false,false,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.461Z
Slv Dry Cleaners B2,<,4.0,2 Ratings,"Kalamma Gudi Street, Srirangapatna",,,Laundry Services,false,false,false,false,false,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.461Z
Gajanan dry cleaner,<,5.0,1 Ratings,"Karsawadhi Road Hosahalli, Mandya",,,Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.461Z
Adhunika Marata Kendra,<,5.0,1 Ratings,"Mysore Road Pandavapura, Mandya",,,Laundry Services; Shoe Laundry Services,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.462Z
Naveen Dry Cleaners,<,4.5,1 Ratings,"1003 Rajivnagar, Mysore",,,Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.462Z
Shubam Dry Cleaner,<,4.5,2 Ratings,"Abdul Rahman Road Rajivnagar, Mysore",,,Home Delivery; Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.462Z
Welcome Iron Shop,W,4.2,6 Ratings,"Abdul Rahman Road Rajivnagar, Mysore",,,Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.462Z
Laundry Lounge,L,4.5,16 Ratings,"Mysuru Moulim Nagar, Mysore",,,Laundry Services,false,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.462Z
Sri byraveshwara dry cleaners,S,5.0,1 Ratings,"Bannur Road Yaraganahalli, Mysore",,,Home Delivery; 24 Hours; Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.462Z
Bhavani Dry Cleaning,B,4.0,2 Ratings,"Nagar Narasimharaja Mohalla, Mysore",,,Laundry Services,false,false,false,false,false,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.463Z
Wrinkle Free Automatic Ironing,W,5.0,1 Ratings,"Raghavendra Nagar, Mysore",,,Home Delivery; Ironing; Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.463Z
Mp Dry Cleaners,M,4.8,4 Ratings,"Quba Masjid Road Udayagiri, Mysore",,,Home Delivery; Dry Clean Up,true,false,false,false,true,House keeping Services,Popular Laundry Services,Mandya,2025-06-02T16:13:29.463Z
