name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Design Garage,<,5.0,23 Ratings,"Old MC ROAD Maddur Mandya, Mandya",,,Interior Designers; Architects,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.144Z
Ecohouse,<,4.9,17 Ratings,"Circle Gandhi Nagar Mandya, Mandya",,08050196362,Upvc Door; Plywood Door Dealers,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.144Z
Prime Designs,<,4.3,3 Ratings,"Temple Road Maddur Mandya, Mandya",,07411667810,Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Kanva Construction,<,4.3,3 Ratings,"Road Mandya Ashok Nagar Mandya, Mandya",,09054052245,Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Baron Chambers,<,5.0,2 Ratings,"Nagar IV Mandya Subashnagar, Mandya",,08460220369,Quick Visit,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Arun Construction,<,5.0,7 Ratings,"Arunkumar Malavalli, Mandya",,08147903724,,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Srinivasa Constructions,<,5.0,25 Ratings,"Chamundeshwari Nagar Mandya, Mandya",,08123677115,Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Shree Arkeshwara Civil Consultants,<,4.8,12 Ratings,"Old Bus Stand Maddur Mandya, Mandya",,08460206162,Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Sri Guru Raghavendra Architect and Designs,<,4.0,3 Ratings,"Binny Layout Vijayanagar, Bangalore",,08511420672,Building,true,true,false,true,false,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
Checkmate Cubes,<,4.8,8 Ratings,"7th Cross Malleswaram, Bangalore",,08460529491,Civil Engineering Consultants; Architects,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Mandya,2025-06-02T08:11:38.145Z
