name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Kuberan Home Interior,<,5.0,3 Ratings,"Police Station Road Pandavapura, Mandya",,08123055709,Interior Designers; Pop Contractors,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
My Home,<,4.4,9 Ratings,"Old Mc Road Maddur, Mandya",,,Interior Designers For Beauty Parlour; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Dhanya Swaroopa Interiors Works,<,4.0,3 Ratings,"Kaveri Nagara Hosahalli Extn, Mandya",,07411949723,Carpenters; Interior Designers,true,false,false,true,false,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Prime Designs,<,4.3,3 Ratings,"Temple Road Maddur Mandya, Mandya",,07411667810,Building,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Ecohouse,<,4.9,17 Ratings,"Circle Gandhi Nagar Mandya, Mandya",,08050196362,Upvc Door; Plywood Door Dealers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Svg Construction,<,3.5,2 Ratings,"VV Road Malavalli, Mandya",,08460196304,Textured Wall Painting,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Kanva Construction,<,4.3,3 Ratings,"Road Mandya Ashok Nagar Mandya, Mandya",,09054052245,Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Ssi Furniture,<,3.5,20 Ratings,"Doddanna Industrial Estate-Hegganahalli, Bangalore",,,Furniture Manufacturers; Interior Designers,true,false,false,true,false,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Goodline Interior,<,5.0,1 Ratings,"Main Road Ullal Upkar Layout, Bangalore",,08735891921,Modular Kitchen Dealers; Interior Designers,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Royal Silvia Constructions And Interiors Pvt Ltd,<,5.0,12 Ratings,"Salagame Road Rangoli Halla, Hassan",,07411563299,Residential; Apartment,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Logic Builders,+,5.0,13 Ratings,"Mahadeshwara Badavane Layout, Mysore",,09980764075,Residential; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
DELTA ARCHITECTS,+,4.8,77 Ratings,"80 Feet Hunsinkere Main Road, Hassan",,08460214152,Industrial; Residential,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
HN Groups HN Homes Interiors Artful,+,4.6,30 Ratings,"Banglore Rural Thanniruhalla, Hassan",,09035031473,Upvc Door; 3D Painting,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
Kcreative Dizayn,K,4.1,5 Ratings,"22nd Cross Hsr Layout Sector 3, Bangalore",,,Interior Designers For Bungalow; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mandya,2025-06-02T16:20:22.731Z
