name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Mangaldeep Enterprises,<,4.8,6 Ratings,"Floor Old MC Road Mandya, Mandya",,08460407214,Electric Chimney Dealers-Kaff; Refrigerator Repair & Services,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.844Z
Shree Arkeshwara Civil Consultants,<,4.8,12 Ratings,"Old Bus Stand Maddur Mandya, Mandya",,08460206162,Building,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.845Z
Silver Stone Construction,<,4.6,5 Ratings,"Anitha Convent Road Malavalli, Mandya",,08460451577,Civil Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.845Z
Prime Designs,<,4.3,3 Ratings,"Temple Road Maddur Mandya, Mandya",,07411667810,Building,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.845Z
Sri Shankar Vijaya Sawmill and Wood Industries,<,4.1,18 Ratings,"Holalu Circle Old Mc Road Mandya, Mandya",,09054657009,,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.846Z
Srinivasa Constructions,<,5.0,25 Ratings,"Chamundeshwari Nagar Mandya, Mandya",,08123677115,Building,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.846Z
Svg Construction,<,3.5,2 Ratings,"VV Road Malavalli, Mandya",,08460196304,Textured Wall Painting,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.846Z
Gari Constructions,<,4.7,3 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,07383031497,Civil Contractors; Tile Contractors,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.846Z
My Home,<,4.4,9 Ratings,"Old Mc Road Maddur, Mandya",,,Interior Designers For Beauty Parlour; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.847Z
Baron Chambers,<,5.0,2 Ratings,"Nagar IV Mandya Subashnagar, Mandya",,08460220369,Quick Visit,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Mandya,2025-06-02T16:21:41.847Z
