name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ra Creation,<,4.9,53 Ratings,"2nd Cross Vidya Nagar, Mandya",,09054487418,Videography,true,false,false,true,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.009Z
Ganesha Big Prints Mandya,<,4.2,46 Ratings,"2nd Cross Ashok Nagar Mandya, Mandya",,07383446743,Flex; Digital,true,false,false,false,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.009Z
Anitha Enterprises,<,5.0,16 Ratings,"Vivekanda Nagar Maddur Mandya, Mandya",,08401232785,Photo; Digital,true,false,false,false,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.010Z
Sri Bhairaveshwara Big Print,<,3.5,2 Ratings,"Nagamangala Road Anekere Beedi, Mandya",,08460306758,Digital; Flex,true,false,false,false,false,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.010Z
Cauvery Digital Lab,<,4.3,71 Ratings,"VV Road Vv Road, Mandya",,,Photo; Videography,true,false,false,true,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.010Z
Chandan Printers,<,4.8,5 Ratings,"Railway Station Road Jain Street, Mandya",,,Book,true,false,false,true,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.010Z
Sri Udaya Printers,<,4.5,53 Ratings,"Old M.C. Road Maddur Mandya, Mandya",,,Book; Photo; Same Day Delivery,true,false,false,true,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.011Z
Mandya Big Print,<,4.1,44 Ratings,"R.P. Road R P Road Mandya, Mandya",,,Flex; Digital; In Store Collect,true,false,false,false,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.011Z
Creative Digital Image,<,4.2,30 Ratings,"Branch In Maddur Subash Nagar, Mandya",,,Digital; Flex,true,false,false,true,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.011Z
TeeShop,<,5.0,20 Ratings,"Road Chamundeshwari Nagar Mandya, Mandya",,,Printing Services; DTF Printing Services,true,false,false,false,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.011Z
Skillfern Multimedia,+,4.9,17 Ratings,"100 FT Road vidya nagar, Mandya",,,Digital; Flex,true,false,false,false,true,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.012Z
Sharada Printing Press,S,3.7,7 Ratings,"Sh 33 Malavalli, Mandya",,,Printing Press; Printing Services,true,false,false,false,false,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.012Z
V K Technologies,V,4.3,6 Ratings,"Ashoka Nagar Mandya, Mandya",,,Printing Services; Printer Cartridge Ink Refilling,true,false,false,false,false,Reliable Printing Services,,Mandya - Quality You Can Trust,2025-06-02T08:21:41.012Z
