name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sathish Gs Gubbi Real Estate,<,4.1,37 Ratings,"KEB Colony Chamundeshwari Nagar, Mandya",,07383472843,,true,true,false,false,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Sanvi Entreprises,<,4.8,26 Ratings,"Mysore Main Road Malavalli, Mandya",,08487990741,Real Estate Agents; Estate Agents For Land,true,true,false,true,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Bhairveshwar Real Estate,<,4.0,4 Ratings,"Tumkur Road Pandavapura, Mandya",,08123153417,Real Estate Agents; Estate Agents For Residential Rental,true,true,false,false,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Sri Jai Maruthi Real Estate,<,4.3,10 Ratings,"3rd Cross Guttalu Mandya, Mandya",,09725396034,Real Estate Agents; Estate Agents For Residential Rental,true,true,false,true,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Nakul Real-estate ( Maddur ),<,5.0,9 Ratings,"Teacher Colony Maddur Mandya, Mandya",,08904937655,,true,true,false,true,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
True Land Surveys,<,4.8,22 Ratings,"BM Road Ashok Nagar Mandya, Mandya",,09731715807,Column Marking; Digital,true,true,false,true,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Hamsa Real Estate,<,5.0,2 Ratings,"Hotel Opposite Bandigowda Layout, Mandya",,08460303572,Real Estate Agents; Estate Agents For Residential Rental,true,true,false,false,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Maharaja Properties,<,4.8,59 Ratings,"Chenapatna Main Road Halagur, Mandya",,,Real Estate Agents; Estate Agents For Residence,false,true,false,false,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Victory Greens,<,4.1,29 Ratings,"1 Shankar Pura, Mandya",,,Real Estate Agents; Estate Agents For Residential Rental,true,true,false,false,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
Victory Greens,<,4.2,22 Ratings,"Avverahalli, Mandya",,,Real Estate Agents; Estate Agents For Residence,true,true,false,false,true,Trusted Estate Agents,,"Mandya for Property Buying, Selling & Rentals",2025-06-02T16:01:36.049Z
