name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ganavi Security Service & Allied Services Pvt Ltd,<,4.6,15 Ratings,"Road Shivapura Extension Mandya, Mandya",,,Corporate Companies; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.859Z
Civil Security Services India Pvt.Ltd.,<,4.8,13 Ratings,"Mandya HO, Mandya",,,Security Services,true,true,false,false,false,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.859Z
Unity Guarding Services and Allide Services,<,4.1,7 Ratings,"4th Phase Yelahanka New Town, Bangalore",,08401799259,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.859Z
Disha Security and Allied Services,<,4.9,10 Ratings,"BSNL Office Road Anandapura, Bangalore",,07048811686,Armed Security Services; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
Kavipriya HR Solutions Pvt. Ltd.,<,4.0,46 Ratings,"5th A Cross Banaswadi, Bangalore",,08105161465,Bouncer Services; Armed Security Services,true,true,false,true,false,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
Laxmi Control System,<,4.2,48 Ratings,"Belavadi Post Belavadi, Mysore",,08460413072,Automation System Dealers; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
Sharp Intelligence Bureau,<,4.5,46 Ratings,"BG Road Bilekahalli, Bangalore",,09980224063,Bodyguard,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
United India Facilities Management Services,<,5.0,6 Ratings,"Kempapura Hebbal, Bangalore",,09980227164,Security Services; Housekeeping Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
Sharada Enterprises,<,5.0,7 Ratings,"Railway Station Doddaballapur, Bangalore",,09054827980,Lost Device Tracking; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
Jyothi Security and Allied Services,<,3.5,2 Ratings,"Chamarajanagara PWD Colony, Chamarajanagar",,08511967098,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.860Z
Top Guard Security Services,+,4.3,24 Ratings,"Colony New Bannimantap Extension, Mysore",,08511534093,Bouncer Services; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Rajdhani Detective Agencies,+,4.9,498 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Location One Facility Management Services Private Limited,L,4.2,30 Ratings,"Market Road Ernakulam Bazar, Ernakulam",,07383061424,Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Kalmeshwar Industrial And Security Service,+,4.0,16 Ratings,"Court Circle Neeligin Road Hubli, Hubli",,08401237168,Bouncer Services; Armed Security Services; Bodyguard,true,true,false,true,false,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Avengers Facility Services,+,4.8,207 Ratings,"Abdulla Khan Estate Gandhi Nagar, Kurnool",,08401332171,,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
GRPS SECURITY AND FACILITY MANAGEMENT SERVICE PVT.LTD,+,4.8,24 Ratings,"Gandhi  Nagar Gokul Road, Hubli",,08490086960,"Registration-ESIC, EPFO, GST, PSARA Licence.; Facility Management; Bodyguard",true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Lion Heart Force,+,4.4,52 Ratings,"Stand Ashram Road Bijapur City, Bijapur-Karnataka",,08734976472,Bodyguard; Armed Bodyguard; Bouncer Services,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Lion Security Guard & Manpower Agency,L,4.0,3 Ratings,"Opp Basva Pu College Sedam Road, Gulbarga",,08904246083,Bodyguard; Armed Security Services; Bouncer Services,true,true,false,false,false,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Manish Man Power Agency,+,3.9,99 Ratings,"PWD Quarters Old Jewargi Road, Gulbarga",,,Offers Training Program; Armed Security Services,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.861Z
Cyber Crime Helpline LLP,+,4.2,"4,082 Ratings","Kondhwa Khurd, Pune",,,Cyber Security Services; Security Services,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
Royal Security Force and Allied Services,+,4.2,99 Ratings,"PUDI MAIN ROAD V.l.puram, Rajahmundry",,08128274453,Bodyguard; Bouncer Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
Helik Advisory Ltd,+,4.4,70 Ratings,"Mumbai Central, Mumbai",,09845242125,Security Services; Handwriting Experts,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
Bombay Forensic,+,4.1,401 Ratings,"Modi Street Fort, Mumbai",,,,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
YLALA SECURITY & MANPOWER PRIVATE LIMITED,+,4.6,69 Ratings,"Bhandara Road Bagadganj, Nagpur",,08511796849,Atm Security Guard; Home Security Guard; Background Verification,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
Sandhu Security Service,S,3.0,2 Ratings,"Stand Vadodara Mahanagar Palika, Vadodara",,09035041846,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,false,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
Tec Materials Testing Lab,+,4.6,121 Ratings,"Chakkargadh Road Chakkargadh, Amreli",,,Industrial; Building,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
Hindustan Security Service,H,4.4,36 Ratings,"Mega Mall Ambedkarnagar, Surendra Nagar-Gujarat",,07405935633,Bodyguard; Bouncer Services; Armed Security Services,true,true,false,false,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.862Z
United Security Service,+,4.6,108 Ratings,"Office No. 418 Yagnik Road, Rajkot",,08401607590,,true,true,false,true,true,Security System,Find Top Security Services,Mandya for Trusted Protection,2025-06-02T16:52:30.863Z
