name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Yogesh Goods Transports,Y,4.0,1 Ratings,"Krishna Raj Pete Taluq Kikkeri, Mandya",,,All India; Within City; Electronic,true,false,false,false,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.507Z
Hi-con Transports,H,4.5,16 Ratings,"Industrial Area Nayandahalli, Bangalore",,07041272875,Interstate Moving; Transporters For Cargo; Bulk Courier,true,false,false,true,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.508Z
Zlatan Ventures,+,4.3,6 Ratings,"and 8th Cross Chamarajpet Bazaar, Bangalore",,,All India; Cargo Service; Tempos On Hire,true,false,false,true,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.508Z
Express Packers And Movers,+,4.4,22 Ratings,"Yeshwanthpur Nandini Layout, Bangalore",,,Pets Transportation; Domestic Courier; Cargo Service,true,false,false,false,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.508Z
Geetee Carriers Pvt Ltd,G,3.6,11 Ratings,"Truck Terminal Yeshwanthpur, BANGALORE",,,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,false,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.509Z
Sri Ram Transport,S,4.0,1 Ratings,"Itpl Road   Hoodi Hoodi, Bangalore",,,Cargo Service,true,false,false,false,false,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.509Z
Sree Madheswara Transport,+,4.2,45 Ratings,"Avalapalli Road Avalapalli, Hosur",,,Cargo Service; Trucks On Rent; Company Authorised Dealer,true,false,false,false,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.509Z
Jai Manjunatha Transport,+,3.9,6 Ratings,"Bangalore Bypass Road Shoolagiri, Hosur",,,24 Hours Transporters; Transporters,true,false,false,false,false,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.509Z
Supreme Transport Company,+,4.5,5 Ratings,"Chinnathirupathy Hastampatti, Salem",,,Trucks On Rent; Domestic Courier; Bulk Courier,true,false,false,false,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.509Z
S K Transports Packers And Movers,+,4.9,15 Ratings,"Kumbakonam Bypass Gandhi Nagar, Neyveli",,09054024722,Trucks On Rent; All India; Within City,true,false,false,false,true,Transporters,Popular Transporters For Food Grains,Mandya,2025-06-02T16:31:37.510Z
