name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
G Vision Technologies,+,4.7,26 Ratings,"SLN Complex Subash Nagar, Mandya",,08401225322,IP; Wireless; Computer Repair,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Sri Raghavendra Computers,+,4.0,28 Ratings,"Railway Station Road Jain Street, Mandya",,,Company Authorised Dealer,true,false,false,false,false,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Girias Investment Pvt Ltd,+,4.0,240 Ratings,"Mysore Highway M C Road Mandya, Mandya",,07383079591,Company Authorised Dealer,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Smart Enterprises,+,4.5,10 Ratings,"Road Nehru Nagar Mandya, Mandya",,,DTH TV Broadcast Service Providers; UPS Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Malleshwara Infotech,+,4.5,2 Ratings,"Near Bus Stop Mandya, Mandya",,,Laptops On Rent; Computer Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Croma,+,4.5,"1,518 Ratings","M C Road Mandya, Mandya",,,In Store Collect; Same Day Delivery; Shop In Store,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Netpoint,+,4.8,526 Ratings,"Chamundeshwari Nagar Mandya, Mandya",,,Computer Repair & Services; Computer Printer Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
Samruddhi Computers,+,4.7,489 Ratings,"1st Cross Vidya Nagar, Mandya",,,Computer Dealers; Computer Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.430Z
24x7 Smart Security Solutions,+,4.8,177 Ratings,"12th Cross Mandya, Mandya",,,24 Hours Open,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.431Z
Aashirvad Computer Mall,+,4.8,72 Ratings,"2nd Main Road Ashok Nagar, Mandya",,,CCTV Installation Services; CCTV Dealers,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.431Z
Shri Computers,+,3.7,91 Ratings,"V V Road Ashok Nagar Mandya, Mandya",,,Computer Dealers-Acer; Computer Repair & Services,true,false,false,false,false,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.431Z
Shri computer,+,3.7,91 Ratings,"Vv Rood Mandya City, Mandya",,,Computer Dealers; Computer Accessory Dealers,true,false,false,false,false,Vocational training,Popular Computer Dealers,Mandya,2025-06-02T08:36:23.431Z
