name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Express Cool,<,4.1,147 Ratings,"Dealer and Services Mallikatta, Mangalore",,09035565590,AC Repair & Services; AC Dealers,true,true,false,true,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.621Z
Deepa Airconditioning,<,4.3,8 Ratings,"NG Road Attavar, Mangalore",,08511706654,Ductable AC Repair & Services; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.622Z
Yeskay Enterprises,<,4.8,20 Ratings,"B C Road Bantwal, Mangalore",,,Refrigerator Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.622Z
Cooll Zone,<,4.7,7 Ratings,"University Road Derlakatte, Mangalore",,08147512517,AC Repair & Services; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.623Z
Vandana Home Appliances,<,4.9,17 Ratings,"Airport Road Padavinangady, Mangalore",,08511915628,Home Appliance Dealers; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.624Z
Cool Comfort,<,3.5,62 Ratings,"Gulwadi House Bejai, Mangalore",,,AC Repair & Services; Washing Machine Repair & Services,true,true,false,true,false,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.626Z
Sri Ganesh Refrigeration,<,4.1,82 Ratings,"Shivabhagh Main Road Kadri, Mangalore",,08511238093,Same Day Delivery; Shop In Store,true,true,false,false,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.627Z
HVT Appliances,<,4.2,99 Ratings,"Balmatta Road Bendoorwell, Mangalore",,,Company Authorised Dealer,true,true,false,true,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.628Z
Kala Electronics and Electricals,<,4.2,30 Ratings,"Mannagudda Main Road Ballalbagh, Mangalore",,08511770475,Solar,true,true,false,false,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.629Z
We Fix Sales & Services,<,4.1,16 Ratings,"Ks Rao Road, Mangalore",,,Refrigerator Repair & Services-Siemens; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.629Z
Bull Bird Engineers,+,4.3,11 Ratings,"Kulshekar, Mangalore",,08511847960,AC Repair & Services; Ro Water Purifier Repair & Services,true,true,false,false,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.630Z
Bright Aircon,+,4.3,9 Ratings,"Balmatta Road Balmatta, Mangalore",,,AC AMC-LG; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Mangalore,2025-05-31T14:48:53.630Z
