name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
The House Of Aesthetics Unisex Salon,<,4.1,338 Ratings,"Opposite Kadri Ground Kadri, Mangalore",,08511916605,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.297Z
Yogavidhya Therapy Centre,<,5.0,19 Ratings,"Navabharath Circle Kodialbail, Mangalore",,08511914363,,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.297Z
Tattoo Temple Mangalore & Bangalore,<,4.7,158 Ratings,"Lalbagh Lalbagh, Mangalore",,09980772074,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.297Z
Smart Hair Weaving Centre,<,4.8,321 Ratings,"Bejai Main Road Bejai, Mangalore",,08511698258,Non Surgical Method of Hair replacement,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.298Z
Vish Skin Clinic,<,4.2,268 Ratings,"Collectors Gate Balmatta, Mangalore",,08511707028,,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.298Z
Brahmi Profsional Family Salon,<,4.0,152 Ratings,"Bejai Main Road Bejai, Mangalore",,08904955729,Beauty Salons; Beauty Parlours,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.299Z
Nano Hair Implant,<,4.9,129 Ratings,"Pumpwell, Mangalore",,08511320459,,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.299Z
Like N Spike Family Unisex Salon,<,4.3,28 Ratings,"KS Rao Road Kodialbail, Mangalore",,08460417386,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.299Z
Ayshas Makeover & Academy Beauty Time Unisex Salon,<,4.9,16 Ratings,"Balmatta Road Hampankatta, Mangalore",,08197795526,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.300Z
Avenue Unisex Beauty Saloon,<,4.7,13 Ratings,"Bunts Hostel Road Karangalpady, Mangalore",,09725442316,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.300Z
Klouds Unisex Salon,+,4.8,187 Ratings,"Ballalbagh, Mangalore",,08511409385,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.300Z
Favaro Studio Skin By Freya Aesthetic Clinic,+,4.0,49 Ratings,"Main Road Bendoorwell, Mangalore",,07411790882,,true,false,false,true,false,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.301Z
Vcare Hair And Skin Clinic,V,4.2,112 Ratings,"Bypass Road Kankanady, Mangalore",,09725284392,,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.301Z
Sahara Hospital,+,3.5,104 Ratings,"Nh 66 Thokottu, Mangalore",,07383086213,,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.301Z
Earthy By Ellenza,+,4.4,365 Ratings,"Bejai Bejai, Mangalore",,08511281808,,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.301Z
Hair Spraay Unisex Salon,+,4.7,245 Ratings,"Airport Road Kavoor, Mangalore",,07487968588,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.301Z
Archis Wellness Center,A,4.0,4 Ratings,"Shivbagh Road Kadri, Mangalore",,,Weight Gain Program; Nutrition Consultation,true,true,false,false,false,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.301Z
Dr Batras Healthcare,+,4.2,328 Ratings,"M G Road, Mangalore",,08511630947,,true,false,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.302Z
High Style Family Professionl Unisex Saloon,+,5.0,6 Ratings,"Padil, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.302Z
Horizon Bridal Makeup Studio,+,4.5,33 Ratings,"Gudde Koppala Surathkal, Mangalore",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.302Z
Brahmi Professional Family Salon,+,4.2,30 Ratings,"Bejai, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.302Z
Be U Smart Salon,+,4.5,91 Ratings,"Falnir Road Falnir, Mangalore",,,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.303Z
Face Glow Ladies Beauty Parlour,+,4.7,"1,625 Ratings","Surathkal, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.303Z
Moon and Wind Tattoo Studio,+,4.7,57 Ratings,"Bejai Church Road Bejai, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.303Z
Fablook Professional Unisex Salon,+,4.5,40 Ratings,"Main Road Thokottu, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.303Z
Aadhyas Beauty Care,+,4.6,25 Ratings,"Jeppu Bolar Road Jeppu, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.304Z
Style Icon Wellness Center and Family Salon,+,4.8,106 Ratings,"Bunts Hostel Road, Mangalore",,,Slimming Centres; Weight Gain Program,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.304Z
Shree Signature Unisex Beauty Salon,S,4.7,3 Ratings,"Market Road Hampankatta, Mangalore",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.304Z
Skin 360,+,4.7,226 Ratings,"Kodialbail Road Kodialbail, Mangalore",,07383310353,,true,true,false,false,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.304Z
Lakme Salon,L,4.6,"1,696 Ratings","NG Road Attavar, Mangalore",,,,true,true,false,true,true,Beauty Spa,Popular Beauty Clinics,Mangalore,2025-05-31T14:53:51.304Z
