name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Makeover By Deepu,<,4.7,36 Ratings,"Church School Road Padavinangady, Mangalore",,09980223996,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.965Z
De Novo Unisex Hair Studio,<,4.4,131 Ratings,"Street-MG Road Ballalbagh, Mangalore",,,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.966Z
Jagruthi Herbal Beauty Parlour,<,5.0,3 Ratings,"MRPL Roat / Surthkal Surathkal, Mangalore",,09845460562,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.966Z
Convex Unisex Salon,<,4.8,121 Ratings,"MG Road Kodialbail, Mangalore",,08460266030,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.967Z
Ayshas Makeover & Academy Beauty Time Unisex Salon,<,4.9,16 Ratings,"Balmatta Road Hampankatta, Mangalore",,08197795526,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.967Z
Vxclusive Proffessional Unisex Salon,<,4.3,100 Ratings,"Bejai, Mangalore",,08511913976,,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.968Z
Olive Unisex Salon And Spa,<,3.6,58 Ratings,"Lotus Galaxy Pumpwell, Mangalore",,08123876599,Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.968Z
Hair Kraft Unisex Family Salon And Spa,<,4.5,36 Ratings,"Shivbagh Road Kadri, Mangalore",,07383761038,Waxing; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.969Z
Glamour Ladies Salon,<,4.7,11 Ratings,"Old Kankanady Road Kankanady, Mangalore",,08511494690,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.969Z
Crown International Unisex Salon AndSpa,<,4.8,38 Ratings,"Hostel -Jyothi Bunts Hostel Road, Mangalore",,09972901359,Waxing; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mangalore,2025-05-31T14:55:05.969Z
