name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
The House Of Aesthetics Unisex Salon,<,4.1,338 Ratings,"Opposite Kadri Ground Kadri, Mangalore",,08511916605,Home Services Offered; Waxing,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.188Z
Colors Unisex Salon,<,3.9,135 Ratings,"Adithya Commercial Complex Bejai, Mangalore",,08904611657,,true,true,false,true,false,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.189Z
Heaven Rose Unisex Salon,<,4.4,"1,391 Ratings","City Centre-K S Rao Road, Mangalore",,09035162437,Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.190Z
Lakme Salon,<,4.7,"2,229 Ratings","M G Road Ballalbagh, Mangalore",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.191Z
B PLus Professional Unisex Saloon,<,4.7,"1,073 Ratings","Bendoor Road Bendoor, Mangalore",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.192Z
Yacchus Hair Garage Unisex Salon,<,4.7,196 Ratings,"Museum Road Bejai, Mangalore",,08511484117,Waxing; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.192Z
Iconic Beauty Salon,<,4.9,192 Ratings,"No -G-14 Ground Floor Kavoor, Mangalore",,,Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.192Z
Lotus Beauty Care,<,5.0,382 Ratings,"Nagara  Road Mangaladevi Road, Mangalore",,08511940655,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.193Z
Komal Make Up Artist,<,4.6,51 Ratings,"Kadri Road Kadri, Mangalore",,08904959733,Home Services Offered; Waxing; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.193Z
Toni & Guy,<,4.2,"1,045 Ratings","Pintos Lane Bejai, Mangalore",,08511034969,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.193Z
Fringge Elite Unisex Salon,+,4.6,"1,201 Ratings","M G Road, Mangalore",,08511353080,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.194Z
Broot Unisex Saloon,+,5.0,4 Ratings,"Ks Rao Road, Mangalore",,07405280312,Home Services Offered; Nail Art; Waxing,true,true,false,false,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.194Z
Inspire Family Salon,+,4.5,265 Ratings,"Bikkarnakatte, Mangalore",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.194Z
Meraki Unisex Salon,+,4.2,783 Ratings,"Aryan Building Bejai, Mangalore",,08511913336,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.194Z
Bellissimo Family Unisex Salon,+,4.0,25 Ratings,"Kadri -Bunts Hostel Road Kadri, Mangalore",,07405598961,Home Services Offered; Nail Art; Waxing,true,true,false,true,false,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.195Z
Do My Hair,+,4.5,11 Ratings,"Sai Prem Apartment Mannagudda, Mangalore",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.195Z
Tony and Guy Essensuals,T,4.7,186 Ratings,"Main Road Yeyyadi, Mangalore",,08904977170,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Salons,Mangalore,2025-05-31T14:57:33.195Z
