name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ambika Travels,<,4.4,295 Ratings,"Bappanadu Mulky, Mangalore",,,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.098Z
Royal Stance Taxi Mangalore,<,4.7,184 Ratings,"Pilikumeri Road Neermarga, Mangalore",,09035559330,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.098Z
Denny's Tours and Travels,<,4.9,174 Ratings,"Road Mahayama Temple Road, Mangalore",,07795735323,Vintage Car; Airport Taxi; Corporate,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.099Z
Vasuki Cab Sarvice Kukke Subrahmanya,<,4.9,291 Ratings,"Subramanya, Subramanya",,08511720823,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.099Z
Pradyun Travels,<,4.8,35 Ratings,"Pumpwell Pumpwell, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.102Z
C M Tourist,<,4.7,16 Ratings,"Kavoor Kaikamba, Mangalore",,08511917506,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.103Z
G S Travels,<,4.9,42 Ratings,"S B Road Boloor, Mangalore",,,Self Driven; Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.104Z
Ocen Rental Cars,<,5.0,134 Ratings,"Mangala Nagara Mangaladevi Road, Mangalore",,07490952601,Vintage Car,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.104Z
Anbu Travels,<,4.9,15 Ratings,"Anandnagar Kavoor, Mangalore",,07383691708,Vintage Car; Airport Taxi; Corporate,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.105Z
Red Wings Tour And Travels,<,4.7,27 Ratings,"Derebail Konchadi Derebail, Mangalore",,08490869093,Airport Taxi; Corporate; Chauffeur Driven,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.105Z
Vaishali Travels,+,4.0,13 Ratings,"Kumudavathi Building Balmatta, Mangalore",,08460488761,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.106Z
Shree Krishna Holidays,+,5.0,4 Ratings,"to Udipi High Way Surathkal, Mangalore",,08511075484,Car Rental For Self Driven; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.106Z
Mangalore International Travels,+,4.8,136 Ratings,"ROAD FALNIR KANKANADY Kankanady, Mangalore",,,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.107Z
Mangalore APM Travels,+,5.0,7 Ratings,"Kapigudda Kavoor, Mangalore",,09731968791,Car Rental; Taxi Services,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.107Z
Bhuvan Tour's and Travels,+,4.9,86 Ratings,"Kuloor Kavoor Road Panjimogaru, Mangalore",,08511940721,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.108Z
Mangalore Taxi,M,4.2,7 Ratings,"Lalbagh Ballalbagh, Mangalore",,09054690186,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.108Z
Sri Ganesh Prasad Tourist,S,4.8,4 Ratings,"Ujire Main Road Belthangadi, Mangalore",,,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.108Z
Devi Tours and Travels,D,5.0,1 Ratings,"Maidan Road Maidan Road, Mangalore",,08050986445,Travel Agents; Car Rental,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.108Z
Tarak Travels,+,4.8,29 Ratings,"Cross Road Kulshekar, Mangalore",,08971626282,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.109Z
Charly Tours And Travels,+,4.9,18 Ratings,"Bharathi Nagar Bejai, Mangalore",,08511456048,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.109Z
Steel Birdz,S,2.7,3 Ratings,"Steel Birdz Hampankatta, Mangalore",,07043433289,Car Rental For Self Driven; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.109Z
Royal Cabs,+,4.6,18 Ratings,"NETTANA Kadaba, Mangalore",,08511322839,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.110Z
Mangalore Tours and Travels,+,,,"Road Bendoorwell, Mangalore",,,Visa Assistance; Travel Agents,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.110Z
Jayashree Tours and Travels,+,4.3,7 Ratings,"Kemraje Post and Village Sullia, Mangalore",,09724950903,Car Rental; Taxi Services,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.111Z
Raktheshwari Tours & Travels,+,4.8,244 Ratings,"Taggu Jarandaya Colony Surathkal, Mangalore",,08511990804,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.111Z
R S Group,+,4.8,6 Ratings,"Hoigebail Road Ashoknagar, Mangalore",,08511714806,Travel Agents; Car Rental,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.111Z
Sacred Heart Tours And Travels,S,5.0,1 Ratings,"Mrpl Road Surathkal, Mangalore",,08511309314,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.112Z
Sri Kateel Tours & Travels,+,4.4,648 Ratings,"Airport Road Kavoor, Mangalore",,08511765068,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.112Z
Nandini Tours And Travels,N,4.6,9 Ratings,"Nooji Alape Padil, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.113Z
SM Enterprises,+,4.8,485 Ratings,"Merry Hill Padavinangady, Mangalore",,08460481779,Self Driven,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.113Z
Pranav Cabs Mangalore,+,4.9,85 Ratings,"Mangaladevi Road, Mangalore",,08123069308,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.113Z
Relationship Tours and Travels,+,4.7,34 Ratings,"Kpt Vyasanagar Kadri, Mangalore",,08460213249,Travel Agents; Car Rental,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.114Z
Sri Padmamba Tours And Travels,S,4.3,4 Ratings,"Cee Pee Complex Pumpwell, Mangalore",,08511842445,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.114Z
Skh Cars,+,4.9,22 Ratings,"Car Street Subramanya, Subramanya",,08511717112,Car Rental; Car Rental For Outstation,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.115Z
Kukkeshree Carz,+,4.9,577 Ratings,"Vidya Nagar Road Subramanya, Subramanya",,09054570891,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.116Z
Gagan Tours And Travels,G,3.5,2 Ratings,"Ghandhi Nagar Kavoor, Mangalore",,08147469051,Car Rental; Tempo Travellers On Rent,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.116Z
Sri Malasa Self Drives & Travels,S,3.7,25 Ratings,"GHS Cross Road Car Street, Mangalore",,08511495547,Car Rental For Self Driven; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.117Z
Mangala Travels Mangalore,+,5.0,220 Ratings,"Bejai Church Road Bejai, Mangalore",,08511257482,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.118Z
Falcon Travels,+,5.0,4 Ratings,"Jyothi Nagar Kavoor, Mangalore",,09054647593,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.118Z
Nanda Deepa Tours,+,4.5,14 Ratings,"Pragathi Nagara Madhya Surathkal, Mangalore",,,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.119Z
Prime Cabs and Tours Mangalore,+,5.0,4 Ratings,"Padil -Naguri Road Kankanady, Mangalore",,08460543538,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.119Z
Nirmala Travels,N,4.7,3 Ratings,"Shree Rama Nagara Talapady, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.119Z
Myway Tours & Travels,+,5.0,22 Ratings,"MILAGRES 1st Cross Hampankatta, Mangalore",,08460461588,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.119Z
Shanthadurga Tours & Travels,+,4.8,32 Ratings,"Bejai Kapikad Bejai, Mangalore",,08511913258,Car Rental; Tempo Travellers On Rent,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.119Z
Pandu Tours And Travels,+,4.8,68 Ratings,"Sujikal Gudde Kavoor, Mangalore",,08511846618,Airport Taxi; Corporate; Chauffeur Driven,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.120Z
Sri Polali Cabs,+,5.0,6 Ratings,"Kavoor, Mangalore",,08123532208,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.120Z
Rrr Tours and Travels,+,4.5,9 Ratings,"Kadri, Mangalore",,08511711563,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.120Z
Dhriti Travels,+,4.7,210 Ratings,"Moodbidri, Moodbidri",,09035088772,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.120Z
Shri Mangaladevi Tourist,+,5.0,3 Ratings,"Chillimbi, Mangalore",,08904957412,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.121Z
Adithya Travels,+,4.2,54 Ratings,"K R Road Kodialbail, Mangalore",,,Visa Assistance; Travel Agents,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.121Z
Memsis Self Drive Car Rental Mangalore,+,4.8,248 Ratings,"Chokkabettu Surathkal, Mangalore",,08511313650,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.121Z
Carz Links,+,4.2,143 Ratings,"Bejai Kapikad Road Bejai, Mangalore",,08511320762,Self Driven,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.121Z
Sri Anjaneya Tour and Travels,+,4.9,33 Ratings,"Kuloor Road Chillimbi, Mangalore",,08128628808,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.122Z
SKYWINGS TRAVELS AND SERVICES,+,,,"-Old Bunder State Bank Road, Mangalore",,09035037144,,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.123Z
Taps Cabs,+,3.5,2 Ratings,"Taps Cabs Neermarga, Mangalore",,07383452297,Car Rental; Car Rental For Outstation,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.124Z
shree Devika tours & travel,+,4.3,33 Ratings,"Kottara Chowki, Mangalore",,08511630510,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.124Z
Skylead Travels,S,4.5,6 Ratings,"Navabharath Circle Kodialbail, Mangalore",,08511098187,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.124Z
Aravind Tours and Travels,+,4.9,187 Ratings,"Shivbhagh Road Kadri, Mangalore",,08511232622,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.125Z
Suhan Travels,+,4.3,21 Ratings,"Kodialbail, Mangalore",,08511768974,Car Rental; Taxi Services,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.125Z
Sri Shabari Travels,+,4.6,8 Ratings,"Malemar Road Kottara Chowki, Mangalore",,09980779092,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.125Z
Mangaladevi Tourists,+,3.5,28 Ratings,"Near Mangaladevi Temple Bejai, Mangalore",,08511993903,Travel Agents; Car Rental,true,true,false,false,false,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.126Z
Ashirvad Tourist,A,4.3,3 Ratings,"Derlakatte, Mangalore",,,Car Rental; Tempo Travellers On Rent,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.126Z
Shree Kateel Holidays,+,5.0,6 Ratings,"Karangalpady Market Karangalpady, Mangalore",,08511128418,Car Rental; Car Rental For Outstation,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.127Z
MANGALORE JK TOURS & TRAVELS,+,4.6,35 Ratings,"Airport Road Jyothinagar Kavoor, Mangalore",,09054455186,,true,true,false,true,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.127Z
Sai Pooja Travels,+,4.8,323 Ratings,"Maladi Estate Road Kavoor, Mangalore",,08401472689,Corporate,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.127Z
Mrl Travels,M,5.0,2 Ratings,"Kapigudda Kavoor, Mangalore",,08511544051,Car Rental; Taxi Services,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.128Z
Shree Kateel Tour's & Travels,+,5.0,11 Ratings,"Kaikamba Kuthethoor, Mangalore",,09725538282,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.128Z
Sri Manikanta Travels,+,4.9,66 Ratings,"Melinamogaru Kankandy Kankanady, Mangalore",,08197520765,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.129Z
Manikya Travels,M,4.6,19 Ratings,"Beeri Road Kotekar, Mangalore",,08511495887,Car Rental; Car Rental For Outstation,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.129Z
Bhima Tours and Travels,+,4.9,23 Ratings,"Muluru Hampankatta, Mangalore",,08511927572,,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.129Z
Shivay Tours & Travels,+,4.5,12 Ratings,"Airport Road Padavinangady, Mangalore",,,Motor Training,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.130Z
Shri Manjunath Tours and Travels,S,4.7,20 Ratings,"Dharmasthala Post Dharmasthala, Dharmasthala",,08511841963,Travel Agents; Car Rental,true,true,false,false,true,Affordable Prices : Car Rental Services,,Mangalore,2025-05-31T15:00:15.130Z
