name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Coastal Hub Family Restaurant,<,3.7,374 Ratings,"Ashoknagar Road Urwa, Mangalore",,,,false,false,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.023Z
Thehomefood.in,<,3.9,205 Ratings,"Bridge Road Balmatta, Mangalore",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.025Z
Sridevi Caterers,<,4.3,24 Ratings,"Pachanady Bondel, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.027Z
Harshitha Caterers,<,4.1,28 Ratings,"Kaikamba Main Road Kaikamba, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.028Z
J K Caterers,<,4.6,42 Ratings,"Mahakali Padupu Jeppu, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.029Z
Hotel Sri Balaji,<,3.8,161 Ratings,"Oldkent Road Pandeshwar, Mangalore",,,,true,false,false,true,false,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.030Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.030Z
Hotel Janatha Deluxe,<,4.3,"4,961 Ratings","KS Rao Road Hampankatta, Mangalore",,,,false,false,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.031Z
Hotel Machli,<,4.1,845 Ratings,"Samagaragundy Moodbidri, Moodbidri",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.031Z
Kamath Caterers,<,4.3,546 Ratings,"Bunder Mangaluru Bunder, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.031Z
Prakash Caterers,P,4.3,23 Ratings,"Nagori, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.032Z
Chandragiri Lunch Home,+,4.3,171 Ratings,"Fisharish Road Surathkal, Mangalore",,,,true,false,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.032Z
Oasis Catering And Arrangers,+,4.4,188 Ratings,"Merlapadv Mangalore Ho, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.032Z
Shettys Counter Shot Daba,+,3.9,288 Ratings,"National Highway 75 Kannur, Mangalore",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.032Z
Akshaya Caterers,A,4.1,27 Ratings,"Kb Lane Ashoknagar, Mangalore",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.032Z
Vishwas Caterers,+,4.8,111 Ratings,"Marnamikatta Kankanady, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.032Z
Swasthik Caterers,+,4.4,8 Ratings,"Krishnapura Katipalla, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.033Z
Bhat's Canteen,+,4.2,400 Ratings,"7th Cross Gandhinagar, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.033Z
Sai Caterers & Event Management,+,3.8,92 Ratings,"Jail Road Karangalpady, Mangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.033Z
Vijayashree Caterers,+,4.7,39 Ratings,"1st Cross Bikkernakatta, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Mangalore,2025-05-31T15:10:04.033Z
