name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Coastal Hub Family Restaurant,<,3.7,374 Ratings,"Ashoknagar Road Urwa, Mangalore",,,,false,false,false,true,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.388Z
Penquin Caterers,<,3.0,1 Ratings,"Bendoorwell, Mangalore",,,Home Delivery,false,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.389Z
Mom's Kitchen,<,4.5,34 Ratings,"Manakadavu Coorg Road Kuttiyeri, Kannur",,,,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.389Z
Ilyaz Caterers,<,4.5,1 Ratings,"Tippunagar Pension Mohalla, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.389Z
The Sapid,<,4.1,40 Ratings,"Hudco Badavane Hebbal, Mysore",,,,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.390Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.390Z
Hideout Fast Food And Andhra Style Family Restaurant,<,3.9,"2,663 Ratings","MCC B Block Mcc, Davangere",,,,false,false,false,true,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.390Z
Mom's Kitchen,<,4.0,4 Ratings,"Heggare Tumkur Ho, Tumkur",,,,true,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.390Z
Choco Truffle,<,4.7,89 Ratings,"Kuttippuram Kuttippuram, Malappuram",,,,true,false,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.391Z
Proyal Events & Caterer,<,4.6,151 Ratings,"Thrissur Calicut Road Edappal, Malappuram",,,Corporate; Banquet Hall Decoration; Home Delivery,true,true,false,true,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.391Z
Hotel Highway,+,4.1,30 Ratings,"Road Old Hubli Karwar Road, Hubli",,,Caterers; Non Veg Caterers,true,false,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.391Z
Allahbaksh Catering,A,3.2,5 Ratings,"Rumdamol Margao, Goa",,,Home Delivery,true,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.391Z
Shahi Caterer& Event Management,S,5.0,1 Ratings,"House No E-500 Navelim, Goa",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.392Z
Holy Cross Caterers,+,4.7,135 Ratings,"Maina Curtorim Raia, Goa",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.392Z
Atishs Ruchik,+,5.0,1 Ratings,"V 365 Spice Valley Ponda, Goa",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.392Z
Perista Enterprise,+,5.0,3 Ratings,"Sancoale, Goa",,,Home Delivery,true,true,false,true,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.392Z
Som Sarkar,S,4.0,1 Ratings,"6th Block Rajajinagar, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.392Z
Sai Kutera,+,4.7,3 Ratings,"Srinagara Main Road Chamarajpet, Bangalore",,,Home Delivery,false,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.392Z
Sri Vishnu Caterers,S,5.0,3 Ratings,"Banashankari 1st Stage, Bangalore",,,Home Delivery,false,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Mom's Kitchen,+,3.7,3 Ratings,"Dollars Colony-RMV 2nd Stage, Bangalore",,,,false,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Mayuri Catering,M,3.3,2 Ratings,"14th Cross Sanjay Nagar, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Kaffe De Republica 24x7,K,3.0,1 Ratings,"MES Masjid Road Zuarinagar, Goa",,,,true,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Mom's Kitchen,+,4.5,1 Ratings,"4th Main Road Isro, Bangalore",,,,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Indhu Ralhand Caterers,I,4.0,1 Ratings,"11th Cross Jp Nagar 3rd Phase, Bangalore",,,Home Delivery,false,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Bombay Caterers,+,4.2,83 Ratings,"Dispensary Road Kalasipalyam, Bangalore",,,,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.393Z
Purnabrahma Catering Services,+,4.7,539 Ratings,"12th Cross Jp Nagar 7th Phase, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.394Z
Silverline Chocolate & Cakes,S,4.0,6 Ratings,"8th Crs Sadashivanagar, Bangalore",,,,true,true,false,false,false,Caterers,Popular Mughlai Caterers,Mangalore,2025-05-31T15:24:09.394Z
