name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.722Z
Sri Sai Caterers,<,4.3,3 Ratings,"Street  Bunts Hostel Road, Mangalore",,,,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.722Z
Chamundeshwari Enterprises,<,5.0,1 Ratings,"Kullangal House Surathkal, Mangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.722Z
Royal Cafe,<,3.5,3 Ratings,"Fernandez Building Hampankatta, Mangalore",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.723Z
Royal Cafe,<,4.5,47 Ratings,"Balehonnur Road Balehonnur, Chikmagalur",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.723Z
Chilly Hut,<,3.9,67 Ratings,"Chemperi Chemperi, Kannur",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.723Z
Royal Cafe,<,3.8,17 Ratings,"Chungam Pappinisseri, Kannur",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.724Z
Crew 24x7 Events Pvt Ltd,<,5.0,1 Ratings,"Caltex Junction Kannur Ho, Kannur",,,Event Decoration,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.724Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.724Z
Royal Cafe,<,4.0,29 Ratings,"Alameda Aralepet, Hassan",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.724Z
Taste Hut Caterers & Events,+,4.9,18 Ratings,"Thondiyil, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.725Z
Creweventor Events & Catering,+,5.0,2 Ratings,"Vyithri Kalpetta, Wayanad",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.725Z
Jeevan Catering,J,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.725Z
Calicut Kitchen,+,4.1,6 Ratings,"No 4/1221/b Calicut Beach, Kozhikode",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.725Z
Hotel Dubai,+,3.6,420 Ratings,"Calicut Ootty Road Ripon Wynad, Wayanad",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.725Z
Thalassery Kitchens,T,4.6,5 Ratings,"Mavoor Road, Kozhikode",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.725Z
Pala Caterers,+,3.4,11 Ratings,"Mavoor Road, Kozhikode",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
Amma Stage Decoration,+,4.9,7 Ratings,"A.M. Building Puthiyara, Kozhikode",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
MOTHER'S KITCHEN,+,4.9,13 Ratings,"Near Medical Collage Mayanad, Kozhikode",,,Caterers; Caterers For Wedding,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
Sanketh Catering,S,4.0,6 Ratings,"Mulla Stop Khaji Bag, Karwar",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
Swaad Food Express,+,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
Delta Events & Caterers,D,5.0,2 Ratings,"Bypass Malappuram Civil Station, Malappuram",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
Divine Caterers,D,5.0,1 Ratings,"No 133 P kowshi Nivas Club Road, Ooty",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.726Z
Royal Cafe,+,4.2,44 Ratings,"Elk Hill Elk Hill, Ooty",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.727Z
Choco Truffle,+,4.7,89 Ratings,"Kuttippuram Kuttippuram, Malappuram",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.727Z
Proyal Events & Caterer,+,4.6,151 Ratings,"Thrissur Calicut Road Edappal, Malappuram",,,Corporate; Banquet Hall Decoration; Home Delivery,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.727Z
Royal Choice Catering Service & Event Management,R,3.7,77 Ratings,"Calicut Road Perintalmanna, Malappuram",,,Caterers; Event Organisers,true,false,false,true,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.727Z
Prabhu Caterers,P,4.5,4 Ratings,"Silver Town Gokul Road, Hubli",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.727Z
Red Yello Events,+,4.5,3 Ratings,"Mahalaxmi Layout Gokul Road, Hubli",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.727Z
Homeland Caterers,+,2.8,2 Ratings,"Rosary Collage Road Navelim, Goa",,,Caterers; Event Organisers,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.728Z
Allahbaksh Catering,A,3.2,5 Ratings,"Rumdamol Margao, Goa",,,Home Delivery,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.728Z
Mani Catering Services,+,4.3,4 Ratings,"Mahadeshwara Badavane Kanakapura, Ramanagara",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.728Z
Hotel Indian Zaika,H,3.5,3 Ratings,"Opp Khadims KHB Colony, Dharwad",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.728Z
Aggie Caterers,+,3.7,5 Ratings,"Betalbatim, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.728Z
Royal Cafe,+,3.9,8 Ratings,"Maruti Mandir Road Achitnagar, Bangalore",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.729Z
Harshitha Catering Services,+,4.8,35 Ratings,"Vigneshwara Nagara Sunkadakatte, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.729Z
Guruvayur Wedding Company,+,4.3,3 Ratings,"Thaikkad Junction Guruvayur, Thrissur",,,Wedding Photographers; Caterers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.729Z
Shree Annapoorneshwari Caterers,+,4.5,30 Ratings,"KHB Calony Basaveshwara Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.729Z
Srivasasiri Events & Caterers,+,4.6,53 Ratings,"Balaji Layout Uttarahalli, Bangalore",,07405708597,Event Decoration,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.730Z
Atishs Ruchik,+,5.0,1 Ratings,"V 365 Spice Valley Ponda, Goa",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.730Z
The Food Caterers,T,5.0,1 Ratings,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.730Z
Perista Enterprise,+,5.0,3 Ratings,"Sancoale, Goa",,,Home Delivery,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.730Z
Nammura Oota Caterers,N,4.0,59 Ratings,"Raghuvanahalli Kanakapura Road, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.730Z
Sriram Catering And Services,S,3.0,1 Ratings,"18th Main Banashankari 1st Stage, Bangalore",,,Indian Caterers Upto 50 Persons; Caterers,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.731Z
Sai Kutera,+,4.7,3 Ratings,"Srinagara Main Road Chamarajpet, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.731Z
Alarfe,+,4.9,63 Ratings,"Anjanapura Jp Nagar 9th Phase, Bangalore",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.731Z
Royal Cafe,+,3.5,2 Ratings,"Kumaraswamy Layout, Bangalore",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.731Z
Akshaya Deluxe Veg And Non Veg Multicuisine Restaurant,+,4.1,"6,217 Ratings","New Bel Road, Bangalore",,,,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.731Z
Kaffe De Republica 24x7,K,3.0,1 Ratings,"MES Masjid Road Zuarinagar, Goa",,,,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.732Z
Royal Cafe,+,5.0,1 Ratings,"2nd Main Road Jp Nagar, Bangalore",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.732Z
Lucky Caterers,+,4.4,10 Ratings,"Hamza Saab Lane Doddamavalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.733Z
Nayak Caterers,N,3.9,8 Ratings,"Nagueshi Road Ponda, Goa",,,Caterers; Caterers For Wedding,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.733Z
Cafe Paradise,C,5.0,2 Ratings,"Airport Road Chicalim, Goa",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.733Z
Sagar Caterers,+,4.3,"3,124 Ratings","Palace Ground Mekhri Circle, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.733Z
Tawa Sagara,+,3.7,"1,082 Ratings","30th Cross Jayanagar 4th T Block, Bangalore",,,,false,false,false,true,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.734Z
Venjer Caters,V,3.0,1 Ratings,"1st A Main Amruthahalli, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.734Z
Sri Durga Catering,+,4.3,2 Ratings,"Manjunath Layout Rt Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.735Z
Caterish Company,C,4.8,4 Ratings,"Near Axis Bank Benson Town, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.735Z
Shahi Restaurant,S,3.5,510 Ratings,"Chandni Chowk Road Shivaji Nagar, Bangalore",,,,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.735Z
Fumes Lounge,+,4.5,74 Ratings,"CL Layout Hosur Main Road, Bangalore",,,,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.735Z
Divya Vithika Wedding Planners,D,4.8,16 Ratings,"15th Main BTM Layout 2nd Stage, Bangalore",,,Guest House Management,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.736Z
Flavours Of INDIA,+,4.0,10 Ratings,"Craig Park Layout Ashoknagar, Bangalore",,,,true,false,false,true,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.736Z
Royal Cafe,+,4.5,2 Ratings,"Main Road Bannerghatta Road, Bangalore",,,,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.736Z
Chetan Flower And Decorators,+,4.0,1 Ratings,"Koil Street Shivaji Nagar, Bangalore",,,Car Decoration; Home Delivery,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.737Z
Sukhdev Caterers,+,4.7,162 Ratings,"Kempapura Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.737Z
Johnny Caterers,+,4.6,416 Ratings,"Jeevanahalli Cox Town, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.737Z
Serwel Caterers And Furnishers,+,4.4,76 Ratings,"Saleha Complex Nagawara, Bangalore",,09972943521,Caterers; Tent House,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.738Z
Peter Caterers,P,4.4,42 Ratings,"Vivek Nagar Post Ejipura, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.738Z
Sri Sai Enterprises,+,5.0,1 Ratings,"No. 86 Bommanahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mangalore,2025-05-31T15:25:20.738Z
