name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hotel New Impala,<,4.5,2 Ratings,"Kankanady-575002. Kankanady, Mangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.114Z
Hao Hao Chinese Restaurant,<,4.7,3 Ratings,"Alangar Moodbidri-574227 Alangar, Moodbidri",,,Home Delivery,false,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.115Z
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.115Z
Penquin Caterers,<,3.0,1 Ratings,"Bendoorwell, Mangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.115Z
Bluebirds Caterers Enterprises,<,4.3,2 Ratings,"Jeppu, Mangalore",,,Caterers; Caterers For Events,false,false,false,false,false,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.115Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.116Z
Calicut Kitchen,<,4.1,6 Ratings,"No 4/1221/b Calicut Beach, Kozhikode",,,,true,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.116Z
Choco Truffle,<,4.7,89 Ratings,"Kuttippuram Kuttippuram, Malappuram",,,,true,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.116Z
Proyal Events & Caterer,<,4.6,151 Ratings,"Thrissur Calicut Road Edappal, Malappuram",,,Corporate; Banquet Hall Decoration; Home Delivery,true,false,false,true,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.117Z
Khatta Meetha Catering,<,3.8,10 Ratings,"Maratha Galli Hubli City, Hubli",,,Caterers; Event Organisers,true,false,false,false,false,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.117Z
Holy Cross Caterers,+,4.7,135 Ratings,"Maina Curtorim Raia, Goa",,,Home Delivery,true,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.117Z
Perista Enterprise,+,5.0,3 Ratings,"Sancoale, Goa",,,Home Delivery,true,false,false,true,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.118Z
Sri Vishnu Caterers,S,5.0,3 Ratings,"Banashankari 1st Stage, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.118Z
Sankalp Food Zone,S,5.0,1 Ratings,"2nd Main Vasanth Nagar, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.118Z
Nand Gopal Caterers,+,4.3,17 Ratings,"Block A Electronic City Phase 2, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Parsi Caterers,Mangalore,2025-05-31T15:30:44.118Z
