name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Illadha Vanas,<,4.3,318 Ratings,"PPSA Building Chillimbi, Mangalore",,08511238039,,true,false,false,true,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.554Z
Coastal Hub Family Restaurant,<,3.7,374 Ratings,"Ashoknagar Road Urwa, Mangalore",,,,false,false,false,true,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.555Z
Snackies Cake Shop and Restaurant,<,4.0,756 Ratings,"Sturrock Road Attavar, Mangalore",,08511843183,,false,false,false,true,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.556Z
Hotel Sri Balaji,<,3.8,161 Ratings,"Oldkent Road Pandeshwar, Mangalore",,,,true,false,false,true,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.556Z
J K Caterers,<,4.6,42 Ratings,"Mahakali Padupu Jeppu, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.557Z
Sridevi Caterers,<,4.3,24 Ratings,"Pachanady Bondel, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.557Z
Harshitha Caterers,<,4.1,28 Ratings,"Kaikamba Main Road Kaikamba, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.557Z
Jeeth Electricals & Arrangers,<,4.4,10 Ratings,"Jayashree Gate Bikkernakatta, Mangalore",,,Caterers; Event Organisers,true,true,false,true,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.558Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.558Z
SUMRUM Decorator's & Event Management,<,5.0,2 Ratings,"Farangipeta Adyar, Mangalore",,08511941761,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.558Z
Funtime Restaurant,+,4.4,"1,899 Ratings","Baddaktte Bantwal, Mangalore",,,,false,false,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.559Z
Bhat's Canteen,+,4.2,400 Ratings,"7th Cross Gandhinagar, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.559Z
Sai Caterers & Event Management,+,3.8,92 Ratings,"Jail Road Karangalpady, Mangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.559Z
Aruns Catering,+,4.8,119 Ratings,"Mary Hill Konchady, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.560Z
A.H Events & Celebration,+,5.0,8 Ratings,"Ullal Ullal, Mangalore",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.560Z
Shringar Caterers,S,4.4,43 Ratings,"Kaneer Thota Road Kumpala, Mangalore",,,Caterers; Caterers For Wedding,false,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.560Z
Vishwas Caterers,+,4.8,111 Ratings,"Mangaluru Mangala Nagar, Mangalore",,,Caterers; Caterers For Wedding,false,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.561Z
Shettys Counter Shot Daba,+,3.9,288 Ratings,"National Highway 75 Kannur, Mangalore",,,,true,true,false,false,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.561Z
Hotel Janatha Deluxe,+,4.3,"4,961 Ratings","KS Rao Road Hampankatta, Mangalore",,,,false,false,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.561Z
Hotel Machli,+,4.1,845 Ratings,"Samagaragundy Moodbidri, Moodbidri",,,,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.561Z
Gokul Caterers,+,4.4,52 Ratings,"Kadri Temple Road Kadri, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.562Z
Chandragiri Lunch Home,+,4.3,171 Ratings,"Fisharish Road Surathkal, Mangalore",,,,true,false,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.562Z
Share Eat Restaurant,+,4.3,467 Ratings,"Kinnigoli, Mangalore",,,,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.562Z
Shree Sai Catering Arrangers,+,5.0,2 Ratings,"Kunjathbail Road Kavoor, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.562Z
Ice N Spice Family Restaurant,+,3.9,287 Ratings,"Bajpe, Mangalore",,,,false,false,false,false,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.563Z
Rama Somayaji Caterers,R,4.1,20 Ratings,"belthangadi Taluk Dharmasthala, Dharmasthala",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.563Z
Kamath Caterers,+,4.3,546 Ratings,"Bunder Mangaluru Bunder, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.563Z
Oasis Catering And Arrangers,+,4.4,188 Ratings,"Merlapadv Mangalore Ho, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.563Z
Kamath Caterers,+,4.3,546 Ratings,"Car Street, Mangalore",,,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.564Z
Sumangal Caterers,S,3.4,12 Ratings,"Kankanady Market Bldg Kudroli, Mangalore",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.564Z
Kerala Spicy Family Restaurant,+,3.9,275 Ratings,"Puttur Road Vittal, Mangalore",,,,true,false,false,false,false,Caterers,Popular Caterers For Parties,Mangalore,2025-05-31T15:31:56.564Z
