name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
J K Caterers,<,4.6,42 Ratings,"Mahakali Padupu Jeppu, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.133Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.134Z
Gokul Caterers,<,4.4,52 Ratings,"Kadri Temple Road Kadri, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.134Z
Sri Durga Caterers,<,4.8,4 Ratings,"Mandarabail Konchady, Mangalore",,,Home Delivery,false,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.135Z
Sri Sai Caterers,<,4.3,3 Ratings,"Street  Bunts Hostel Road, Mangalore",,,,false,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.135Z
Mom's Kitchen,<,4.5,34 Ratings,"Manakadavu Coorg Road Kuttiyeri, Kannur",,,,true,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.136Z
Delectable Caters,<,4.9,4 Ratings,"Kudukkimetta, Kannur",,,Caterers; Caterers For Events,true,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.136Z
Ayub Canteen,<,3.7,3 Ratings,"Feet Outer Ring Road Doddapet, Shimoga",,,,true,true,false,false,false,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.137Z
Prince Catering.,<,5.0,3 Ratings,"100feet Rd Shimoga Market, Shimoga",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.137Z
Sri Chamundeshwari Donne Biriyani Center,<,4.0,2 Ratings,"Bogadi, Mysore",,,,true,true,false,false,false,Caterers,Popular Rajasthani Caterers,Mangalore,2025-05-31T15:34:02.137Z
