name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Coastal Hub Family Restaurant,<,3.7,374 Ratings,"Ashoknagar Road Urwa, Mangalore",,,,false,false,false,true,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.080Z
Sridevi Caterers,<,4.3,24 Ratings,"Pachanady Bondel, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.081Z
J K Caterers,<,4.6,42 Ratings,"Mahakali Padupu Jeppu, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.081Z
Harshitha Caterers,<,4.1,28 Ratings,"Kaikamba Main Road Kaikamba, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.082Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.083Z
Funtime Restaurant,<,4.4,"1,899 Ratings","Baddaktte Bantwal, Mangalore",,,,false,false,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.083Z
Vasappa Hotel Prashanth,<,4.4,234 Ratings,"Karkala Main Road Belavai, Mangalore",,,,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.084Z
Ice N Spice Family Restaurant,<,3.9,287 Ratings,"Bajpe, Mangalore",,,,false,false,false,false,false,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.084Z
Shettys Counter Shot Daba,<,3.9,288 Ratings,"National Highway 75 Kannur, Mangalore",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.085Z
Rama Somayaji Caterers,<,4.1,20 Ratings,"belthangadi Taluk Dharmasthala, Dharmasthala",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.085Z
Gokul Caterers,+,4.4,52 Ratings,"Kadri Temple Road Kadri, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.086Z
Sai Caterers & Event Management,+,3.8,92 Ratings,"Jail Road Karangalpady, Mangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.086Z
Bhat's Canteen,+,4.2,400 Ratings,"7th Cross Gandhinagar, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.086Z
Manjunatha Caterers,+,4.9,33 Ratings,"Aradhana Dharmasthala, Dharmasthala",,,On Site Services,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.087Z
A.H Events & Celebration,+,5.0,8 Ratings,"Ullal Ullal, Mangalore",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.087Z
Suraksha Caterers,S,4.6,34 Ratings,"Guddekopla Road Surathkal, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.087Z
Muthashi Homely Food,+,4.3,74 Ratings,"Old Shettys Road Derebail, Mangalore",,,,true,false,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.087Z
Sri Durga Caterers,S,4.8,4 Ratings,"Mandarabail Konchady, Mangalore",,,Home Delivery,false,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.088Z
Shree Guru Nithyananda Caterers,S,4.3,14 Ratings,"3rd Block Katipalla, Mangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.088Z
Akshaya Caterers,A,4.1,27 Ratings,"Kb Lane Ashoknagar, Mangalore",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.089Z
Hotel Nesal,+,5.0,21 Ratings,"Nantoor Road Kadri, Mangalore",,,,true,true,false,false,true,Caterers,Popular South Indian Caterers,Mangalore,2025-05-31T15:36:05.089Z
