name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Suraj Sujir And Associates,<,5.0,8 Ratings,"Kudroli Temple Road Alake, Mangalore",,08511915717,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.648Z
Ca Anwesh Shetty,<,5.0,73 Ratings,"Bejai Kapikad Road Bejai, Mangalore",,08511202927,Wheel Chair Accessible Entrance And Exit,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.648Z
S N S B & Associates,<,,,"P M Road Hampankatta, Mangalore",,08460269160,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.649Z
Kamath And Kamath Associates,<,3.7,18 Ratings,"M G Road Kodialbail, Mangalore",,,,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.649Z
Sacheth Shetty,<,4.8,4 Ratings,"Bejai Kapikad Road Bejai, Mangalore",,,CA; GST Registration Consultants,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.649Z
S S Nayak,<,3.8,20 Ratings,"Commercial Complex M G Road, Mangalore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.649Z
Oracle Solutions,<,4.6,18 Ratings,"ESSEL CENTRE Balmatta, Mangalore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.650Z
Kndc and Associates LLP,<,4.7,37 Ratings,"GHS Road Hampankatta, Mangalore",,,Licence; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.650Z
Mohit Mahajan & Co.,<,3.9,38 Ratings,"Koppikar Road Koppikar Road, Hubli",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.650Z
Yogita S And Company,<,4.7,34 Ratings,"Thane Bhiwandi Road Kasheli, Bhiwandi",,07795682280,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mangalore,2025-05-31T15:41:04.650Z
