name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Matha Education,<,4.9,"1,240 Ratings","and Rao State Bank Road, Mangalore",,09980774670,Sslc Tutorials; Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Drona Mastermind Academy,<,4.8,146 Ratings,"Kadri Main Road Kadri, Mangalore",,08511492237,Tutorials For ICSE; Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Excel Pre University College - Guruvayanakere Mangalore,<,4.5,19 Ratings,"Guruvayanakere Belthangady Ujire, Dharmasthala",,08460402284,Tutorials; Neet Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Genius Coaching Classes,<,4.5,59 Ratings,"Chilimbi  Main Road Chillimbi, Mangalore",,08460226282,Tutorials For Biology; Tutorials,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Vividya NEET& JEE Academy,<,4.9,14 Ratings,"Commercial Complex Balmatta, Mangalore",,08511073945,Hostel Facility,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Akshara Education Academy Private Limited,<,5.0,5 Ratings,"Bendoorwell, Mangalore",,08460208541,Tutorials; Neet Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Don Academy Of Music,<,4.9,90 Ratings,"1st Cross Road Kapikad Bejai, Mangalore",,09980835658,,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
3sk Academy,<,4.9,67 Ratings,"Airport Road Yeyyadi, Mangalore",,08460453513,Tutorials; Music Classes,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.925Z
Woori India Overseas Education,<,4.8,10 Ratings,"Pandeshwar, Mangalore",,09035260540,Education Consultants For MBA; Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Ideal Coaching Classes,<,4.8,62 Ratings,"M G Road Kodialbail, Mangalore",,09972227581,Commerce Tutorials; Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Star Education Institute,+,4.3,51 Ratings,"Bunder Mission Street, Mangalore",,,Chemistry Tutorials; Colleges,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Matha Education,+,4.9,726 Ratings,"Shivbagh Road Kadri, Mangalore",,,Tutorials; Computer Training Institutes,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Proficient Coaching Classes,P,3.5,2 Ratings,"Pailands Building Hampankatta, Mangalore",,08511232903,Tutorials; Tutorials For Class X,true,true,false,false,false,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Edu Right Coaching Centre,+,4.6,23 Ratings,"University Road Thokottu, Mangalore",,08511469803,Tutorials; Language Classes For English,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Austin Educators,A,3.2,6 Ratings,"Iddya  Village Road Surathkal, Mangalore",,06366947329,Tutorials; Neet Tutorials,true,true,false,false,false,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Mangalore Education Centre,+,4.9,267 Ratings,"Balmata Main Road Balmatta, Mangalore",,08511914863,Tutorials For BE; Tutorials,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
KVC Academy,+,4.6,68 Ratings,"GHS Road Hampankatta, Mangalore",,,Tutorials For CA Final; Tutorials,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Educoach Learning Centre And Edukids,+,4.9,258 Ratings,"Airport Road Kavoor, Mangalore",,,,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Brilliant PU College And Coaching Classes,+,4.3,219 Ratings,"KRR Road Kodialbail, Mangalore",,,Junior Colleges; Colleges,true,true,false,false,true,Tutorials,,Mangalore,2025-05-31T16:54:43.926Z
Kala Vision,+,4.8,82 Ratings,"K. R. R. ROAD Karangalpady, Mangalore",,08511915567,Mock Tests,true,true,false,true,true,Tutorials,,Mangalore,2025-05-31T16:54:43.927Z
