name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Electra Lap Solutions,<,4.3,282 Ratings,"Empire Mall M G Road, Mangalore",,08511915081,Laptop Repair & Services; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.169Z
Techno Lap,<,4.8,83 Ratings,"Main Road Bendoorwell, Mangalore",,08511925217,Computer Repair & Services; Laptops On Rent,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.169Z
Sai Computers Sales and Services,<,5.0,18 Ratings,"M G Road Kodialbail, Mangalore",,08511754457,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.170Z
Digicom Systems,<,4.6,23 Ratings,"B. C Road Bc Road, Mangalore",,,Company Authorised Dealer,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.170Z
Crystal Industries,<,4.1,16 Ratings,"Kalakunja Road Kodialbail, Mangalore",,08511705795,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.171Z
Core Technologies,<,4.8,71 Ratings,"Kankanady Bypass Road Kankanady, Mangalore",,08511125627,Computer Repair; Computer Accessory Repair; Computer AMC,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.171Z
Allied Electronics,<,4.1,60 Ratings,"Mg Road Kodialbail, Mangalore",,,Computer Repair & Services-HCL; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.171Z
Shree Systems,<,4.6,53 Ratings,"Kodialbail West Road Kodialbail, Mangalore",,08490805912,CCTV Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.172Z
E Soft Solutions,<,4.3,40 Ratings,"Kunil Complexy Bendoorwell, Mangalore",,08511032693,CCTV Repair & Services; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.172Z
HP World Sudo Tech,<,4.6,660 Ratings,"PVS Circle Kodialbail, Mangalore",,,Computer Hardware Repair & Services; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.172Z
Integrity Technical Solutions -(ITS )-Laptop Service Centre,+,4.9,634 Ratings,"Janvi Plaza Bunts Hostel Road, Mangalore",,08511234324,Second Hand Laptop Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.173Z
Dell Exclusive Store Sudo Tech,+,4.6,"1,046 Ratings","Balmatta Road Balmatta, Mangalore",,,Computer Printer Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.173Z
DP Tech Solutions,+,4.3,18 Ratings,"Kavoor Junction Kavoor, Mangalore",,08511277226,Computer Repair & Services-Dell; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.173Z
Infinity Solutions,I,4.5,9 Ratings,"Katipalla Surathkal, Mangalore",,,CCTV Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.173Z
G T Technologies,+,4.9,9 Ratings,"Barke Alake, Mangalore",,,Book; Company Authorised Dealer,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.173Z
Magnus Mangalore,+,4.8,25 Ratings,"and Rao Circle Mission Street, Mangalore",,08511993180,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.174Z
Ontime Solution,+,4.8,68 Ratings,"Neethinagar Shaktinagar, Mangalore",,08792487489,Banner; Book,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.175Z
Dynamic IT Distributors - Shenoy Computers,+,3.9,75 Ratings,"Below Airtel Office Karangalpady, Mangalore",,08511988153,Computer Repair & Services-Acer; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.175Z
Smartechz,+,4.4,120 Ratings,"Aps Complex Kankanady, Mangalore",,,CCTV Installation Services-Hikvision; CCTV Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.175Z
Core Technologies,+,4.6,41 Ratings,"Mainroad Sullia, Mangalore",,08460264167,Computer Repair; Computer Accessory Repair; Computer AMC,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.176Z
Shri Sai Solutions,+,4.6,59 Ratings,"Bejai Junction Bejai, Mangalore",,08511281436,Laptop Repair & Services-HP; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.176Z
Pragathi Infotech,+,4.9,7 Ratings,"6th Cross East Kodialguthu East, Mangalore",,09606217789,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.176Z
Unison Computer Service,+,4.6,36 Ratings,"Bikarnakatte Kulshekar, Mangalore",,08511633812,Company Authorised Dealer,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.176Z
S V S Corporation,+,4.4,325 Ratings,"Meridian Guru Plaza Bejai, Mangalore",,,Computer Dealers; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.177Z
Silicon Info Solutions,S,4.6,37 Ratings,"Complex Bhavanthi Street, Mangalore",,08511323754,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.177Z
Innotech Solutionz,+,4.1,25 Ratings,"Ks Rao Road, Mangalore",,,Company Authorised Dealer,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.177Z
Pro Ccom It Solutions,P,5.0,1 Ratings,"Kodikal Main Road Ashoknagar, Mangalore",,07022042863,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.177Z
Compunet Systems,+,4.4,59 Ratings,"Kodialbail, Mangalore",,,CCTV Installation Services-Hikvision; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.177Z
WeFixIT,+,4.6,48 Ratings,"Airport Road Yeyyadi, Mangalore",,08511913078,Assembled Computer Dealers; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.178Z
NETINN Laptop Care,+,3.6,56 Ratings,"Nh 66 Thadambail Surathkal, Mangalore",,,Shop In Store; Company Authorised Dealer,true,true,false,true,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.178Z
Intello Electric,+,3.0,1 Ratings,"Kaikamba Surathkal, Mangalore",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.178Z
ZH Technology - Computer Laptop & CCTV,+,4.0,7 Ratings,"1st Floor Thokottu, Mangalore",,,Computer Repair & Services At Home; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.179Z
Unique Solutions,+,4.0,14 Ratings,"Pumpwell Pumpwell, Mangalore",,08197582468,CCTV Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.179Z
I Net Solutions,+,3.9,41 Ratings,"Main Road Kankanady, Mangalore",,,Computer Networking AMC; Computer Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.179Z
SR Computers,S,5.0,10 Ratings,"K.S K S Rao Road, Mangalore",,,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.180Z
Manframe Computers Pvt Ltd,+,4.8,933 Ratings,"Kankanady Bendoorwell, Mangalore",,07947296310,Laptop Dealers-Acer; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.180Z
Vijay Computers,+,5.0,9 Ratings,"Commercial Building Bejai, Mangalore",,,Computer Repair & Services; CCTV Installation Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.180Z
Unique Systems,+,4.4,52 Ratings,"Car Street Bhavanthi Street, Mangalore",,,Assembled Computer Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.181Z
Trinity Enterprises (JioMart Digital Partner),+,4.2,10 Ratings,"Highlands Road Falnir Road, Mangalore",,,Home Appliance Dealers-Bajaj; AC Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.181Z
Unique Systems,+,4.4,52 Ratings,"S Roa Ks Rao Road, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.182Z
Divine Solutions,+,4.3,6 Ratings,"Alangar Main Road Alangar, Moodbidri",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.182Z
Techno Computers and Mobile Care,+,3.0,46 Ratings,"Ksrtc Main Road Bejai, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.182Z
Galaxy Computer Services,+,4.7,13 Ratings,"KRR Road Karangalpady, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.182Z
I Profesionals India,+,5.0,5 Ratings,"Street Bhavanthi Street, Mangalore",,,Mobile Phone Repair & Services; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.183Z
Lap Top Parts Solutions,+,5.0,8 Ratings,"Near SDM College M G Road, Mangalore",,,Computer Repair; Computer Accessory Repair; Computer AMC,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.183Z
Chetana Groups,+,2.9,9 Ratings,"Balika Ashram Road Kankanady, Mangalore",,,AC Repair & Services; Washing Machine Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.183Z
Hardware Wizard,+,4.9,"1,212 Ratings","Kalakunja Road Kodialbail, Mangalore",,,Computer Printer Repair & Services; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.183Z
Ipex Technologies,+,4.6,651 Ratings,"Ipex Technologies M G Road, Mangalore",,,Electronic Goods Showrooms; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.183Z
Uniq Computers,+,5.0,410 Ratings,"Iruvail Road Moodbidri, Moodbidri",,,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.184Z
Digital Planet,+,4.1,373 Ratings,"Nava Bharath Circle Kodialbail, Mangalore",,,Computer Repair; Company Authorised Dealer,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.184Z
Laptop Wizard,+,4.9,188 Ratings,"Main Road Kankanady, Mangalore",,,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.184Z
Comfix Laptop Solutions,+,5.0,163 Ratings,"BIKARNAKATTE Bikkarnakatte, Mangalore",,,Computer Repair & Services-HP; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.184Z
Laptech Computers,+,4.8,160 Ratings,"Bus Stand Road Alangar, Moodbidri",,,Laptop Repair & Services; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.184Z
Alpha Systems,+,4.8,144 Ratings,"M G Road Ballalbagh, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.185Z
Souza Service Centre,+,3.9,172 Ratings,"Father Muller Road Valencia, Mangalore",,,Mobile Phone Repair & Services-Sony; Mobile Phone Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.185Z
Aarya Technologies,+,5.0,112 Ratings,"Temple Square Car Street, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.185Z
Raksha Computer,+,5.0,112 Ratings,"Bejai Kavoor Road Derebail, Mangalore",,,Computer Software Dealers; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.185Z
Avn Systems,+,4.8,115 Ratings,"Airport Road Padavinangady, Mangalore",,,Computer Repair & Services-Acer; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.185Z
Jain Computers,+,4.1,134 Ratings,"Street Casba Bazar Bunder, Mangalore",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.185Z
Phoenix System,+,3.8,135 Ratings,"Kadri Rd Bunts Hostel Road, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.186Z
Smart Tech Solutions,+,4.7,106 Ratings,"Malikatta Mallikatta, Mangalore",,,Computer Printer Dealers; Computer Repair & Services,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.186Z
Comps The Computer Store,+,3.9,108 Ratings,"Main Road Surathkal, Mangalore",,,Computer Dealers-Acer; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.186Z
Suprabhath Computers,S,4.6,89 Ratings,"Bejai, Mangalore",,,Delivery Available; Shop In Store; Same Day Delivery,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.186Z
Lap Lab Centre,+,4.0,81 Ratings,"K R Road Karangalpady, Mangalore",,,Laptop Repair & Services-HP; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.186Z
B G Communications,+,3.8,76 Ratings,"Meridian Guru Plaza Bejai, Mangalore",,,Mobile Phone Dealers; Mobile Phone Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.187Z
SN Computers,+,4.9,58 Ratings,"Derlakatte Derlakatte, Mangalore",,,Assembled Computer Repair & Services; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.187Z
Rashi Peripherals Pvt Ltd,+,4.3,62 Ratings,"Bharathi Nagar Bejai, Mangalore",,,Laptop Repair & Services; Laptop Repair & Services-Asus,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.187Z
Sigmatech,+,4.4,57 Ratings,"Bridge Road Balmatta, Mangalore",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.187Z
Impact,+,3.9,64 Ratings,"Deepa Paradise Balmatta, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.187Z
Spark Lapcare,+,5.0,41 Ratings,"Bejai Anegundi Road Bejai, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.188Z
Matrix Technology,+,3.8,50 Ratings,"Kodialbail M G Road, Mangalore",,,Computer Printer Dealers-Canon; Computer Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.188Z
Microtech Computers,+,3.9,48 Ratings,"Main Road Surathkal, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.188Z
Softnet Center,+,4.3,40 Ratings,"Mangaluru Kavoor, Mangalore",,,Computer Repair; Computer Accessory Repair; Computer AMC,true,true,false,true,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.188Z
Infinity Complap Solutions,+,5.0,33 Ratings,"Mullers Hospital Road Kankanady, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.189Z
Hira It Solutions,+,4.7,35 Ratings,"Deepa Comforts M G Road, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.189Z
Sk Infotech,+,4.9,32 Ratings,"Kulur Kavoor Panjimogaru, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.189Z
Computech,+,4.1,38 Ratings,"Moodbidre Main Road Moodbidri, Moodbidri",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.189Z
Re pair Hub,+,4.8,31 Ratings,"Selma Arcade Building Mallikatta, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.190Z
Netlink Computers,+,3.3,42 Ratings,"Alake Road Alake, Mangalore",,,Computer Repair & Services-Dell; Computer Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.190Z
Gurushri Computers,G,3.5,39 Ratings,"Vidyadayinee Complex Surathkal, Mangalore",,,Computer Software Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.190Z
Cntrl R,+,3.2,41 Ratings,"Valencia Church Road Valencia, Mangalore",,,Mobile Phone Repair & Services; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.190Z
IT Care Laptop Service,+,4.2,30 Ratings,"Centre Mall Ks Rao Road, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.190Z
I Care Computers,+,3.9,32 Ratings,"Surathkal, Mangalore",,,CCTV Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.191Z
Yash Computers,Y,4.4,28 Ratings,"Kapikad Road Kinnigoli, Mangalore",,,Laptop Dealers; Computer Repair & Services,true,true,false,true,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.191Z
Shree Vasuki Enterprises,S,4.3,28 Ratings,"Shreyas Chambers Chillimbi, Mangalore",,,Second Hand Computer Dealers; CCTV Dealers,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.191Z
Pavisha Complete It Solutions,+,4.9,24 Ratings,"Near Fish Market Saghu, Mangalore",,,Computer Dealers; CCTV Dealers,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.191Z
V B Tech Solutions,+,4.6,25 Ratings,"Kulur Ferry Road Mannagudda, Mangalore",,,Delivery Available; Curbside Pickup; In Store Collect,true,true,false,true,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.191Z
Nirmal Info World,+,4.4,26 Ratings,"Bejai Main Road Bejai, Mangalore",,,Computer Accessory Dealers; Computer Repair & Services,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.191Z
V Care Systems,+,4.3,26 Ratings,"Car Street Road Car Street, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.192Z
Sigma Infotech,+,5.0,21 Ratings,"Main Road Pumpwell, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,true,true,false,false,true,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.192Z
My Computer (Asus Dell Hp),+,3.9,26 Ratings,"Essel Chambers Karangalpady, Mangalore",,,Computer Repair & Services; Second Hand Laptop Dealers,true,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.192Z
Mothers Speech Hearing Center,+,3.8,26 Ratings,"No. UG 27 Empire Mall M G Road, Mangalore",,,Computer Repair & Services; Laptop Repair & Services,false,true,false,false,false,Laptop Repair & Services,,Mangalore,2025-05-31T15:44:56.192Z
