name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Blue Sky Events & Exhibitions,<,4.3,3 Ratings,"90 Feet Road Nalasopara East, Palghar",,09036670588,,true,false,false,false,true,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.825Z
Ashwathy Trading Company,<,4.0,2 Ratings,"Thuruthy Road Mavilakadapuram, Kasaragod",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.826Z
Ultimate The Event Management Group,<,4.5,2 Ratings,"Bank Road Kannur Ho, Kannur",,,Event Management Companies; Wedding Planners,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.826Z
Paropakaram Pvt. Ltd,<,4.5,4 Ratings,"Kottiyoor Road Manathana, Kannur",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.827Z
Nn Traders,<,4.0,3 Ratings,"Vengapally Kalpetta, Wayanad",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.828Z
Align Ads And Events,<,3.9,9 Ratings,"Hebbal Main Road Metagalli, Mysore",,,Event Organisers For Dance Parties; Event Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.830Z
Darla Sales And Agencies,<,4.5,729 Ratings,"No.1516/A Shivarampet, Mysore",,,Same Day Delivery; On Site Services,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.831Z
Ant & Elephant Ads & Events,<,4.8,2 Ratings,"Thamarakulam West Hill, Kozhikode",,,Event Organisers For Corporate; Exhibition Organisers,true,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.831Z
Southern Furnishers,<,4.3,26 Ratings,"Madhwachar Circle Kr Mohalla, Mysore",,,Event Organisers For Dance Parties; Event Organisers,true,false,false,true,true,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.832Z
Penorg Entertainments,<,3.1,15 Ratings,"Azhakodi Road Arayidathupalam, Kozhikode",,,Event Organisers; Event Management Companies,true,false,false,true,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.833Z
Three star trading company,T,4.2,8 Ratings,"Mukkam, Kozhikode",,,Trade Fair Organisers,false,false,false,false,false,Event Organizer,Popular Trade Fair Organisers,Mangalore,2025-05-31T15:56:40.833Z
