name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Laxmi Commercial Arts,<,4.2,22 Ratings,"Besant Complex Kodialbail, Mangalore",,,Computerised Rubber Stamp Manufacturers; Fabricators,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.045Z
Shri Ganesh Engineering Industries,<,4.9,68 Ratings,"Estate Road No -1 Baikampady, Mangalore",,08511698760,Industrial; Building,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.046Z
Cornerstone Alloys,<,4.7,18 Ratings,"Alape Matta Yekkur, Mangalore",,08460412754,Industrial; Building,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.046Z
Sree Food Machinery (Nirav and Gb),<,4.3,14 Ratings,"Nellikai Road Mission Street, Mangalore",,07411661760,,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.046Z
Himansh Aluminium and Interior,<,5.0,1 Ratings,"2nd Cross Kulshekar, Mangalore",,09845245815,Upvc Door,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.047Z
Blue Sky Aluminium Fabrication,<,5.0,2 Ratings,"Bolpugudde Kavoor, Mangalore",,08511745109,Fabricators; Aluminium Fabricators,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.047Z
Sri Rama Fabrication,<,4.8,11 Ratings,"Industrial Area Baikampady, Mangalore",,,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.047Z
Dreamspace Builders & Developers,<,5.0,24 Ratings,"Kulur Ferry Road Urwa, Mangalore",,07041693268,Fibre Door Dealers; Building,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.048Z
Girija Engineering,<,4.6,10 Ratings,"Industrial Area Baikampady, Mangalore",,08511844296,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.048Z
I Plywood & Doors,<,4.9,8 Ratings,"Nellekai Road Bunder, Mangalore",,07383848364,Aluminium Sliding Door Dealers; Upvc Door,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.048Z
M.K. Aluminium,+,3.2,10 Ratings,"Samrudhi Bhavan Nagori, Mangalore",,08511073415,Aluminium Sliding Door Dealers; Upvc Door,true,false,false,true,false,Fabricators,,Mangalore,2025-05-31T16:00:25.048Z
Sai Engineers,+,4.4,7 Ratings,"Hoigebail Road Urwa, Mangalore",,,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.049Z
Sky Touch Fabrication,+,5.0,7 Ratings,"Central Market Road Lalbagh, Mangalore",,08487092001,,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.049Z
Trade Mart,T,4.2,28 Ratings,"Lower Carstreet Road Car Street, Mangalore",,08511771034,PVC Door Dealers; Aluminium Sliding Door Dealers; Company Authorised Dealer,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.049Z
Abfa Design & Build,+,5.0,26 Ratings,"Nandigudda Road Attavar, Mangalore",,08511580502,Building,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.050Z
Sri Venkateshwara Aluminium & Interiors,+,4.5,17 Ratings,"to Warehouse Road Ballalbagh, Mangalore",,08460529832,Aluminium Sliding Door Dealers; Building,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.050Z
V K Furniture and Electronics,+,4.1,485 Ratings,"YEYYADI Yeyyadi, Mangalore",,,Solar; Solar Panel Repair; Same Day Delivery,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.051Z
Akruthi Interior Decorators,+,4.3,4 Ratings,"Kodialbail, Mangalore",,,Fabricators; Aluminium Fabricators,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.051Z
Ontime Solution,+,4.8,68 Ratings,"Neethinagar Shaktinagar, Mangalore",,08792487489,Banner; Book,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.053Z
Dv All Work Maintenance,+,5.0,1 Ratings,"Pumpwell, Mangalore",,07383606136,Electrical Installation Services; Electricians,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.053Z
Ananthapadmanabha Enterprises,+,4.9,13 Ratings,"Kulashekara Kulshekar, Mangalore",,08511486915,Display Rack Dealers; Fabricators,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.054Z
Angel & Ana's Aluminium,+,4.6,12 Ratings,"Industrial Area Baikampady, Mangalore",,,Interior Designers For Apartment; Interior Designers,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.054Z
Asta Interiors,+,4.8,42 Ratings,"Kadri Kaibattal Kadri, Mangalore",,,Pop False Ceiling Contractors; Interior Designers,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.054Z
Taste Of Decor,+,4.5,2 Ratings,"Kshatriya Hall Road Morgans Gate, Mangalore",,08511319308,Acrylic Fabricators; Fabricators,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.055Z
Total Care,+,4.4,57 Ratings,"Falnir Falnir Road, Mangalore",,07041849820,Electricians; Carpenters,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.055Z
A1 Engineering Services,+,5.0,9 Ratings,"Baikampady, Mangalore",,08123690661,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.055Z
Ace Industrial Supplies,+,4.3,3 Ratings,"Kunnil Complex Kankanady, Mangalore",,08511486502,Safety Equipment Dealers; Fabricators,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.055Z
Weld World Iron Work,+,4.1,5 Ratings,"Pandeshwar, Mangalore",,07041766820,Industrial,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.056Z
Karavali Fab And Tech,+,3.3,2 Ratings,"Guddeyandi Kulur, Mangalore",,,Fabricators; Aluminium Fabricators,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.056Z
Shanthi Engineering Works,+,4.9,26 Ratings,"Ring Road Bm Road, Hassan",,09054646774,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.057Z
RIBCO,+,4.0,177 Ratings,"National Highway 66 Jali, Karwar",,,Steel Door Dealers; Designer,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.057Z
Padmashali Aluminium Fabricators,+,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.058Z
Slv Enterprises,S,4.0,3 Ratings,"Main Road Doddakallasandra, Bangalore",,07041944282,Fabricators; MS Fabricators,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.059Z
Varaha Industries,+,4.3,3 Ratings,"Venkateswara Nagar Sunkadakatte, Bangalore",,08904589791,Powder Coating Services; Fabricators,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.059Z
Trancivilia Constructions Private Limited,+,4.6,14 Ratings,"Feet Ring Banashankari 3rd Stage, Bangalore",,09980942009,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.059Z
Esskay Engineering Works,+,4.5,6 Ratings,"Road Bilekahalli, Bangalore",,08460226048,Industrial; On Site Services,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.060Z
Mv Aluminium Trading Company,+,4.6,72 Ratings,"Timber Yard Layout Mysore Road, Bangalore",,09980778466,Aluminium Sliding Door Dealers,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.061Z
SREE FOOD MACHINERY,+,4.5,64 Ratings,"Silver Jubilee Park Road, Bangalore",,09035031038,Shop In Store,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.061Z
Jk Fab Tech,+,3.8,6 Ratings,"Basaveshwar Nagar Shankar Nagar, Bangalore",,07041343063,MS Fabricators; Fabricators,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.062Z
Diamond Steel Industries,+,2.3,3 Ratings,"Nurani Masjid Flat Gokul Road, Hubli",,08490868641,Labour Contractors For Factory; Labour Contractors,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.062Z
A A Maimoon Enterprises,+,4.2,183 Ratings,"Bamboo Bazaar City Market, Bangalore",,07411578753,Fabricators; Aluminium Fabricators,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.062Z
Madani Engineering Works,+,4.6,4 Ratings,"Petrol Pump Navanagar Hubli, Hubli",,08460549952,Industrial,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.062Z
Tanmay Glass and Plywood,+,5.0,1 Ratings,"Road RMC Link Road Davangere, Davangere",,08401083667,Upvc Door; Plywood Door Dealers,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.062Z
Neelavati Enterprises,+,4.4,27 Ratings,"Urdu School Bhairidevarkoppa, Hubli",,09054896966,Furniture Dealers; Fabricators,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.063Z
Ssi Furniture,+,3.5,20 Ratings,"Doddanna Industrial Estate-Hegganahalli, Bangalore",,,Furniture Manufacturers; Interior Designers,true,false,false,true,false,Fabricators,,Mangalore,2025-05-31T16:00:25.063Z
Sri Venkateshwara Industries,+,3.5,7 Ratings,"Tilaknagar, Mysore",,,Industrial,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.063Z
Sarva Systems and Services,+,4.5,31 Ratings,"Floor Pantarpalya Mysore Road, Bangalore",,09845233316,Building,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.063Z
Royal Steels,+,4.4,10 Ratings,"First Bus Stop Anand Nagar, Hubli",,,Door Fabricators; Furniture Dealers,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.063Z
N B Enterprises,+,4.0,9 Ratings,"Vinobhanagara Extn Davangere, Davangere",,,Industrial,true,false,false,true,false,Fabricators,,Mangalore,2025-05-31T16:00:25.064Z
Maganahalli Wooden & Steel Furniture Works,+,4.2,10 Ratings,"Near Gandhi Circle Davangere Ho, Davangere",,,Computer Furniture Dealers; Furniture Dealers,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.064Z
Nesco Metals,+,3.9,34 Ratings,"Industrial Estate Gokul Road, Hubli",,,Industrial,true,false,false,true,false,Fabricators,,Mangalore,2025-05-31T16:00:25.064Z
Hsf Steels 2,+,4.5,13 Ratings,"Old Hubli Karwar Road, Hubli",,,Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.064Z
Citadel Building Systems,+,5.0,6 Ratings,"Institute Raod Veerakeralam, Coimbatore",,09724108889,Building,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.064Z
M Projects,M,3.5,2 Ratings,"Mavelikara, Alappuzha",,07043413418,Industrial,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.065Z
H L Power Tech Laser Cutting,+,5.0,1 Ratings,"Village Hosur Industrial Complex, Hosur",,07383244439,Fabricators; Engineering Companies,true,false,false,false,false,Fabricators,,Mangalore,2025-05-31T16:00:25.065Z
Jcmarvel Engineering and Trading LLP,+,4.6,33 Ratings,"Mukkidipeta, Hindupur",,07022232696,Industrial; Delivery Available; On Site Services,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.065Z
MONSOOR All India Manpower Supplier,M,3.9,14 Ratings,"Nagar Bus Stop 18/2 Sundarapuram, Coimbatore",,08460487908,Fabricators; Building Contractors,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.066Z
Srimaan Engineering Works,+,4.1,7 Ratings,"Outer Ring Road Mookandapalli, Hosur",,08511494947,Industrial Trolley Manufacturers; Fabricators,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.066Z
Kavitha Steel Railing and Fabrication,+,4.8,19 Ratings,"Nagar 80 Feet Road Kamalanagar, Anantapur",,09740181091,Steel Fabricators; Glass Dealers,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.067Z
Acetech,+,4.7,25 Ratings,"Kannamapalayam Sulur, Coimbatore",,08460396011,Industrial,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.067Z
Sibi Engineering,+,4.3,13 Ratings,"Maruthur Road Vadakaraiatur, Namakkal",,08867834067,,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.068Z
Taurus Conveyor Company,+,4.2,17 Ratings,"Sidco Phase 6 Sipcot, Hosur",,,Industrial; Company Authorised Dealer,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.068Z
Q-Max Anticorrosion Systems,+,4.1,23 Ratings,"Sipcot - 1 Sipcot, Hosur",,,Fabricators; PVC Pipe Dealers,true,false,false,true,false,Fabricators,,Mangalore,2025-05-31T16:00:25.068Z
Sri Karpaga Vinayagar Engineering,+,4.7,36 Ratings,"Main Road Palapatti Salem, Salem",,08401668355,,true,false,false,false,true,Fabricators,,Mangalore,2025-05-31T16:00:25.068Z
Chinitic Industries,+,5.0,2 Ratings,"Idikarai Main Road Idigarai, Coimbatore",,08460308699,Building; Industrial,true,false,false,true,true,Fabricators,,Mangalore,2025-05-31T16:00:25.068Z
