name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Mangaladevi Tourists,<,3.5,28 Ratings,"Near Mangaladevi Temple Bejai, Mangalore",,08511993903,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.902Z
Mangalore Call Drivers,<,4.8,942 Ratings,"Jyothinagar Yeyyadi, Mangalore",,,Driver Service Agents; Driver Service Agents For Hourly Basis,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.902Z
Directionguru,<,3.9,"3,695 Ratings","Defence Lab Road Ratanada, Jodhpur",,,Overseas Placement,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.903Z
Seenu Tours and Travels,<,4.8,7 Ratings,"Marakada Kavoor, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.903Z
Mangalore Tourist & Taxi,<,4.8,611 Ratings,"Naguri Kankanady, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.903Z
Sai Janani Tours,<,4.8,171 Ratings,"MCC Old Market Surathkal, Mangalore",,,Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.904Z
Anna Maria Travels,<,4.9,53 Ratings,"Padil Padil, Mangalore",,,Tour Packages; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.904Z
Mangaladevi Travels Mangalore,<,3.7,17 Ratings,"Mangaluru Bolar, Mangalore",,,Travel Agents; Car Rental,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.904Z
24 Hour Drivers,<,4.9,8 Ratings,"Bendoorwell Kankanady, Mangalore",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.904Z
Tejas Tours & Travels,<,4.8,7 Ratings,"Mangaluru Kavoor, Mangalore",,,Travel Agents; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.904Z
Mf Car Rental,+,4.5,1 Ratings,"Kotekare Kotekar, Mangalore",,,Self Driven,false,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.905Z
Freelance Driver,F,5.0,2 Ratings,"Poinachi Vidyanagar, Kasaragod",,,Car Rental; Car Rental For Self Driven,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.905Z
Driver Any Vehicles,D,2.8,2 Ratings,"Vp Nagar Kunjibettu, Udupi",,,Car Rental; Car Rental For Outstation,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.905Z
Prashanth,P,3.7,3 Ratings,"Ambagil Doddangudde, Udupi",,,Driver Service Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.905Z
Sudhi Driver,S,4.9,4 Ratings,"Sathekatte Santhekatte, Udupi",,,Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.905Z
Raju Driver,R,3.0,2 Ratings,"Thegarcy Byndoor, Udupi",,,Driver Service Agents; Driver Service Agents For Hourly Basis,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.905Z
Manavi Tours and Travels,M,4.0,1 Ratings,"Housing Board Chikmagalur Fort, Chikmagalur",,,Car Rental; Travel Agents,true,true,false,false,false,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.906Z
Travelers Choice Tour&Travels,+,4.9,42 Ratings,"3rd Cross Chikmagalur Bus Stand, Chikmagalur",,,Car Rental; Driver Service Agents,true,true,false,false,true,House keeping Services,Popular Driver Service Agents,Mangalore,2025-05-31T16:06:47.906Z
