name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Tumbledry Laundry and Dry Cleaning.,<,4.0,153 Ratings,"Bejai Main Road Bejai, Mangalore",,08511312067,Home Delivery; Dry Clean Up,true,true,false,true,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.905Z
Myhangers,<,4.2,198 Ratings,"Bejai Road Bejai, Mangalore",,,Ironing; 24 Hours; Home Delivery,true,true,false,true,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.906Z
Tumbledry Laundry and Dry Cleaning Pumpwell,<,5.0,19 Ratings,"Pumpwell -Padil Road Pumpwell, Mangalore",,08128667197,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.906Z
Aurclean - The Organic Laundry,<,4.8,28 Ratings,"Falnir Main Road Falnir, Mangalore",,08105012146,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.906Z
UClean Mangalore Laundry Dry Cleaning Shoe Cleaning,<,4.6,45 Ratings,"Hall Road Balmatta, Mangalore",,09731807802,Ironing; Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.906Z
Quicklean Modern Laundry Shop,<,4.5,18 Ratings,"Airport Road Padavinangady, Mangalore",,,Home Delivery; 24 Hours; Ironing,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.906Z
Spin Zone Laundry,<,4.9,507 Ratings,"Near BSNL Office Derlakatte, Mangalore",,08861241252,Home Delivery; Ironing; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.906Z
Shri Ganesh Laundry,<,4.4,7 Ratings,"D No 2-49/1 Padavinangady, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,true,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Shoe Laundry,<,3.3,137 Ratings,"Essel Centre M G Road, Mangalore",,,Free Pick Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Tumble Dry,<,4.9,34 Ratings,"Manglore Hyway Moodbidri, Moodbidri",,08460528492,Home Delivery; Dry Clean Up,true,true,false,true,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Mangala Bleaching and Drycleaners,+,4.8,4 Ratings,"Block No.288 Baikampady, Mangalore",,,Home Delivery; Dry Clean Up; Free Pick Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Suvarna Laundry,+,3.8,8 Ratings,"Old Road Kankanady Kankanady, Mangalore",,,Laundry Services For Factory; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Metdoor The Premium Laundry Cafe,+,4.8,297 Ratings,"University Road Kuthar, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Metdoor Premium Laundry,+,4.5,144 Ratings,"Bv Road Attavar, Mangalore",,,Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Metdoor Premium Laundry,+,4.5,144 Ratings,"Bunder, Mangalore",,,Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Washmart Laundry & Dryclean,+,4.9,86 Ratings,"Surathkal, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.907Z
Tumble Dry Laundry And Dry Cleaners,+,4.9,79 Ratings,"Jeppu Market Road Jeppu, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.908Z
Tumbledry Dry Clean & Laundry Service,+,4.9,54 Ratings,"Pumpwell, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.908Z
Onish Shoe Laundry,+,4.9,51 Ratings,"Mangalore Kankanady, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.908Z
Super Dry Cleaners,+,3.8,64 Ratings,"House Hill Road Hampankatta, Mangalore",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.908Z
Neat N Clean Laundry Services,N,4.9,45 Ratings,"Karnataka Kaikamba, Mangalore",,,Laundry Services; Dry Cleaners,false,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.909Z
Lazyday,+,4.8,43 Ratings,"Mg Road Kodialbail, Mangalore",,,Home Delivery; Ironing; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.909Z
U Clean We Laundry,+,4.7,43 Ratings,"Shanti Church Road Attavar, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.909Z
The Laundry House,T,4.8,32 Ratings,"Ujjodi, Mangalore",,,Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.909Z
Coronet Dry Cleaners,+,3.7,39 Ratings,"Shivabagh Road Kadri, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.909Z
Coronet Dry Cleaners (ni),+,3.7,39 Ratings,"Kadri Road Kadri, Mangalore",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.910Z
ontime laundry,o,5.0,28 Ratings,"Gurupura Kaikamba Kaikamba, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.910Z
V Wash Express Laundry,+,4.2,26 Ratings,"Kurunjibhag Sullia, Mangalore",,,Laundry Services; Dry Cleaners,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.910Z
Coronet Dry Cleaners,+,2.7,39 Ratings,"Sarvamangala Complex Valencia, Mangalore",,,Ironing; Washing; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.910Z
E-TECH SHOE LAUNDRY,+,4.5,23 Ratings,"Attavara Kankanady, Mangalore",,,Laundry Services; Shoe Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.910Z
Klean Laundry,K,4.3,19 Ratings,"Kalpana Road Kankanady, Mangalore",,,24 Hours; Home Delivery; Whitening Treatment,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.910Z
Shree Mookambika Laundry,+,4.8,15 Ratings,"Cross Road Central Market, Mangalore",,,Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Bharath Laundry Sullia,+,4.7,14 Ratings,"Sullia, Mangalore",,,Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Tumbledry Dry Clean & Laundry Service,+,4.0,15 Ratings,"University Road Deralakatte, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Urban Laundry,U,4.8,12 Ratings,"Old Kent Road Pandeshwar, Mangalore",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Fabricspa,+,3.7,15 Ratings,"No.19 Attavar, Mangalore",,,Home Delivery; Washing; Whitening Treatment,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Sri Ganesh Laundry,S,4.6,12 Ratings,"Mangaluru Bejai, Mangalore",,,Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Whitewoods Clothwash Automatic Laundry Llp,W,4.2,13 Ratings,"Mg Road Ballalbagh, Mangalore",,,Laundry Services; Dry Cleaners,false,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.911Z
Pooja Dry Cleaner,+,4.4,12 Ratings,"Konchady Road Derebail, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.912Z
Metro Laundry,+,4.8,11 Ratings,"Kadri Temple Road Mallikatta, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.912Z
Super The Laundry Shop,+,2.8,18 Ratings,"Mallikatta Bendoor, Mangalore",,,Laundry Services For Hotel; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.912Z
Istari Walla Mallika Laundry Service,I,4.6,10 Ratings,"Attavar Attavar, Mangalore",,,Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.912Z
The Stalwart Shoe Laundry,+,3.0,15 Ratings,"Forum Mall Attavar, Mangalore",,,Home Delivery; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Mangalore,2025-05-31T16:07:57.912Z
