name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Kitchenwise Interiors,<,4.5,98 Ratings,"Chilimbi Ashoknagar, Mangalore",,08511914509,Modular Kitchen Manufacturers; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.460Z
Bharath Interior Decor,<,5.0,22 Ratings,"Kankanady Old Road Pumpwell, Mangalore",,08511923616,PVC Door Dealers; Upvc Door,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.460Z
Bright Home Interiors,<,4.8,7 Ratings,"KSR Road Kodialbail, Mangalore",,08460460361,Interior Designers; Interior Decorators,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.460Z
Sk Spaces,<,4.6,42 Ratings,"Pumpwell, Mangalore",,09980147985,Carpenters; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.461Z
Teekays Corporate Concepts,<,4.8,5 Ratings,"Mangaluru Bendoorwell, Mangalore",,,Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.461Z
Interioristick Vibes,<,4.9,13 Ratings,"2nd Kolya Kumpala, Mangalore",,08511927587,Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.462Z
Spacerway Design Hub,<,4.9,18 Ratings,"Kaikamba Bantwal, Mangalore",,08460486584,Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.462Z
Perfect Interiors With Curtains And Wallpapers,<,4.9,129 Ratings,"Kapikad Road Bejai, Mangalore",,,Decorative; Imported,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.463Z
Scratch To Finish,<,4.3,8 Ratings,"Bejai Circle Bejai, Mangalore",,,Estate Agents For Hotel Lease; Estate Agents For Residential Rental,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.463Z
Sri Durgaprasad Planning Works & Sri Kalikamba Industries,<,4.9,4 Ratings,"Kulai Mrpl Road Kulai, Mangalore",,,Wooden Door; Company Authorised Dealer,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.463Z
No.1 Ceiling Touch,+,4.8,22 Ratings,"Bejai Main Road Bejai, Mangalore",,08123908190,,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.464Z
Decorica Interior Design,D,3.5,2 Ratings,"Katipalla Surathkal, Mangalore",,09724856284,Interior Designers; Interior Decorators,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.465Z
Shilpa Prajna Associates,+,4.8,6 Ratings,"Moodbidri Main Road Moodbidri, Moodbidri",,08511402642,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.465Z
Shaurya Constructions Interiors,S,4.9,18 Ratings,"Market Road Karangalpady, Mangalore",,,Industrial; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.465Z
Concept House,+,4.4,13 Ratings,"Bejai Kapikad Road Bejai, Mangalore",,,Interior Decorators; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.465Z
Shesha Construction,+,4.9,9 Ratings,"Subhashith Nagar Surathkal, Mangalore",,09606265944,3D Painting; Textured Wall Painting,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.466Z
AARD Interiors & Wood Works,+,5.0,3 Ratings,"Borugudde Konchady Derebail, Mangalore",,08460468834,Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.466Z
Dreamspace Builders & Developers,+,5.0,24 Ratings,"Kulur Ferry Road Urwa, Mangalore",,07041693268,Fibre Door Dealers; Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.466Z
4 Mark Interiors,+,4.6,10 Ratings,"Bunder, Mangalore",,08511933841,Furniture Dealers; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.466Z
Adish Infratech,A,3.5,5 Ratings,"Mannagudda Road Mannagudda, Mangalore",,08511494266,Civil Contractors For Commercial; Estate Agents For Residential Rental,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.466Z
Chavadi Interiors,+,4.9,96 Ratings,"Bejai Main Road Bejai, Mangalore",,,Interior Designers For Apartment; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.467Z
Sri Venkateshwara Aluminium & Interiors,+,4.5,17 Ratings,"to Warehouse Road Ballalbagh, Mangalore",,08460529832,Aluminium Sliding Door Dealers; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Mangalore,2025-05-31T16:15:37.467Z
