name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Home Design Architects Civil Engineers and Contractors,<,4.4,35 Ratings,"Surathkal Krishnapura, Mangalore",,08050546183,Building,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.756Z
The Kitchen World,<,4.4,47 Ratings,"Main Road Bendoorwell, Mangalore",,08511842826,Interior Designers; Pop Contractors,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.756Z
Pentagram Design Studio,<,4.9,30 Ratings,"Warje, Pune",,09972242495,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.756Z
Shree Decors,<,4.3,62 Ratings,"Gymkhana Road Dombivli East, Thane",,08511493514,Upvc Door; Bathroom Door Dealers; Apartment,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.756Z
Yesb Infratech Pvt Ltd,<,4.2,12 Ratings,"- NH 48 Atak Pardi, Valsad",,09972267166,Building; Industrial,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.756Z
Hindustan Projects,<,4.1,14 Ratings,"VIVEKANAD NAGAR Baba Dham, Bhilwara",,,Farm; Industrial Land Surveyors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
United Interiors,<,4.7,19 Ratings,"MG Road M G Road, Mangalore",,,Interior Designers; Construction Contractors,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
J-Interiors Pvt Ltd,<,4.8,45 Ratings,"Pumpwell, Mangalore",,,Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Colors & Care,<,4.8,22 Ratings,"Kankanady, Mangalore",,,Textured Wall Painting; 3D Painting,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Xcellent Wood Finish,<,4.7,3 Ratings,"Abhish Building Attavar, Mangalore",,,Wooden Door; Waterproof,false,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Om Electrics And Plumbing Works,O,4.0,1 Ratings,"Dramastala Kokkada, Mangalore",,,Plumbers; Electrical Contractors,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Akshay Enterprises,+,4.7,16 Ratings,"Alevoor Alevoor, Udupi",,08401933790,Designer Tiles,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Cool House Construction,+,4.6,26 Ratings,"Court Road Udupi Udupi Courts, Udupi",,,Residential,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Makers construction Division,M,5.0,1 Ratings,"Ambalapadi Junction Ambalapadi, Udupi",,,Industrial; Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Build Your Dream Home,B,5.0,1 Ratings,"Manipal Udupi Highway, Manipal",,,Building,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Vp Concept,+,4.9,48 Ratings,"Sasthan, Udupi",,09980242775,Residential,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
3d Arch Architects and Interiors,+,5.0,3 Ratings,"Payyanur, Kannur",,,Industrial; Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Epkainex,+,5.0,5 Ratings,"Payyanur Payyanur, Kannur",,,Fibre Door Dealers; Aluminium Sliding Door Dealers,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Sknb Total Ventures,+,4.2,5 Ratings,"Circle Jyothinagar Chikmagalur, Chikmagalur",,08147368390,Industrial; Quick Visit; Aluminium False Ceiling,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Civil Solutions,+,5.0,3 Ratings,"Km Road, Chikmagalur",,08401494905,Construction Contractors; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Prj Enterprises and Solution,+,4.7,38 Ratings,"Vv Road Somwarpet, Coorg",,07411790325,,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
GRANDEC HARDWARES & PLYWOODS,+,4.9,283 Ratings,"Payyambalam Beach Road Chalad, Kannur",,08460206655,Marine,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Hamd Global Trading,+,5.0,63 Ratings,"Thana Kannur Thana, Kannur",,,Roof Tiles,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.757Z
Aryan Fabrications,+,5.0,1 Ratings,"Gopala Main Road, Shimoga",,,Aluminium Sliding Door Dealers; Fibre Door Dealers,false,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
AAI Maa Interior,+,4.7,27 Ratings,"Road Gopala Gopala Extension, Shimoga",,,On Site Services,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
New Star Interior,+,4.3,19 Ratings,"Bypass Road Durgigudi, Shimoga",,08460450401,PVC; Decorative,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
TROPICA,+,5.0,5 Ratings,"Edakkad Road Kadachira, Kannur",,,Interior Designers; Architects,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Be cool events and tents,B,4.0,2 Ratings,"Tejur, Hassan",,,24 Hours Open,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Pragyaan Construction,+,3.5,2 Ratings,"Bh Road Bh Road Shimoga, Shimoga",,09980246068,Civil Contractors; Construction Companies,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Mahalakshmi Aluminium and Interior work,+,4.6,5 Ratings,"Llr Road Garden Area, Shimoga",,,Aluminium Fabricators; Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Sri Mani Paints And Hardware,+,3.2,25 Ratings,"Main Road Vinoba Nagar Shimoga, Shimoga",,,Exterior Paint; Interior paint; Same Day Delivery,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Acuzy Designers&Builders,+,4.2,3 Ratings,"Kanninada Thiruvallur, Kozhikode",,08460536049,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Woodcombine Interior Designing,+,5.0,79 Ratings,"Mananthavady Mananthavady, Wayanad",,08460527952,Textured Wall Painting; Building,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
E K CARPENTRY,+,5.0,6 Ratings,"Thonichal Nallurnad, Wayanad",,,Interior Designers; Gypsum False Ceiling Contractors,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Habiqqo Architecture,+,4.6,87 Ratings,"PWD Road Kalpetta, Wayanad",,,Interior Designers; Architects,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Choice Electrical Wiring and Plumbing Service,+,4.8,111 Ratings,"2nd Stage Hebbal, Mysore",,,Wiring,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Mk Pandey Decorator,+,4.6,5 Ratings,"Vijay Nagar Main Road Hebbal, Mysore",,,Construction Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
BMJ AND COMPANY,+,5.0,5 Ratings,"Citb Choutry Hebbal, Mysore",,,Civil Contractors; Labour Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Balaji Enterprises & Interiors,+,3.8,5 Ratings,"Moogana Hundi Srirampura, Mysore",,07048497214,Wpc Door Dealers; Upvc Door,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Royal Interior Decorator,+,4.7,5 Ratings,"4th Main Road Vani Vilas Mohalla, Mysore",,,Delivery Available; Apartment; Kids Room,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
Build Pillars,+,5.0,2 Ratings,"14th Cross Vv Mohalla, Mysore",,,Plumbers; House Painters,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.758Z
S S Construction,+,5.0,1 Ratings,"Saraswati Puram Saraswathipuram, Mysore",,,Civil Contractors; Building Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Swaraj Builders and Interiors,+,4.4,7 Ratings,"Kanyakumari Highway Vengery, Kozhikode",,,Builders & Developers; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Vasantha Builders,+,4.1,64 Ratings,"5th Cross Saraswathipuram, Mysore",,,Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
S A S Door Planet,+,5.0,14 Ratings,"Badavane Taralabalu Extension, Davangere",,,PVC Door Dealers; Fibre Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Lk Construction,+,4.7,3 Ratings,"3rd Main 3rd Cross DAVANGERE Mcc, Davangere",,08511479548,Residential; Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
SRI HULIGE CONSTRUCTION,+,4.8,5 Ratings,"8th Cross Pj Extension Davangere, Davangere",,08792483900,Residential; Building,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Fab Interior's,+,4.9,25 Ratings,"BN Street Sayyaji Rao Road, Mysore",,08050048672,Service Guarantee; Apartment; Kids Room,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Mercury Infra,+,4.8,12 Ratings,"Vilas Road Devaraja Mohalla, Mysore",,,Interior Designers; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Kaushal Interiors,K,3.3,4 Ratings,"1st Cross Devaraj Urs Road, Mysore",,,Fabricators; Aluminium Fabricators,true,true,false,false,false,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Vilas Construction and Interiors,V,4.4,34 Ratings,"Ramanuja Road Agrahara, Mysore",,08460302565,Textured Wall Painting; Industrial,true,true,false,false,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
Vk Construction,+,5.0,12 Ratings,"Near Vidyapeetaa Kr Mohalla, Mysore",,09725462837,Civil Contractors; Construction Companies,true,true,false,true,true,Interior Designers,Popular Interior Furnishing Contractors,Mangalore,2025-05-31T16:18:21.759Z
