name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
JotunPaints,<,4.3,29 Ratings,"Nellikai Road Bunder, Mangalore",,08511629344,Exterior Paint; Interior paint; In Store Shopping,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.734Z
All Pro Fixit Solutions,<,4.4,178 Ratings,"Dr Ansari Road Bunder, Mangalore",,08511205139,Electricians; Plumbers,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.735Z
Sabith Painting,<,5.0,31 Ratings,"Daddalkad Urwa, Mangalore",,09972852093,,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.735Z
Perfect Water Proofing,<,5.0,6 Ratings,"Vamanjoor Arya Samaj Road, Mangalore",,08511210887,Painting Contractors; Waterproofing Contractors,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.735Z
4 S Colour Creations,<,4.4,8 Ratings,"Malaraya Temple Road Chillimbi, Mangalore",,08511916532,Textured Wall Painting,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.736Z
Manvi Enterprises,<,4.5,2 Ratings,"Pajeer Post Derlakatte, Mangalore",,08511928180,House Painters; Painting Contractors,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.736Z
H K Constructions & Developers,<,4.5,12 Ratings,"Gorigudda Kankanady, Mangalore",,,Construction Contractors; Estate Agents For Residential Rental,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.736Z
Herick Paints & Interior Designs,<,4.2,9 Ratings,"Valachil Adyar, Mangalore",,08511705451,Textured Wall Painting,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.736Z
Orian Colours,<,3.7,3 Ratings,"Attavar, Mangalore",,08511990875,,true,true,false,false,false,Painting Contractors,,Mangalore,2025-05-31T16:38:22.737Z
Ashiya Interiors,<,4.7,13 Ratings,"Mallikatta Kadri, Mangalore",,08511486807,Building,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.737Z
Excellent Painters,+,4.6,4 Ratings,"Kadri Kaibattle Kadri, Mangalore",,,White Wash Painting; Textured Wall Painting,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.737Z
M S House Keeping,+,4.6,73 Ratings,"Falnir Road Falnir, Mangalore",,08511323208,Housekeeping Services For Commercial; Security Services,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.737Z
Vk Waterproofing Construction Chemicals and Solutions,+,4.9,20 Ratings,"Kavoor Kulur Road Kavoor, Mangalore",,09845438042,Waterproofing Contractors; Civil Contractors,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.738Z
Abfa Design & Build,+,5.0,26 Ratings,"Nandigudda Road Attavar, Mangalore",,08511580502,Building,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.738Z
Janvi Enterprises,J,4.8,5 Ratings,"Fisheries Road Hosabettu, Mangalore",,09725221455,Exterior Paint; 3D Painting,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.738Z
Shesha Construction,+,4.9,9 Ratings,"Subhashith Nagar Surathkal, Mangalore",,09606265944,3D Painting; Textured Wall Painting,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.739Z
Asta Interiors,+,4.8,42 Ratings,"Kadri Kaibattal Kadri, Mangalore",,,Pop False Ceiling Contractors; Interior Designers,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.741Z
Polycure Tech,+,4.7,31 Ratings,"Kadri Temple Road Kadri, Mangalore",,09972421297,Waterproofing Contractors For Bathroom; Painting Contractors,true,true,false,false,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.741Z
Sri Venkateshwara Aluminium & Interiors,+,4.5,17 Ratings,"to Warehouse Road Ballalbagh, Mangalore",,08460529832,Aluminium Sliding Door Dealers; Building,true,true,false,true,true,Painting Contractors,,Mangalore,2025-05-31T16:38:22.742Z
