name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Total Pest Control Mangalore,<,4.8,207 Ratings,"Kankanady Bypass Road Kankanady, Mangalore",,08511699109,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Chinmayee Enterprises,<,4.9,139 Ratings,"Maidan Road Hampankatta, Mangalore",,,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Universal Pest Control and Water Tank Cleaning,<,4.8,37 Ratings,"Kankanady, Mangalore",,08511926123,Residential Cleaning Services; Pest Control Services,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Kudla Pest Control,<,3.4,5 Ratings,"Balmatta Road Hampankatta, Mangalore",,08511769217,Pest Control Services; Residential Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Rapidcare Pest Solution Pvt Ltd,<,5.0,3 Ratings,"Abc Line Kadri, Mangalore",,,Pest Control Services; Residential Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Ash Pest Control,<,4.7,64 Ratings,"N.G Road Attavara Attavar, Mangalore",,08511629260,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Prateeksha Pest Management,<,4.3,9 Ratings,"Balkunje Post Mulky, Mangalore",,08511704459,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Pml Pestman Pvt Ltd,<,4.6,12 Ratings,"Nellikai Road Nellikai Road, Mangalore",,08511917948,On Site Services; 24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
M S House Keeping,<,4.6,73 Ratings,"Falnir Road Falnir, Mangalore",,08511323208,Housekeeping Services For Commercial; Security Services,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Pqgs Solutions Opc Pvt Ltd,<,4.0,14 Ratings,"Kacharakana Halli Hbr Layout, Bangalore",,09035175226,24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.550Z
Transparent Pest Control,+,4.6,55 Ratings,"Sanmarg Nagar Airport Road Hubli, Hubli",,08401209692,24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.551Z
Southland Group Of Companies,+,4.2,115 Ratings,"PAPPANAICKENPALAYAM Gandhipuram, Coimbatore",,07022607720,Waterproofing; Wall Tiles,true,true,false,true,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.551Z
Fumigation Services Pvt Ltd,+,4.3,122 Ratings,"Buddu Street Parrys, Chennai",,08460425863,Residential Pest Control Services; Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Mangalore,2025-05-31T16:37:01.551Z
