name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Hyper X Computer,<,4.6,39 Ratings,"Kankanady Road Kankanady, Mangalore",,07411796749,CCTV Dealers; CCTV Installation Services,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.656Z
Hi Tech Technology,<,5.0,2 Ratings,"NH 66 Kottara Chowki, Mangalore",,08971721641,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.656Z
Adhvaith Solutions,<,4.7,56 Ratings,"West Gate Centre Pumpwell, Mangalore",,08511770878,LG,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
T & L Svacalana Pvt Ltd,<,4.9,24 Ratings,"Kavoor, Mangalore",,08123295490,CCTV Dealers; CCTV Installation Services,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
Shree Systems,<,4.6,53 Ratings,"Kodialbail West Road Kodialbail, Mangalore",,08490805912,CCTV Dealers; Computer Repair & Services,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
Dynamic IT Distributors - Shenoy Computers,<,3.9,75 Ratings,"Below Airtel Office Karangalpady, Mangalore",,08511988153,Computer Repair & Services-Acer; CCTV Dealers,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
WeFixIT,<,4.6,48 Ratings,"Airport Road Yeyyadi, Mangalore",,08511913078,Assembled Computer Dealers; CCTV Dealers,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
Fortune Technical System,<,5.0,3 Ratings,"Near Balmatta Road Bendoorwell, Mangalore",,08147938427,Honeywell,true,false,false,false,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
Polax Automation,<,4.2,133 Ratings,"Beauty Plaza Hampankatta, Mangalore",,08511699485,Access Control System Dealers-Essl; CCTV Dealers,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
Sdp Cctv Services,<,5.0,3 Ratings,"Redbricks Village Kulshekar, Mangalore",,07041695597,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
Alert Systems,+,4.9,17 Ratings,"Mission Street Bunder, Mangalore",,,Honeywell; LG,true,false,false,true,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
A P Technologies,+,4.9,6 Ratings,"Bejai Main Road Bejai, Mangalore",,09054552898,CCTV Dealers; CCTV Installation Services,true,false,false,false,true,Security System,Popular CCTV Dealers,Mangalore,2025-05-31T16:46:25.657Z
