name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
A Fact Finder,<,4.8,2 Ratings,"Market Road Surathkal, Mangalore",,08460200447,Detective Agencies For Background Verification; Detective Agencies,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.026Z
Walkers Detectives,<,5.0,1 Ratings,"Kr Mohalla, Mysore",,07411667093,Fingerprinting; Fingerprint For Police Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.027Z
Eagle Eye Private Detective Agency,<,4.9,73 Ratings,"Highway Service Road APMC Yard, Chitradurga",,08128978253,,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.027Z
24x7 Detectivez,<,4.2,80 Ratings,"Road Rajajinagar 2nd Stage, Bangalore",,09980152590,Detective Agencies; Detective Agencies For Background Verification,true,true,false,true,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.027Z
Rajdhani Detective Agencies,<,4.9,498 Ratings,"4th A Main Road Vijayanagar, Bangalore",,,Security Services For Guard; Security Services,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.027Z
Ic Intelligence Detective Services,<,5.0,4 Ratings,"Feet Road Gandhipuram Coimbatore, Coimbatore",,,Detective Agencies; Detective Agencies For Pre Matrimonial Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
Lifeline Detective Agency Pvt Ltd,<,5.0,434 Ratings,"6th Avenue Anna Nagar East, Chennai",,07411598621,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
Bombay Forensic,<,4.1,401 Ratings,"Modi Street Fort, Mumbai",,,,true,true,false,true,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
S Prime Investigation,<,5.0,12 Ratings,"Jhotwara, Jaipur",,08147128416,Detective Agencies; Detective Agencies For Cyber Crime,true,true,false,true,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
Live Detective Network India,<,4.8,296 Ratings,"Central Spine Vidhyadhar Nagar, Jaipur",,,Registration-Detective agency,true,true,false,true,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
True Detective,T,4.0,76 Ratings,"JAIPUR ROAD Ksg Ajmer Road, Kishangarh",,07411593086,Detective Agencies; Detective Agencies For Extra Marital Affairs,true,true,false,true,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
Blue Detective Agency,B,3.5,2 Ratings,"Vasant Kunj II Vasant Kunj, Delhi",,08460205615,Detective Agencies; Detective Agencies For Cyber Crime,true,true,false,false,false,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
Shiv Detective Agency,S,4.2,5 Ratings,"Gali No 1 Paschim Vihar, Delhi",,09035280504,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.028Z
Mystery Solvers,M,3.2,31 Ratings,"Chowraha Lane Gomti Nagar, Lucknow",,09724918840,Detective Agencies; Detective Agencies For Insurance Claim Verification,true,true,false,false,false,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.029Z
Sunrise Private Detective Agency,+,4.6,262 Ratings,"Road Chandigarh Sector 45c, Chandigarh",,,Detective Agencies; Detective Agencies For Background Verification,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.029Z
THE SPY Private Detective Agency,+,4.7,43 Ratings,"Car Street Alake, Mangalore",,,Detective Agencies For Background Verification; Detective Agencies,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.029Z
Super Detective Agency,S,4.7,27 Ratings,"No.G8  Divya Enclave M G Road, Mangalore",,,Detective Agencies For Extra Marital Affairs; Detective Agencies,true,true,false,false,true,Security System,Find Professional Detective Agencies,Mangalore,2025-05-31T16:47:25.029Z
