name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jai Mangala Roadlines,<,4.3,32 Ratings,"No 6 Kottara Chowki, Mangalore",,08511765736,24 Hours Transporters; Transporters,true,false,false,true,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
New Himalaya Roadlines,<,3.8,44 Ratings,"G R Building Nanthoor, Mangalore",,,Transporters; Logistic Services,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
Kaveri Cargo Movers,<,4.4,95 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,false,true,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
Golden Heavy Load Transport,<,4.2,78 Ratings,"Athrva Complex Badlapur Ed, Thane",,08401197594,Electronic,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
MAHABER TRANSPORT,<,5.0,1 Ratings,"Chauhan Complex Thane East, Thane",,08123202342,Transporters; Transporters For Pune,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
Vrltransport Services,<,3.6,10 Ratings,"Masjid Bunder, Mumbai",,09980763661,Electronic,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
Shyam Transport,<,4.0,73 Ratings,"Mahavir Nagar Kandivali West, Mumbai",,07405412431,Animal Transportation,true,false,false,true,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
Diamondsafety Lorry Transport Packers and Movers,<,4.1,49 Ratings,"Bypass Road Khammam Bypass Road, Khammam",,09724438448,Pets Transportation; All India; Within City,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.142Z
Maa Kali Transport Company,<,3.5,2 Ratings,"Office No 23 Bhadrakali, Nashik",,09035245802,Containers On Rent; Transporters,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Radhakrishna Logistic,<,3.0,2 Ratings,"Upendra Nagar Nashik MIDC, Nashik",,07383647068,Transporters; Logistic Services,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
JAI MAHAKAL TRANSPORT,+,4.8,2 Ratings,"Adgon Chandori, Nashik",,07405747937,Corporate Courier; Domestic Courier; Door to Door,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Purohit Transport,+,4.0,107 Ratings,"Mishtan Bhandar Hinganghat, Wardha",,07383342134,Electronic,true,false,false,true,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Morbi Hyderabad All India Transport,M,3.7,16 Ratings,"Sanala Road Sardar Nagar, Morbi",,08401636234,Trucks On Rent,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Jai Mahakal logistic service,+,5.0,12 Ratings,"Museum Road Paldi, Ahmedabad",,07383747626,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Ahmedabad Logistics,A,4.2,11 Ratings,"Gunjar, Ahmedabad",,07405079605,Transporters; Transporters For All India,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Suryavansham Transport,+,3.5,93 Ratings,"Bilaspur Highway Gudhiyari, Raipur-Chhattisgarh",,08460211093,Animal Transportation; Electronic,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Odisha Mumbai Trailer Transport,+,3.5,2 Ratings,"Rasulgarh Mancheshwar, Bhubaneshwar",,08511422158,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
B G Logistics,+,4.0,62 Ratings,"Jodha Mandal Ka Kheda Jodhras, Bhilwara",,08050302552,Electronic,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Bajrang Roadlines,+,4.5,11 Ratings,"Etaura Rewa Super Bazar, Rewa",,08401896025,Door to Door; International Cargo Service; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Shiv Roadline,+,5.0,2 Ratings,"Kila Gate Road Gwalior Fort, Gwalior",,08401779460,Containers On Rent; Transporters,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Jayshree Krishna Transport Company,+,4.0,7 Ratings,"Agra Road Transport Nagar, Jaipur",,09980256982,Electronic,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Jaipur Golden Transport,+,5.0,8 Ratings,"Road Vishwakarma Industrial Area, Jaipur",,08511412048,Transporters For Rajasthan; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Shri Krishna Transport Service,+,3.9,67 Ratings,"Coplex Block City Centre, Gwalior",,07048137126,Transporters; Packers And Movers,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Door to Door All India Service,+,5.0,2 Ratings,"Bhumi Link Road Link Road, Mathura",,08460406701,Domestic Courier; Air Courier,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.143Z
Kolkata Delhi All India Transport,+,4.8,15 Ratings,"Hare St Radha Bazar, Kolkata",,07795682544,Transporters For All India; Transporters For Delhi,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Khatu Shyam All India Transport Service,+,4.3,118 Ratings,"Khasra No.832 Faridabad Nit, Faridabad",,07490036452,Trucks On Rent,true,false,false,true,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Vss Packers & Movers,+,4.4,530 Ratings,"Sector 52 Ardee City, Gurgaon",,08904623181,Cargo Service,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Jharkhand Delhi Roadlines,+,5.0,7 Ratings,"Rani Pokhjar Bokaro Sector 9, Bokaro",,08511310251,Transporters For All India; Transporters For Delhi,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
RADHE KRISHNA TRANSPORT,+,1.8,4 Ratings,"Kanpur Road Transport Nagar, Lucknow",,08511481287,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Sumit Road Carriers,+,4.1,228 Ratings,"Bradhaman Dhadka, Asansol",,08511234414,24X7 Customer Care; 24 Hours Cargo Service; Domestic Road Cargo Service,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
New Mahaveer Radlines,N,5.0,1 Ratings,"Mathur Babu Lane Tangra, Kolkata",,07490935989,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Kolkata Punjab All India Transport,K,5.0,1 Ratings,"Strand Road Bbd Bag, Kolkata",,08511621901,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
New Rajasthan Roadlines,+,3.9,96 Ratings,"Tetuia Gaya Bihar Mocharim, Bodhgaya",,08050019871,Electronic,true,false,false,true,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Gajanan Transport Company,G,5.0,1 Ratings,"Hospital Road Gurgaon Sector 44, Gurgaon",,08511938473,Containers On Rent; Transporters,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Balaj Ji Transport Company,+,3.0,4 Ratings,"Mandaw Chirawa, Jhunjhunu",,07383404688,Transporters; Transporters For Delhi,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Bajrang Logistic Transport Company,+,4.2,30 Ratings,"Mullick Lane Chittaranjan Avenue, Kolkata",,08460234347,Transporters For Full Truck Load; Transporters,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Bharat Transport Company,+,2.5,4 Ratings,"Chittaranjan Avenue, Kolkata",,08460215437,Trucks On Rent,true,false,false,false,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
New Mahakal Transport,+,4.2,101 Ratings,"Yaqutganj Railway Yaqutganj, Farrukhabad",,08460557327,Superior Quality; Animal Transportation; Budget Friendly,true,false,false,true,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Chandan Transport Company,+,4.0,319 Ratings,"Kamruddinpur, Begusarai",,07801848348,Industrial Machinery Relocation; Superior Quality; Budget Friendly,true,false,false,true,false,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
Balaji Transport Company,+,4.2,133 Ratings,"Mohalla Darjian Wala Sanaur, Patiala",,09035008197,Domestic Courier; Electronic,true,false,false,false,true,Transporters,Popular Animal Transporters,Mangalore,2025-05-31T16:26:13.144Z
