name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vmtc Logistics,<,4.4,37 Ratings,"Ansari Bunder, Mangalore",,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.648Z
Anoop Consultancy Services,<,4.4,154 Ratings,"Bibi Alabi Road Bunder, Mangalore",,08511023789,All India; Within City,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.648Z
Indian Cargo Carriers,<,4.5,50 Ratings,"Beach Road Panambur, Mangalore",,08511631790,,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
Ma Kalka Roadlines,<,3.7,3 Ratings,"Road Betora Industrial Estate, Goa",,08460386456,Transport Agents; Trailer Transporters,true,false,false,false,false,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
Jaipur Golden Transport,<,3.8,24 Ratings,"C  LANE J.M ROAD Cubbonpet, Bangalore",,09845217514,Pay Ahead,true,false,false,false,false,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
Sri Vigneshwara Logistics,<,4.2,52 Ratings,"DDUTTL Yeshwanthpur, Bangalore",,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
Kaveri Cargo Movers,<,4.4,95 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
South Trailer Service,<,4.1,85 Ratings,"Anbu Nagar 2 Anbu Nagar, Namakkal",,08128985542,Trucks On Rent; Domestic Courier,true,false,false,false,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
Jayasri Road Lines,<,4.5,29 Ratings,"PN Road Kumarnanthapuram, Tirupur",,09606403497,24 Hours Tempos; Tempos On Rent For Intracity; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.649Z
Geetham Transport Service,<,4.6,90 Ratings,"Naal Road Tirupur East, Tirupur",,08147951873,Trucks On Rent; Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.650Z
Sri Periyasamy Lorry Transport And Booking Office,+,4.1,29 Ratings,"Salem Road Andagalur, Namakkal",,08401269964,Transporters For Andhra Pradesh; Transporters,true,false,false,true,false,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.650Z
Sri Ganapathy Transport and Traveling Agency,+,4.5,19 Ratings,"Palayam Kalappa Naicken Palayam, Coimbatore",,08123376960,Courier Services; Transporters,true,false,false,true,true,Transporters,Popular Transporters For Container,Mangalore,2025-05-31T16:29:54.650Z
