name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Comfort Aircon Solution,<,4.3,54 Ratings,"Sayaji Rao Road Mandi Mohalla, Mysore",,08511172187,AC Repair & Services; AC Dealers,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.438Z
Royal Home Appliance Repair,<,4.5,149 Ratings,"Dargha Road Bannikuppe, Hunsur",,09035291198,CCTV Surveillance; ATM; Free installation,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Surabhi Spares and Service,<,4.0,174 Ratings,"Thyagaraja Road KR Mohalla, Mysore",,09054645936,Washing Machine Repair & Services-Siemens; Washing Machine Repair & Services,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Classic Aircon,<,4.7,83 Ratings,"KSRTC Layout Banni Mantap, Mysore",,07411715629,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Easy Solution Service,<,4.4,26 Ratings,"4th Cross Raghavendra Nagar, Mysore",,08460294101,Split AC AMC-Voltas; AC Repair & Services,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
P B Electricals,<,5.0,447 Ratings,"Nagar Gorur Road Ramabai Nagar, Mysore",,,Wiring; 24 Hours Open,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Zain Aircon,<,4.8,59 Ratings,"Road T.K.Layout Kuvempunagar, Mysore",,08511682751,Washing Machine Repair & Services; AC Repair & Services,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Green Planet,<,2.0,13 Ratings,"1st Main Gokulam 2nd Stage, Mysore",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Sahara Cooling Solutions,<,5.0,2 Ratings,"20th Cross Ashoka Road, Mysore",,09845221214,Shop In Store; Same Day Delivery; In Store Collect,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Cool Tech Solutions,<,4.9,9 Ratings,"Main Road Kuvempunagar, Mysore",,08460233679,AC Repair & Services; AC Dealers,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.439Z
Weather Makers,+,3.8,104 Ratings,"Saraswathi Road Kuvempunagar, Mysore",,,AC Dealers-Daikin; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Cool Zone Engineers,+,4.0,69 Ratings,"Road Krishnamurthy Puram, Mysore",,08511446218,Washing Machine Repair & Services; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Star Electricals,+,4.7,17 Ratings,"Bharath Nagar Udayagiri, Mysore",,08511848371,Free installation,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Sun Cooling,+,4.8,216 Ratings,"Gaddige Road Bogadi, Mysore",,08147955947,AC Repair & Services; AC Dealers,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Cerestro Technology INDIA Pvt Ltd,+,4.6,12 Ratings,"Layout Vivekananda Nagar, Mysore",,08511262489,Computer Repair; Computer AMC; Computer Hardware Repair,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Sri Guru Raghavendra Cooling Systems,+,4.4,30 Ratings,"Vijaynagar 4th Stage, Mysore",,08460252101,Washing Machine Repair & Services-LG; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
COOL Wave Ac SERVICES,+,4.9,23 Ratings,"3rd Main Road New Bamboo Bazar, Mysore",,07022531775,AC Repair & Services-Daikin; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Fsnk Cooling System,+,4.7,23 Ratings,"Jnnaha Masjid Kalyana Girinagar, Mysore",,07795661231,,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
R K Enterprises,+,4.1,6 Ratings,"J Block Gokulam 4th Stage, Mysore",,08460271499,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Universal Electronics (JioMart Digital Partner),+,3.7,70 Ratings,"Circle Vivekananda Nagar, Mysore",,,Home Appliance Dealers; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
A M Marketing,+,4.1,68 Ratings,"Kabir Road Cross Lashkar Mohalla, Mysore",,08511646643,Deep Freezer Repair & Services; AC Repair & Services,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Rama Krupa Services,+,4.2,57 Ratings,"Appliances Saraswathipuram, Mysore",,08490045118,Washing Machine Repair & Services; AC Repair & Services,true,true,true,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Mysore AIR Conditioning,+,4.3,11 Ratings,"Udayagiri, Mysore",,08511232590,AC Repair & Services-Daikin; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.440Z
Hi Tech Aircon,+,4.1,27 Ratings,"Weasly Road Tilaknagar, Mysore",,08511262395,AC Repair & Services; AC Dealers,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
M R Service,+,4.3,67 Ratings,"T K Layout Janatha Nagar, Mysore",,08511493124,Refrigerator Repair & Services-Videocon; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Freez Aircon,+,4.2,25 Ratings,"B K Street Kr Mohalla, Mysore",,08511155167,AC Repair & Services; AC Dealers,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Shameek Cool Mode,+,4.5,23 Ratings,"Main VV Mohalla Vinayakanagara, Mysore",,09725058465,Washing Machine Repair & Services-Siemens; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Br Electronics Shop,+,2.5,2 Ratings,"BR Electronics Kr Mohalla, Mysore",,08460559979,,true,true,false,false,false,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Perfect Cooling System,P,4.2,27 Ratings,"Mahadeshwara Extension Metagalli, Mysore",,08511065088,AC Repair & Services-Daikin; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
General Electricals and AIR Conditioning,+,4.5,113 Ratings,"Ring Road Cross Rajivnagar, Mysore",,,Ductable AC Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Breezy Haven,+,5.0,1 Rating,"Near Triveni Circle Kalyanagiri, Mysore",,08511318656,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Weather Comfort & Cooling Solution,+,4.7,19 Ratings,"Tank Road Hootagalli Hootagalli, Mysore",,,,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Aero Cool Service,+,5.0,44 Ratings,"Rajendranagar, Mysore",,,,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Smart Cool Solution,+,4.3,16 Ratings,"Road Narasimharaja Mohalla, Mysore",,,Refrigerator Repair & Services-Whirlpool; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Rajvijay Sales And Services,R,5.0,1 Rating,"16th Main Vijaynagar 2nd Stage, Mysore",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Royal Home Appliances Ripair & Service,+,4.4,13 Ratings,"Hd Kotte Road Hunsur Road, Mysore",,08123641491,AC Dealers; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Electrofixx,+,3.7,112 Ratings,"Depot Road Sriramapura 2nd Stage, Mysore",,09036272177,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
Comfort Aircon Solution,+,4.3,54 Ratings,"Kabeer Road Mandi Mohalla, Mysore",,07485968028,AC Repair & Services-Hitachi; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Mysore,2025-05-27T12:14:10.441Z
