name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Zplush Unisex Salon and Academy,<,4.6,259 Ratings,"Building No NO 2733 Vv Mohalla, Mysore",,08734916730,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
Spoorthi Beauty Zone,<,4.9,18 Ratings,"Mayura Circle Hebbal, Mysore",,09725411860,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
Naturals Salon,<,4.2,"1,133 Ratings","10th Cross Vv Mohalla, Mysore",,07383235967,,true,true,true,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
New Look Unisex Salon,<,5.0,10 Ratings,"10th Cross Jp Nagar, Mysore",,08460238262,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
Maria Makeover,<,4.9,49 Ratings,"N R Mohalla Udayagiri, Mysore",,09054710779,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
Vinus Blushes,<,4.9,105 Ratings,"Nagar Main Road Kuvempunagar, Mysore",,08460270804,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
Manasa Ramesh Makeup Studio and Academy,<,4.8,93 Ratings,"Vivekananda Nagar, Mysore",,09054509665,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.113Z
Saanvi Beauty,<,4.7,101 Ratings,"KIADB Housing Layout Hebbal, Mysore",,08511840459,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Beauty First,<,3.8,2 Ratings,"10th Main Road Saraswathipuram, Mysore",,09724876208,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Sara Beauty Zone,<,3.4,55 Ratings,"Layout Vijaynagar 2nd Stage, Mysore",,,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Hair Affair Family Salon,+,5.0,26 Ratings,"Near Chinese V V Mohalla, Mysore",,08460502320,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Reflect Hair and Skin Studio,+,3.7,253 Ratings,"Kantur Road Gokulam, Mysore",,08460305216,Waxing; Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Kush Saloon Makeup Academy and Boutique,+,4.9,18 Ratings,"Sarvodaya Road Kuvempunagar, Mysore",,08460512390,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Vital Beauty Parlour,+,3.8,24 Ratings,"Thyagaraja Road Agrahara, Mysore",,09972919101,Home Services Offered; Facial; Bridal Makeup,true,true,true,true,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Greens Glow,+,4.1,"1,220 Ratings","Arcade Narayan Shastri Road, Mysore",,08460509392,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Arvis  Makeup & Events,+,4.7,41 Ratings,"Rajkumar Road Circle Alanahalli, Mysore",,09972802257,Home Services Offered; Waxing; Facial,true,true,true,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Saffron Salon And Makeup Studio,+,4.6,196 Ratings,"Main Road Jayalakshmipuram, Mysore",,08511371965,Home Services Offered; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Makeover By Aishwarya,+,5.0,4 Ratings,"Mysuru Vidyaranyapuram, Mysore",,08460469344,,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Makeover and Hair Care By Haseena,+,4.6,22 Ratings,"1st Stage Rajivnagar, Mysore",,08123753181,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Shine Beauty Parlour,+,4.9,45 Ratings,"Kantharaj Urs Road Kuvempunagar, Mysore",,08511718393,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Nidhi Bridal House & Salon Academy,+,4.9,152 Ratings,"Main Road Gokulam 3rd Stage, Mysore",,09972920757,,true,true,true,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Get Dolled Up Makeup Studio,+,4.9,46 Ratings,"Club Road Sharadadevi Nagar, Mysore",,07048784199,Home Services Offered; Bridal Makeup,true,true,true,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Cosmic & Curls,+,4.9,36 Ratings,"Vijaynagara Vijaynagar 2nd Stage, Mysore",,08511234165,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Sampoorna Bodycare & Cosmetology,+,5.0,2 Ratings,"Megha Medical Kuvempunagar, Mysore",,08460415294,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
Ink Nation Tattoo & Makeup Studio,+,4.9,169 Ratings,"1st Main Gokulam 2nd Stage, Mysore",,08735097898,Home Services Offered,true,true,true,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.114Z
House Of Glamour By Deepthi,+,5.0,20 Ratings,"Feet Road Dattagalli 3rd Stage, Mysore",,08105902535,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
TONI & GUY,+,4.5,868 Ratings,"Old No -86 Vv Mohalla, Mysore",,07383525634,Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
Nature Beauty Parlour,+,4.9,21 Ratings,"80feet Road Dattagalli, Mysore",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
Spark Beauty World,+,4.1,618 Ratings,"K - Block Kuvempunagar, Mysore",,,Home Services Offered; Waxing; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
The Style Waves Unisex Salon,T,3.5,2 Ratings,"New Sayyaji Rao Road Kr Mohalla, Mysore",,07041269035,Waxing; Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
Kushi Vinu Make Up Hair & Mehendi Academy,+,4.8,414 Ratings,"Urs Road Devaraj Urs Road, Mysore",,08511232860,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
KAVYA'S MAKEUP STUDIO AND ACADEMY,+,4.7,40 Ratings,"17 Th Cross Vidyaranyapuram, Mysore",,08511632456,Home Services Offered; Facial; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
Miravall Beauty Parlour & Fashion,+,3.5,19 Ratings,"2nd Phase Vijaynagar 4th Stage, Mysore",,08128924059,Facial; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
INFINITY Beauty Salon HEALTH & TATTOO Studio,+,4.6,296 Ratings,"Hebbal Main Road Hebbal, Mysore",,07383313962,Waxing; Facial; Bridal Makeup,true,true,true,true,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
Beautyfly Makeup Academy & Saloon,+,4.8,21 Ratings,"Main 5 Th Cross Saraswathipuram, Mysore",,09035098907,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
Shahnaz Hussain Herbals,+,3.9,34 Ratings,"Dr Nelson Mandela Road Santhepet, Mysore",,08460400289,Home Services Offered; Waxing; Facial,true,true,false,false,false,Beauty Spa,Popular Bridal Makeup Artists,Mysore,2025-05-27T12:20:45.115Z
