name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Car Clinic,<,4.3,276 Ratings,"Bogadi Ring Road Bogadi, Mysore",,08511579604,Auto Detailing,true,true,true,true,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Car Bae,<,5.0,3 Ratings,"Ring Road Hebbal, Mysore",,08511416194,Car On Rent; Pickup And Drop Facility; Car Insurance Services,true,true,false,false,false,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Ravi Car Care - Multi Brand Car Service Centre,<,4.2,46 Ratings,"Narsipura Main Road Alanahalli, Mysore",,08733060701,Oil Change; DoorStep Service,true,true,true,true,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Motor Mitra Auto Garage,<,4.7,39 Ratings,"Bannur Road Alanahalli, Mysore",,07383498912,Company Authorised Dealer; Four Wheeler Towing; Same Day Delivery,true,true,false,true,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Manu Motors,<,4.2,17 Ratings,"Khille Mohalla Agrahara, Mysore",,08511357467,DoorStep Service,true,true,false,true,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Bro Automotive,<,5.0,26 Ratings,"Industrial Area Hootagalli, Mysore",,08123173073,DoorStep Service,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Friends Garage,<,4.2,23 Ratings,"Vishwa Manava Ramakrishnanagar, Mysore",,08460201853,Car Repair & Services; Garages,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
Nishan Cars,<,4.5,87 Ratings,"Ring Road Dattagalli, Mysore",,,Battery Jump-Start,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.898Z
MyTVS-Carbine Car Care,<,4.2,724 Ratings,"Kasaba Hebbal, Mysore",,08401658796,Company Authorised Dealer; DoorStep Service,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.899Z
1st Gear Automobile Studio,<,4.5,61 Ratings,"Ring Road Hebbal, Mysore",,09980764498,Company Authorised Dealer; Oil Change,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.899Z
R A L R Motors,+,4.4,30 Ratings,"No.29/48 Kuvempunagar, Mysore",,09724821691,Company Authorised Dealer; Towing Services; Battery Jump-Start,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.899Z
Mysore Highway Motors,M,4.9,31 Ratings,"Liquor World Subhashnagar, Mysore",,08511442558,Towing Services; Breakdown Support Over Phone,true,true,false,true,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.899Z
Genius Motors,+,4.2,150 Ratings,"Hinkal Ring Road Hinkal, Mysore",,08511514792,Oil Change; Auto Detailing; Car Detailing,true,true,false,true,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.899Z
Johnson Auto Garage,+,4.5,129 Ratings,"Outer Ring Road Hebbal, Mysore",,08511336206,Customer Lounge,true,true,false,false,true,Car Repair & Services,,Mysore,2025-05-27T13:09:49.899Z
