name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.222Z
Rakshitha Catering,<,5.0,2 Ratings,"Gurur Village Ramabai Nagar, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.222Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.223Z
Sri Vishnu Caterers,<,5.0,3 Ratings,"Banashankari 1st Stage, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.223Z
HKC Caterers,<,3.7,13 Ratings,"3rd Phase Bannerghatta Road, Bangalore",,,Caterers For Function; Caterers,true,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.223Z
Sai Kutera,<,4.7,3 Ratings,"Srinagara Main Road Chamarajpet, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.223Z
Shree Annapoorneshwari Caterers,<,4.5,30 Ratings,"KHB Calony Basaveshwara Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.224Z
Bombay Caterers,<,4.2,83 Ratings,"Dispensary Road Kalasipalyam, Bangalore",,,Tiffin Service; Take away; Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.224Z
Tawa Sagara,<,3.7,"1,082 Ratings","30th Cross Jayanagar 4th T Block, Bangalore",,,Dine-in; Casual Dining; Sea Food,false,false,false,true,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.225Z
Velji Catering,<,3.4,4 Ratings,"D.s.lane Chickpete, Bangalore",,,Caterers; North Indian Caterers,true,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.225Z
Addis Hospitality,+,4.5,14 Ratings,"Msr Mn Rd SP Road, Bangalore",,,Tiffin Service,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.225Z
Foodiction,+,3.8,4 Ratings,"Kudlu Gate Bommanahalli, Bangalore",,,Home Delivery,false,false,false,true,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.225Z
The Food Caterers,T,5.0,1 Rating,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.225Z
Nand Gopal Caterers,+,4.3,17 Ratings,"Block A Electronic City Phase 2, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.225Z
Cheftalk Food And Hospitality Services Pvt. Ltd.,+,4.8,519 Ratings,"Mangamana Palya Bommanahalli, Bangalore",,,Dine-in; Home Delivery,true,false,false,true,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Asha Melange,+,4.0,16 Ratings,"10th Cross Malleswaram, Bangalore",,,Sweet Shop; Bakery; Home Delivery,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Vaishnavi Caterers,V,3.0,1 Rating,"Naganathapura Electronic City, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Gayland Caterers & Furnitures,G,4.2,26 Ratings,"No.23/2 Richmond Road, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Caterish Company,C,4.8,4 Ratings,"Near Axis Bank Benson Town, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Snackeaze,+,4.4,466 Ratings,"Swami Temple Road Hsr Layout, Bangalore",,,Delivery; Bakery; Home Delivery,false,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Peter Caterers,P,4.4,42 Ratings,"Vivek Nagar Post Ejipura, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Sankalp Food Zone,S,5.0,1 Rating,"2nd Main Vasanth Nagar, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Silverline Chocolate & Cakes,S,4.0,6 Ratings,"8th Crs Sadashivanagar, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Shahi Restaurant,S,3.5,510 Ratings,"Chandni Chowk Road Shivaji Nagar, Bangalore",,,Take away; Quick Bite Outlet; Chinese,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Sagar Caterers,+,4.3,"3,124 Ratings","Palace Ground Mekhri Circle, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Sirio Hotel,+,3.7,25 Ratings,"2nd Cross Sadananda Nagar, Bangalore",,,Food Truck; Home Delivery,true,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
R K Tent House & Caterer,+,3.5,2 Ratings,"1st Cross Ulsoor, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
The Great Maharaja Caterers,T,5.0,2 Ratings,"No. 805/B Hebbal Agri Farm, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.226Z
Thangam Caterers,+,3.8,9 Ratings,"Anna Salai Anthiyur, Erode",,,Tiffin Service; Home Delivery,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
Plate Up Caterers,+,4.6,6 Ratings,"Kachaharakanahalli Kammanahalli, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
Sukhdev Caterers,+,4.7,162 Ratings,"Kempapura Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
Ramakanta Caterers,R,4.5,2 Ratings,"#1 Mariyannapalya, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
Grace Catering Services,+,4.7,6 Ratings,"1st Block Kalyan Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
Hicurry Foods INDIA Pvt. Ltd.,+,3.9,11 Ratings,"4th Cross Banaswadi, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
Bangalore Food Factory,B,4.0,1 Rating,"Field Road Ramamurthy Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Italian Caterers,Mysore,2025-05-27T12:43:08.227Z
