name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Chaitanya Caterers,<,4.9,27 Ratings,"Cross Road Vani Vilas Mohalla, Mysore",,08460305168,,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.887Z
Annapoorneshwari Catering,<,4.7,24 Ratings,"Layout Ramakrishnanagar, Mysore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.887Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.887Z
Chef & Dish Caterers,<,5.0,2 Ratings,"Santhepete Bm Road, Hassan",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.887Z
Treat O Treat,<,5.0,2 Ratings,"Thagachaguppe Road Kumbalgodu, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.887Z
J K Caterers,<,4.7,15 Ratings,"Yadayur Lake Yediyur, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.888Z
Hotel Srinidhi Sagar Deluxe,<,3.9,"4,413 Ratings","Muttappa Complex Kumbalgodu, Bangalore",,,Delivery; Dine-in; Chinese,false,false,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.888Z
Stall Desk Pvt Ltd,<,4.5,4 Ratings,"Mysore Road Kengeri, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.888Z
SKP Cooking Contractors,<,4.8,4 Ratings,"Main Road Kanakapura Road, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.888Z
Shri Sai Caters,<,4.6,47 Ratings,"Forest Layout HBCS R V Road, Bangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Mangalorean Caterers,Mysore,2025-05-27T12:49:17.888Z
